name,fit_days,strategy,origin,teacher,horizon,station,direction,autograd,central_difference,absolute_error,allowed_error
h342_CURRENT_o342,342,CURRENT,342,342,180,ATU1,history,-0.004270451886156341,-0.00427045188031161,5.844730949222665e-12,1.427045188615634e-07
h342_CURRENT_o342,342,CURRENT,342,342,180,ATU1,gates,-0.04809345179643864,-0.048093451800873536,4.43489689416765e-12,5.809345179643865e-07
h342_CURRENT_o342,342,CURRENT,342,342,180,ATU5,history,-0.005441172108588293,-0.005441172112874425,4.286132213038307e-12,1.5441172108588293e-07
h342_CURRENT_o342,342,CURRENT,342,342,180,ATU5,gates,0.007111759407864977,0.007111759411926321,4.061344142936019e-12,1.7111759407864978e-07
h342_CURRENT_o342,342,CURRENT,342,342,180,MJ3,history,-0.0005440247181345049,-0.0005440247363708295,1.8236324559814387e-11,1.0544024718134505e-07
h342_CURRENT_o342,342,CURRENT,342,342,180,MJ3,gates,-0.05854547795220265,-0.0585454779433725,8.830151887462279e-12,6.854547795220265e-07
h342_CURRENT_o342,342,CURRENT,342,342,180,MJ1,history,0.0008037846012438688,0.0008037845833364087,1.790746012846761e-11,1.0803784601243868e-07
h342_CURRENT_o342,342,CURRENT,342,342,180,MJ1,gates,-0.009071566694326558,-0.009071566697826938,3.5003805409772326e-12,1.9071566694326558e-07
h342_IN_o252,342,IN,252,342,90,ATU1,history,-0.0028352427025704757,-0.0028352427058897507,3.319274976404385e-12,1.2835242702570475e-07
h342_IN_o252,342,IN,252,342,90,ATU1,gates,-0.005811085663672498,-0.005811085670992532,7.320034335622783e-12,1.5811085663672498e-07
h342_IN_o252,342,IN,252,342,90,ATU5,history,-0.0037414281917669805,-0.0037414281936487544,1.881773816631016e-12,1.374142819176698e-07
h342_IN_o252,342,IN,252,342,90,ATU5,gates,-0.002506930945690534,-0.0025069309433911613,2.299372497960306e-12,1.2506930945690532e-07
h342_IN_o252,342,IN,252,342,90,MJ3,history,0.00016739968756096215,0.0001673996854328896,2.12807253915058e-12,1.0167399687560962e-07
h342_IN_o252,342,IN,252,342,90,MJ3,gates,-0.02637604135396847,-0.02637604135380389,1.645801550598236e-13,3.637604135396847e-07
h342_IN_o252,342,IN,252,342,90,MJ1,history,0.0018388580961399958,0.0018388581046746564,8.53466060844743e-12,1.1838858096139996e-07
h342_IN_o252,342,IN,252,342,90,MJ1,gates,-0.005960009437072736,-0.005960009444305746,7.23301019772693e-12,1.5960009437072737e-07
h342_OOF_o252,342,OOF,252,252,90,ATU1,history,-0.0014109966335865468,-0.001410996639666928,6.080381207210217e-12,1.1410996633586547e-07
h342_OOF_o252,342,OOF,252,252,90,ATU1,gates,-0.054031797386515736,-0.05403179738350249,3.0132424333473296e-12,6.403179738651573e-07
h342_OOF_o252,342,OOF,252,252,90,ATU5,history,-0.0006883103311068302,-0.0006883103281785096,2.9283206718841437e-12,1.0688310331106829e-07
h342_OOF_o252,342,OOF,252,252,90,ATU5,gates,0.05549591427436784,0.05549591426123878,1.3129060338901155e-11,6.549591427436784e-07
h342_OOF_o252,342,OOF,252,252,90,MJ3,history,-0.0005245947793367041,-0.0005245947731769007,6.15980335315347e-12,1.0524594779336704e-07
h342_OOF_o252,342,OOF,252,252,90,MJ3,gates,0.024784405588848098,0.024784405588951227,1.0312931064682118e-13,3.47844055888481e-07
h342_OOF_o252,342,OOF,252,252,90,MJ1,history,0.0009460978143567698,0.0009460978216135895,7.256819711115581e-12,1.094609781435677e-07
h342_OOF_o252,342,OOF,252,252,90,MJ1,gates,0.06454936130485567,0.06454936129357547,1.1280198997098978e-11,7.454936130485567e-07
h432_CURRENT_o432,432,CURRENT,432,432,180,ATU1,history,-0.0010192463191822537,-0.0010192463206770697,1.4948159897387736e-12,1.1019246319182253e-07
h432_CURRENT_o432,432,CURRENT,432,432,180,ATU1,gates,-0.01665844997924055,-0.016658449969453315,9.787233523628203e-12,2.6658449979240547e-07
h432_CURRENT_o432,432,CURRENT,432,432,180,ATU5,history,-0.002175668707410485,-0.002175668707693479,2.8299368057260743e-13,1.2175668707410485e-07
h432_CURRENT_o432,432,CURRENT,432,432,180,ATU5,gates,-0.10371841234063867,-0.10371841234202427,1.3855999680956188e-12,1.137184123406387e-06
h432_CURRENT_o432,432,CURRENT,432,432,180,MJ3,history,0.002269393843770584,0.0022693938582507567,1.4480172703251748e-11,1.2269393843770585e-07
h432_CURRENT_o432,432,CURRENT,432,432,180,MJ3,gates,-0.15567094421977093,-0.15567094422651306,6.742134628368035e-12,1.6567094421977092e-06
h432_CURRENT_o432,432,CURRENT,432,432,180,MJ1,history,0.0028470976777448206,0.002847097674285592,3.459228563318373e-12,1.2847097677744822e-07
h432_CURRENT_o432,432,CURRENT,432,432,180,MJ1,gates,-0.11196968629524381,-0.11196968628945923,5.784581147416645e-12,1.2196968629524384e-06
h432_IN_o252,432,IN,252,432,180,ATU1,history,-0.002305363503996439,-0.0023053635035685804,4.278587033279546e-13,1.2305363503996438e-07
h432_IN_o252,432,IN,252,432,180,ATU1,gates,0.00039112414478805315,0.0003911241476528548,2.8648016576170166e-12,1.0391124144788053e-07
h432_IN_o252,432,IN,252,432,180,ATU5,history,-0.0030370873409411277,-0.003037087342727673,1.7865453040555312e-12,1.3037087340941127e-07
h432_IN_o252,432,IN,252,432,180,ATU5,gates,-0.010777538508634863,-0.010777538513029315,4.394451816325251e-12,2.0777538508634862e-07
h432_IN_o252,432,IN,252,432,180,MJ3,history,0.0007896452192398891,0.000789645224208435,4.968545865534357e-12,1.0789645219239889e-07
h432_IN_o252,432,IN,252,432,180,MJ3,gates,-0.04657381852533385,-0.04657381852402053,1.3133175102986172e-12,5.657381852533385e-07
h432_IN_o252,432,IN,252,432,180,MJ1,history,0.0005632791864610099,0.0005632791878762422,1.4152322976718201e-12,1.056327918646101e-07
h432_IN_o252,432,IN,252,432,180,MJ1,gates,-0.003081215572654495,-0.003081215573311202,6.56706893725767e-13,1.3081215572654495e-07
h432_IN_o342,432,IN,342,432,90,ATU1,history,-0.00410305365390653,-0.004103053652393385,1.5131455116668135e-12,1.410305365390653e-07
h432_IN_o342,432,IN,342,432,90,ATU1,gates,0.03315063786227363,0.03315063785980232,2.471307880558271e-12,4.315063786227363e-07
h432_IN_o342,432,IN,342,432,90,ATU5,history,-0.004411636612533567,-0.0044116366060276135,6.505953761837269e-12,1.4411636612533567e-07
h432_IN_o342,432,IN,342,432,90,ATU5,gates,-0.029998580528480673,-0.029998580525214532,3.2661408300160844e-12,3.9998580528480673e-07
h432_IN_o342,432,IN,342,432,90,MJ3,history,-0.001167945558463294,-0.0011679455624857837,4.02248980652109e-12,1.1167945558463294e-07
h432_IN_o342,432,IN,342,432,90,MJ3,gates,-0.0031908960930432315,-0.0031908960806958926,1.2347338863155644e-11,1.3190896093043232e-07
h432_IN_o342,432,IN,342,432,90,MJ1,history,0.0013709815811364114,0.0013709815838147674,2.6783560178739174e-12,1.137098158113641e-07
h432_IN_o342,432,IN,342,432,90,MJ1,gates,0.006284399326007745,0.006284399334255396,8.24765169354924e-12,1.6284399326007744e-07
h432_OOF_o252,432,OOF,252,252,180,ATU1,history,-0.0010585084763260959,-0.0010585084746651124,1.660983416779116e-12,1.1058508476326096e-07
h432_OOF_o252,432,OOF,252,252,180,ATU1,gates,-0.05776790746526186,-0.05776790746188885,3.3730102044771115e-12,6.776790746526187e-07
h432_OOF_o252,432,OOF,252,252,180,ATU5,history,-0.0011397128710916044,-0.001139712857423092,1.366851250239609e-11,1.1139712871091604e-07
h432_OOF_o252,432,OOF,252,252,180,ATU5,gates,0.005963230575242392,0.005963230576000455,7.580628832992709e-13,1.5963230575242392e-07
h432_OOF_o252,432,OOF,252,252,180,MJ3,history,-0.0003962531911553174,-0.00039625318026814677,1.0887170613822772e-11,1.0396253191155318e-07
h432_OOF_o252,432,OOF,252,252,180,MJ3,gates,-0.024414734061530927,-0.024414734051125816,1.0405110800748574e-11,3.441473406153093e-07
h432_OOF_o252,432,OOF,252,252,180,MJ1,history,0.0008626504543369309,0.0008626504580111493,3.674218373127258e-12,1.086265045433693e-07
h432_OOF_o252,432,OOF,252,252,180,MJ1,gates,0.09589146354274514,0.09589146355154508,8.79994688229857e-12,1.0589146354274513e-06
