Date,actual_level,predicted_level,prob_green,prob_yellow,prob_orange,prob_red
2019-09-18,0,0,0.999881519177752,0.00010179071082607067,1.35755182055416e-05,3.114593216588556e-06
2019-09-19,0,0,0.999881519177752,0.00010179071082607067,1.35755182055416e-05,3.114593216588556e-06
2019-09-20,0,0,0.999881519177752,0.00010179071082607067,1.35755182055416e-05,3.114593216588556e-06
2019-09-21,0,0,0.999881519177752,0.00010179071082607067,1.35755182055416e-05,3.114593216588556e-06
2019-09-22,0,0,0.999881519177752,0.00010179071082607067,1.35755182055416e-05,3.114593216588556e-06
2019-09-23,0,0,0.999881519177752,0.00010179071082607067,1.35755182055416e-05,3.114593216588556e-06
2019-09-24,0,0,0.999881519177752,0.00010179071082607067,1.35755182055416e-05,3.114593216588556e-06
2019-09-25,0,0,0.999881519177752,0.00010179071082607067,1.35755182055416e-05,3.114593216588556e-06
2019-09-26,0,0,0.999881519177752,0.00010179071082607067,1.35755182055416e-05,3.114593216588556e-06
2019-09-27,0,0,0.999881519177752,0.00010179071082607067,1.35755182055416e-05,3.114593216588556e-06
2019-09-28,0,0,0.999881519177752,0.00010179071082607067,1.35755182055416e-05,3.114593216588556e-06
2019-09-29,0,0,0.999881519177752,0.00010179071082607067,1.35755182055416e-05,3.114593216588556e-06
2019-09-30,0,0,0.999881519177752,0.00010179071082607067,1.35755182055416e-05,3.114593216588556e-06
2019-10-01,0,0,0.999881519177752,0.00010179071082607067,1.35755182055416e-05,3.114593216588556e-06
2019-10-02,0,0,0.999881519177752,0.00010179071082607067,1.35755182055416e-05,3.114593216588556e-06
2019-10-03,0,0,0.999881519177752,0.00010179071082607067,1.35755182055416e-05,3.114593216588556e-06
2019-10-04,0,0,0.999881519177752,0.00010179071082607067,1.35755182055416e-05,3.114593216588556e-06
2019-10-05,0,0,0.999881519177752,0.00010179071082607067,1.35755182055416e-05,3.114593216588556e-06
2019-10-06,0,0,0.999881519177752,0.00010179071082607067,1.35755182055416e-05,3.114593216588556e-06
2019-10-07,0,0,0.999881519177752,0.00010179071082607067,1.35755182055416e-05,3.114593216588556e-06
2019-10-08,0,0,0.999881519177752,0.00010179071082607067,1.35755182055416e-05,3.114593216588556e-06
2019-10-09,0,0,0.999881519177752,0.00010179071082607067,1.35755182055416e-05,3.114593216588556e-06
2019-10-10,0,0,0.999881519177752,0.00010179071082607067,1.35755182055416e-05,3.114593216588556e-06
2019-10-11,0,0,0.999881519177752,0.00010179071082607067,1.35755182055416e-05,3.114593216588556e-06
