origin,metric,a_at_gru,a_at_tf,tf_at_raw,tf_at_anchor,a_main,network_main,interaction
792,mae,-3.5254582704982269,-0.58943301589594199,-0.69082812890903966,2.2451971256932453,-2.0574456431970845,0.7771844983921028,2.9360252546022849
792,rmse,-3.3666983895748288,-0.36630924261584497,-0.67712479193563269,2.3232643550233512,-1.8665038160953369,0.82306978154385924,3.0003891469589838
792,crps,-4.1188656635353489,-1.91105835805201,-0.41645376790877719,1.7913535375745617,-3.0149620107936794,0.68744988483289227,2.2078073054833389
792,interval_score90,-115.448900260708,-78.93583427508554,1.6513136234116814,38.164379609034143,-97.19236726789677,19.907846616222912,36.513065985622461
792,coverage90,0.036689419795221889,0.017064846416382284,0.0034129692832765013,-0.016211604095563104,0.026877133105802087,-0.0063993174061433011,-0.019624573378839605
792,width90,3.3949920781813034,3.9733947599738855,-1.5957758029146873,-1.0173731211221053,3.6841934190775945,-1.3065744620183963,0.57840268179258203
972,mae,-16.434882486492533,-19.029131296842515,2.7201182095148653,0.12586939916488404,-17.732006891667524,1.4229938043398747,-2.5942488103499812
972,rmse,-17.036018752118501,-19.947153240829646,3.1061294120627991,0.19499492335165414,-18.491585996474072,1.6505621677072266,-2.9111344887111414
972,crps,-10.090423327858201,-11.080704727122328,1.4898325278487157,0.49955112858458861,-10.585564027490264,0.99469182821665214,-0.99028139926412706
972,interval_score90,-149.29177149089327,-165.52737237444705,14.211302078102051,-2.0242988054517355,-157.40957193267016,6.0935016363251577,-16.235600883553786
972,coverage90,0.086177474402730381,0.090443686006825952,0.0051194539249147519,0.009385665529010323,0.088310580204778166,0.0072525597269625375,0.0042662116040955711
972,width90,-12.002225160615765,-2.1702444502341223,-2.4310727558320906,7.4009079545495524,-7.0862348054249438,2.4849175993587309,9.831980710381643
1168,mae,-2.7119489656476201,-1.5244557786074591,1.6281791674615125,2.8156723545016735,-2.1182023721275396,2.221925760981593,1.187493187040161
1168,rmse,-3.1160612314828295,-2.6911104655730771,1.7239745598924063,2.1489253258021588,-2.9035858485279533,1.9364499428472826,0.42495076590975245
1168,crps,-3.0904535861008098,-2.4256410296803779,1.0296044826464001,1.6944170390668321,-2.7580473078905938,1.3620107608566161,0.6648125564204328
1168,interval_score90,-33.084336579271209,-30.417708584022549,8.9369987164866842,11.603626711735345,-31.751022581646879,10.270312714111014,2.6666279952486605
1168,coverage90,-0.064846416382252525,-0.21501706484641636,0.0017064846416382506,-0.14846416382252559,-0.13993174061433444,-0.073378839590443667,-0.15017064846416384
1168,width90,-45.673241729412126,-58.510368244012113,9.3174049432710575,-3.5197215713289296,-52.09180498671212,2.898841685971064,-12.837126514599987
