origin,seed,metric,a_at_gru,a_at_tf,tf_at_raw,tf_at_anchor,a_main,network_main,interaction
792,0,mae,-0.26613331436010412,-2.4341420240721483,2.8428065599528125,0.67479785024076833,-1.3501376692161262,1.7588022050967904,-2.1680087097120442
792,0,rmse,-0.065802614926891323,-2.2691231746403524,2.9013065065342047,0.69798594682074366,-1.1674628947836219,1.7996462266774742,-2.2033205597134611
792,0,crps,-1.0170350949491791,-3.7565876707446613,3.7330226814692118,0.99347010567372962,-2.3868113828469202,2.3632463935714707,-2.7395525757954822
792,0,interval_score90,-58.711573947946192,-108.32154250692059,76.339895162855385,26.729926603880983,-83.516558227433393,51.534910883368184,-49.609968558974401
792,0,coverage90,0.00085324232081918083,0.044368600682593851,-0.050341296928327561,-0.0068259385665528916,0.022610921501706516,-0.028583617747440226,0.04351535836177467
792,0,width90,3.3949920781812892,3.9733947599738855,-1.5957758029146873,-1.0173731211220911,3.6841934190775874,-1.3065744620183892,0.57840268179259624
792,1,mae,-5.9839854376353401,-0.44192319686162307,-3.4051361218953247,2.1369261188783923,-3.2129543172484816,-0.63410500150846616,5.542062240773717
792,1,rmse,-6.2549394704187442,-0.35733739441884182,-3.6582554106131013,2.239346665386801,-3.306138432418793,-0.70945437261315014,5.8976020759999024
792,1,crps,-7.0267230537521819,-2.310147323352286,-3.008335550453193,1.7082401799467029,-4.6684351885522339,-0.65004768525324508,4.7165757303998959
792,1,interval_score90,-170.46877449321454,-85.826392627486769,-47.792404384651775,36.849977481075996,-128.14758356035065,-5.4712134517878894,84.642381865727771
792,1,coverage90,0.046075085324232101,0.030716723549488067,0.0034129692832765013,-0.011945392491467532,0.038395904436860084,-0.0042662116040955156,-0.015358361774744034
792,1,width90,3.3949920781812892,3.9733947599738855,-1.5957758029146873,-1.0173731211220911,3.6841934190775874,-1.3065744620183892,0.57840268179259624
792,2,mae,-4.2070160374443937,0.88619264140812604,-1.2752823709171217,3.817926307935398,-1.6604116980181338,1.2713219685091381,5.0932086788525197
792,2,rmse,-3.8074611761714081,1.4708610142826757,-1.265997607151764,4.0123245833023198,-1.1683000809443662,1.3731634880752779,5.2783221904540838
792,2,crps,-4.3323113906978961,0.1100194988939549,-1.7706853189399716,2.6716455706518794,-2.1111459459019706,0.45048012585595387,4.442330889591851
792,2,interval_score90,-117.26191081548251,-43.753697039743997,-22.778128654606405,50.730085121132106,-80.507803927613253,13.97597823326285,73.508213775738511
792,2,coverage90,0.050341296928327783,0.0068259385665528916,0.022184300341297036,-0.021331058020477855,0.028583617747440337,0.00042662116040959042,-0.043515358361774892
792,2,width90,3.3949920781812892,3.9733947599738855,-1.5957758029146873,-1.0173731211220911,3.6841934190775874,-1.3065744620183892,0.57840268179259624
972,0,mae,-14.163353023840859,-18.61433749040382,4.5056234748206023,0.054639008257641564,-16.388845257122341,2.2801312415391219,-4.4509844665629643
972,0,rmse,-15.142788414699055,-19.258989072118908,4.6324962991364487,0.51629564171659581,-17.200888743408981,2.5743959704265222,-4.1162006574198529
972,0,crps,-9.9248304934294538,-11.295704477733722,2.4502763604571776,1.0794023761529097,-10.610267485581588,1.7648393683050436,-1.3708739843042679
972,0,interval_score90,-161.35515830772783,-174.43199443767847,21.946542453017344,8.8697063230667084,-167.89357637270314,15.408124388042026,-13.076836129950607
972,0,coverage90,0.086177474402730381,0.092150170648464202,-0.015358361774744034,-0.009385665529010212,0.089163822525597292,-0.012372013651877123,0.0059726962457338217
972,0,width90,-12.002225160615779,-2.1702444502341649,-2.4310727558320906,7.400907954549524,-7.0862348054249722,2.4849175993587167,9.8319807103816146
972,1,mae,-17.169131991586625,-19.980063275087748,3.0004053392647094,0.18947405576358634,-18.574597633337184,1.5949396975141479,-2.8109312835011195
972,1,rmse,-17.892278434386768,-20.920659677019007,3.5254883388022549,0.49710709617001569,-19.406469055702885,2.0112977174861353,-3.0283812426322356
972,1,crps,-10.142833883521789,-11.252906134572651,1.7655201796574147,0.65544792860655221,-10.69787000904722,1.2104840541319835,-1.1100722510508625
972,1,interval_score90,-139.11271599427337,-155.88996630026475,15.203658068797154,-1.5735922371942195,-147.50134114726904,6.8150329158014671,-16.777250305991345
972,1,coverage90,0.12969283276450505,0.084470989761092241,0.058873720136518592,0.013651877133105783,0.10708191126279865,0.036262798634812188,-0.045221843003412809
972,1,width90,-12.002225160615779,-2.1702444502341649,-2.4310727558320906,7.400907954549524,-7.0862348054249722,2.4849175993587167,9.8319807103816146
972,2,mae,-16.202630344189966,-18.133450796246166,0.73758493440231376,-1.1932355176538856,-17.168040570218068,-0.22782529162578591,-1.9308204520562029
972,2,rmse,-16.590511990341788,-19.356234708255059,1.3735471859042789,-1.3921755320089915,-17.973373349298424,-0.0093141730523562671,-2.7657227179132704
972,2,crps,-9.8928737989534881,-10.865554103390675,0.41950376729473859,-0.55317653714244841,-10.379213951172082,-0.066836384923854908,-0.972680304437187
972,2,interval_score90,-146.75294700870541,-166.62625300438887,5.0325435788460027,-14.840762416837464,-156.68960000654715,-4.9041094189957306,-19.873305995683495
972,2,coverage90,0.081911262798634921,0.098976109215017094,0.0034129692832765013,0.020477815699658675,0.090443686006826007,0.011945392491467588,0.017064846416382173
972,2,width90,-12.002225160615779,-2.1702444502341649,-2.4310727558320906,7.400907954549524,-7.0862348054249722,2.4849175993587167,9.8319807103816146
1168,0,mae,-3.7448318621044105,-4.51558835786369,2.4277163669024073,1.6569598711431279,-4.1302101099840502,2.0423381190227676,-0.7707564957592794
1168,0,rmse,-4.3241258938363316,-5.7119479267008266,3.1491545914645922,1.7613325586000972,-5.0180369102685791,2.4552435750323447,-1.387822032864495
1168,0,crps,-3.6100561983812867,-4.4484640387777379,1.4674932323961869,0.62908539199973568,-4.0292601185795123,1.0482893121979613,-0.83840784039645122
1168,0,interval_score90,-36.409987002356885,-41.136892816577344,9.5842253253055674,4.8573195110851088,-38.773439909467115,7.2207724181953381,-4.7269058142204585
1168,0,coverage90,-0.044368600682593851,-0.080204778156996559,-0.0017064846416381396,-0.037542662116040848,-0.062286689419795205,-0.019624573378839494,-0.035836177474402708
1168,0,width90,-45.673241729412126,-58.510368244012106,9.3174049432710575,-3.5197215713289225,-52.09180498671212,2.8988416859710675,-12.837126514599987
1168,1,mae,-0.46881998543126535,-2.307927435791628,2.6216013006517027,0.78249385029134011,-1.3883737106114467,1.7020475754715214,-1.8391074503603626
1168,1,rmse,-0.39367084480030101,-2.6559999254810389,2.7584559196039429,0.49612683892320497,-1.52483538514067,1.6272913792635739,-2.2623290806807379
1168,1,crps,-1.9191111194933548,-2.6091175962596722,1.3906836805968474,0.70067720383053,-2.2641143578765135,1.0456804422136887,-0.69000647676631743
1168,1,interval_score90,-27.97383715715182,-31.793724862239259,8.9568815418664656,5.1369938367790269,-29.883781009695539,7.0469376893227462,-3.8198877050874387
1168,1,coverage90,-0.089590443686006882,-0.21928327645051193,0.0017064846416381396,-0.12798634812286691,-0.15443686006825941,-0.063139931740614386,-0.12969283276450505
1168,1,width90,-45.673241729412126,-58.510368244012099,9.3174049432710575,-3.5197215713289154,-52.091804986712113,2.8988416859710711,-12.837126514599973
1168,2,mae,-4.9827580648273013,2.5186061884817956,-1.4978124542293436,6.0035517990797533,-1.2320759381727528,2.2528696724252049,7.501364253309097
1168,2,rmse,-4.948415915061446,1.0947134066658215,-1.3356127334887908,4.7075165882384766,-1.9268512541978122,1.6859519273748429,6.0431293217272675
