origin,seed,point,metric,a_at_gru,a_at_tf,tf_at_raw,tf_at_anchor,a_main,network_main,interaction
792,0,ATU1,mae,-0.33130889546461972,-4.3715159330252398,4.5719986649596258,0.53179162739900576,-2.3514124142449297,2.5518951461793158,-4.0402070375606236
792,0,ATU1,rmse,-0.42632412557018284,-4.3757689632117689,4.6306798343154156,0.68123499667382958,-2.4010465443909759,2.6559574154946226,-3.949444837641586
792,0,ATU1,crps,0.5365969961267929,-3.0304817802623383,4.7658623094254331,1.1987835330363019,-1.2469423920677727,2.9823229212308675,-3.5670787763891312
792,0,ATU1,interval_score90,39.339848135549857,-17.489441195970358,103.08309126516878,46.25380193364856,10.92520346978975,74.668446599408668,-56.829289331520215
792,0,ATU1,coverage90,-0.13310580204778155,-0.037542662116040959,-0.098976109215017066,-0.0034129692832764597,-0.085324232081911255,-0.051194539249146763,0.095563139931740607
792,0,ATU1,width90,-6.5507862095797265,-8.3609844474087947,-2.4592553230889962,-4.2694535609180644,-7.4558853284942606,-3.3643544420035303,-1.8101982378290664
792,0,ATU5,mae,-2.4323658573891223,-10.302955780747105,9.296708415609011,1.4261184922510282,-6.3676608190681137,5.3614134539300196,-7.8705899233579828
792,0,ATU5,rmse,-2.4022367074444091,-9.858955863669209,8.8791144028873106,1.4223952466625107,-6.130596285556809,5.1507548247749106,-7.4567191562247999
792,0,ATU5,crps,-6.6590043364911367,-14.283864354019919,9.5943291240803887,1.9694691065516068,-10.471434345255528,5.7818991153159978,-7.624860017528782
792,0,ATU5,interval_score90,-264.8611104755783,-411.59370732930392,203.10656634287238,56.373969489146759,-338.22740890244108,129.74026791600957,-146.73259685372568
792,0,ATU5,coverage90,0.17064846416382254,0.24573378839590443,-0.10238907849829351,-0.027303754266211622,0.20819112627986347,-0.064846416382252567,0.07508532423208189
792,0,ATU5,width90,31.336075711504925,29.632947153929535,-3.0937709319500755,-4.7968994895254653,30.48451143271723,-3.9453352107377704,-1.7031285575753898
792,0,MJ3,mae,-2.241240328489301,1.3139236398538827,-4.1224311040804285,-0.56726713573724474,-0.46365834431770914,-2.3448491199088366,3.5551639683431837
792,0,MJ3,rmse,-1.7902119276309776,1.5595117190787153,-3.7251366130816308,-0.37541296637193788,-0.11535010427613113,-2.0502747897267843,3.3497236467096929
792,0,MJ3,crps,-0.55709629410317518,-0.0060724417468698277,-0.44655126516030208,0.10447258719600327,-0.28158436792502251,-0.1710393389821494,0.55102385235630535
792,0,MJ3,interval_score90,-5.2138438290894555,-2.1257951255865351,-1.0283756422631996,2.0596730612397209,-3.6698194773379953,0.51564870948826069,3.0880487035029205
792,0,MJ3,coverage90,0,0,0,0,0,0,0
792,0,MJ3,width90,-5.2138438290894555,-2.1257951255865351,-1.0283756422631996,2.0596730612397209,-3.6698194773379953,0.51564870948826069,3.0880487035029205
792,0,MJ1,mae,3.9403818239026052,3.6239799776298689,1.6249502633230364,1.3085484170503001,3.782180900766237,1.4667493401866682,-0.31640184627273626
792,0,MJ1,rmse,4.3555623009380149,3.5987204092408476,1.8205684020157271,1.0637265103185598,3.9771413550894312,1.4421474561671435,-0.75684189169716731
792,0,MJ1,crps,2.6113632546708008,2.2940678930504852,1.018450557531331,0.70115519591101538,2.452715573860643,0.85980287672117317,-0.31729536162031557
792,0,MJ1,interval_score90,-4.1111896226669558,-2.077226376821443,0.19829868564352182,2.2322619314890346,-3.0942079997441994,1.2152803085662782,2.0339632458455128
792,0,MJ1,coverage90,-0.034129692832764458,-0.030716723549488067,0,0.0034129692832763903,-0.032423208191126263,0.0017064846416381951,0.0034129692832763903
792,0,MJ1,width90,-5.9914773601105935,-3.2525885410386763,0.19829868564352182,2.937187504715439,-4.6220329505746349,1.5677430951794804,2.7388888190719172
792,1,ATU1,mae,-7.6915437989601294,-1.9320839873809739,-3.5743964705620428,2.1850633410171127,-4.8118138931705516,-0.69466656477246502,5.7594598115791555
792,1,ATU1,rmse,-8.2122161285050304,-1.8285282546436505,-3.9998804777877695,2.3838073960736104,-5.0203721915743404,-0.80803654085707954,6.3836878738613834
