origin,method,n_per_point,mae,rmse,crps,coverage80,width80,interval_score80,coverage90,width90,interval_score90,coverage95,width95,interval_score95
792,BPLUS_CONTINUOUS,293,23.582514327478208,27.313324693235963,24.157336515615388,0.54948805460750849,75.008991503086577,217.79102734855053,0.56825938566552903,96.272998328704517,366.24197087329276,0.57764505119453924,114.71635306398764,631.1815576174132
792,DRIFT1,293,4.9600133758283906,5.824269689498327,6.2740718102309723,0.9837883959044369,59.109581859581283,59.143644903792456,1,75.866326976862837,75.866326976862837,1,90.400304366035556,90.400304366035556
792,RR_COND,293,27.493400923428066,31.315923952310108,24.693028769120119,0.53583617747440271,91.560493407760362,212.09134378211368,0.57423208191126274,117.51662103679877,317.63934116972848,0.60665529010238906,140.02969081440514,477.09134144267148
792,BPLUS_ORIGIN_ANCHOR,293,23.564678075953122,27.297234668838499,24.151261707926668,0.54948805460750849,75.004522381050549,217.71749361608875,0.56825938566552903,96.26726227267082,366.08795040475684,0.57764505119453924,114.70951813165377,630.86227871759377
792,OLD_TRANSFORMER,293,28.322374181459143,32.638861837561372,26.065784697307436,0.52986348122866889,77.154544278364995,232.18408780697069,0.55119453924914674,99.026785502873167,388.13452158433955,0.59812286689419802,117.99769287077768,663.35993249072965
792,OLD_HALF,293,25.923436406353336,29.789180827174597,25.092188878710562,0.52559726962457332,75.770648317704683,225.65861967034124,0.56825938566552903,97.250574266887369,378.79690354804069,0.58447098976109213,115.88120664098494,651.74911117988745
792,OLD_REG1,293,25.407807002501634,29.408014403689794,24.632992837566281,0.54351535836177478,75.671148668949343,220.68798720198927,0.59556313993174059,97.122867850278155,369.35243973342654,0.61006825938566556,115.72903505984993,634.53155543503942
792,G11_ANCHOR_BOUNDARY,293,17.592085456934782,20.382464978410518,18.569143602137746,0.60750853242320824,78.37531023547379,167.39379138989165,0.62457337883959041,100.59362164602614,257.45865911399278,0.62969283276450505,119.86469328950005,398.31847264456178
792,G00_RAW_UNIFORM,293,27.557753729999959,30.145471331614601,26.956719568792124,0.53839590443686003,74.810077304659472,247.02150654048475,0.55204778156996581,96.017694718977424,422.15809065333303,0.5622866894197952,114.41214004953514,736.15663172563643
792,G10_ANCHOR_UNIFORM,293,24.032295459501732,26.778772942039772,22.837853905256775,0.56655290102389078,77.45521079344806,194.99445906483089,0.5887372013651877,99.412686797158727,306.70919039262503,0.60068259385665534,118.45752262461968,488.152313913775
792,T00_RAW_UNIFORM,293,26.866925601090919,29.468346539678969,26.540265800883347,0.54436860068259385,73.566763647459453,245.8409654174385,0.55546075085324231,94.421918916062737,423.80940427674471,0.56313993174061427,112.51065589929485,745.62256068559725
792,T10_ANCHOR_UNIFORM,293,26.277492585194977,29.102037297063124,24.629207442831337,0.55375426621160406,76.662546878097999,212.2129498901752,0.5725255972696246,98.395313676036622,344.87357000165917,0.58361774744027306,117.24524777926803,570.86276748827322
972,BPLUS_CONTINUOUS,293,61.563105654715187,67.16738918938411,48.09195283382784,0.22781569965870307,67.661105635248617,352.38791734290538,0.44197952218430042,86.842088917734046,535.73027460944616,0.55375426621160406,103.47873137893829,868.82363484720258
