origin,metric,a_at_uniform,a_at_boundary,b_at_raw,b_at_anchor,a_main,b_main,interaction
792,mae,-3.5254582704982269,-6.2393002101800192,-3.7263680628851574,-6.4402100025669498,-4.8823792403391231,-5.0832890327260536,-2.7138419396817923
792,rmse,-3.3666983895748288,-5.8670865729048423,-3.8959197802992414,-6.3963079636292548,-4.6168924812398355,-5.1461138719642481,-2.500388183330017
792,crps,-4.1188656635353489,-4.960017526921213,-3.4275584397331649,-4.268710303119029,-4.5394415952282809,-3.8481343714260969,-0.84115186338586412
792,interval_score90,-115.448900260708,-113.76966987737865,-50.929761661961606,-49.250531278632252,-114.60928506904332,-50.090146470296929,1.6792303833293545
792,coverage90,0.036689419795221889,0.04607508532423199,0.026450511945392607,0.035836177474402708,0.04138225255972694,0.031143344709897658,0.009385665529010101
792,width90,3.3949920781813034,4.910599841579355,-0.33467291453064263,1.180934848867409,4.1527959598803292,0.42313096716838317,1.5156077633980516
972,mae,-16.434882486492533,-14.201038545700129,-2.1995169177650027,0.034327023027401538,-15.317960516096331,-1.0825949473688006,2.2338439407924042
972,rmse,-17.036018752118501,-14.42605102282371,-2.322410442070229,0.28755728722456197,-15.731034887471106,-1.0174265774228335,2.6099677292947945
972,crps,-10.090423327858201,-8.6623489515776804,-1.7149131069183738,-0.2868387306378537,-9.3763861397179404,-1.0008759187781138,1.4280743762805201
972,interval_score90,-149.29177149089327,-98.520410112538059,-18.383581587319952,32.387779791035257,-123.90609080171566,7.0020991018576524,50.771361378355209
972,coverage90,0.086177474402730381,0.0017064846416381396,0.0025597269624574315,-0.08191126279863481,0.04394197952218426,-0.039675767918088689,-0.084470989761092241
972,width90,-12.002225160615765,-29.970607278306247,-13.549307226990763,-31.517689344681244,-20.986416219461006,-22.533498285836004,-17.968382117690481
1168,mae,-2.7119489656476201,-1.0486667684825486,-2.2842153487308057,-0.62093315156573414,-1.8803078670650843,-1.4525742501482699,1.6632821971650724
1168,rmse,-3.1160612314828295,-0.7787173103502294,-2.6936402460613955,-0.35629632492879537,-1.9473892709165295,-1.5249682854950954,2.3373439211326001
1168,crps,-3.0904535861008098,-1.7925063745248986,-1.2958241133688198,0.002123098207091445,-2.4414799803128542,-0.64685050758086415,1.2979472115759112
1168,interval_score90,-33.084336579271209,-22.062460304492248,-8.3236893260589397,2.6981869487200214,-27.573398441881729,-2.8127511886694592,11.021876274778961
1168,coverage90,-0.064846416382252525,-0.08361774744027306,0.0025597269624573205,-0.016211604095563215,-0.074232081911262793,-0.0068259385665529471,-0.018771331058020424
1168,width90,-45.673241729412126,-37.326290336096918,-7.9757996130630318,0.37115178025217688,-41.499766032754522,-3.8023239164054274,8.3469513933152086
