origin,seed,metric,a_at_uniform,a_at_boundary,b_at_raw,b_at_anchor,a_main,b_main,interaction
792,0,mae,-0.26613331436010412,-5.1633628704095216,-1.6578550141951851,-6.5550845702446026,-2.7147480923848128,-4.1064697922198938,-4.8972295560494175
792,0,rmse,-0.065802614926891323,-4.7059334975304701,-1.7912252955104542,-6.4313561781140329,-2.3858680562286807,-4.1112907368122436,-4.6401308826035788
792,0,crps,-1.0170350949491791,-3.8064222590834191,-1.3588759760931168,-4.1482631402273569,-2.4117286770162991,-2.7535695581602369,-2.78938716413424
792,0,interval_score90,-58.711573947946192,-89.793606347300909,-16.037838662384047,-47.119871061738763,-74.25259014762355,-31.578854862061405,-31.082032399354716
792,0,coverage90,0.00085324232081918083,0.043515358361774781,0,0.0426621160409556,0.022184300341296981,0.0213310580204778,0.0426621160409556
792,0,width90,3.3949920781812892,4.9105998415793408,-0.33467291453064263,1.180934848867409,4.152795959880315,0.42313096716838317,1.5156077633980516
792,1,mae,-5.9839854376353401,-7.216308093436087,-6.1588836649812357,-7.3912063207819827,-6.6001467655357136,-6.7750449928816092,-1.232322655800747
792,1,rmse,-6.2549394704187442,-6.9638779365925707,-6.4964883078353601,-7.2054267740091866,-6.6094087035056575,-6.8509575409222734,-0.7089384661738265
792,1,crps,-7.0267230537521819,-5.7602402819350935,-5.9475357375802993,-4.6810529657632109,-6.3934816678436377,-5.3142943516717551,1.2664827718170883
792,1,interval_score90,-170.46877449321454,-128.29763059193448,-97.523286247182909,-55.352142345902848,-149.38320254257451,-76.437714296542879,42.171143901280061
792,1,coverage90,0.046075085324232101,0.0426621160409556,0.043515358361774781,0.040102389078498279,0.044368600682593851,0.04180887372013653,-0.0034129692832765013
792,1,width90,3.3949920781812892,4.9105998415793408,-0.33467291453064263,1.180934848867409,4.152795959880315,0.42313096716838317,1.5156077633980516
792,2,mae,-4.2070160374443937,-6.1923582779329465,-3.2967906134329255,-5.2821328539214782,-5.1996871576886701,-4.2894617336772018,-1.9853422404885528
792,2,rmse,-3.8074611761714081,-5.8047387469608793,-3.4472842378125961,-5.4445618086020673,-4.8060999615661437,-4.4459230232073317,-1.9972775707894748
792,2,crps,-4.3323113906978961,-5.2840538245587894,-2.9287791110806083,-3.8805215449415016,-4.8081826076283427,-3.4046503280110549,-0.9517424338608933
792,2,interval_score90,-117.26191081548251,-123.04644708975314,-39.181867258351133,-44.966403532621769,-120.15417895261783,-42.074135395486451,-5.7845362742706357
792,2,coverage90,0.050341296928327783,0.046928327645051171,0.025597269624573427,0.022184300341296814,0.048634812286689477,0.02389078498293512,-0.0034129692832766123
792,2,width90,3.3949920781812892,4.9105998415793408,-0.33467291453064263,1.180934848867409,4.152795959880315,0.42313096716838317,1.5156077633980516
972,0,mae,-14.163353023840859,-13.776645832104219,-0.1233673036218903,0.26333988811474995,-13.969999427972539,0.069986292246429826,0.38670719173664025
972,0,rmse,-15.142788414699055,-14.210247564379774,-0.20416782670223199,0.72837302361704914,-14.676517989539414,0.26210259845740858,0.93254085031928469
972,0,crps,-9.9248304934294538,-9.3080308421227045,-0.42479731331423309,0.1920023379925162,-9.6164306677760791,-0.11639748766085845,0.6167996513067493
972,0,interval_score90,-161.35515830772783,-116.95597295890144,-4.3856626531463121,40.013522695680081,-139.15556563331464,17.813930021266884,44.399185348826393
972,0,coverage90,0.086177474402730381,-0.009385665529010212,-0.0042662116040955711,-0.099829351535836164,0.038395904436860084,-0.052047781569965867,-0.095563139931740593
972,0,width90,-12.002225160615779,-29.970607278306233,-13.549307226990763,-31.517689344681216,-20.986416219461006,-22.533498285835989,-17.968382117690453
972,1,mae,-17.169131991586625,-13.294286490147428,-3.508721199873996,0.36612430156520048,-15.231709240867026,-1.5712984491543978,3.8748455014391965
972,1,rmse,-17.892278434386768,-13.456914672703785,-3.5377935856807596,0.89757017600222255,-15.674596553545276,-1.3201117048392685,4.4353637616829786
972,1,crps,-10.142833883521789,-7.749089140167758,-2.4285264280041048,-0.034781684650074141,-8.9459615118447733,-1.2316540563270895,2.3937447433540306
972,1,interval_score90,-139.11271599427337,-78.532356627404141,-24.400819853401117,36.179539513468114,-108.82253631083876,5.8893598300334986,60.580359366869232
972,1,coverage90,0.12969283276450505,0.009385665529010323,0.059726962457337773,-0.060580204778156954,0.069539249146757687,-0.00042662116040959042,-0.12030716723549473
972,1,width90,-12.002225160615779,-29.970607278306233,-13.549307226990763,-31.517689344681216,-20.986416219461006,-22.533498285835989,-17.968382117690453
972,2,mae,-16.202630344189966,-14.08746720268023,-2.9925182834796757,-0.87735514196993947,-15.145048773435098,-1.9349367127248076,2.1151631415097363
972,2,rmse,-16.590511990341788,-14.428546591624954,-3.2545383436374493,-1.0925729449206152,-15.509529290983371,-2.1735556442790323,2.1619653987168306
972,2,crps,-9.8928737989534881,-8.5007106293537387,-2.307191263191303,-0.91502809359155357,-9.1967922141536143,-1.6111096783914283,1.3921631695997476
972,2,interval_score90,-146.75294700870541,-97.098305598796031,-27.645023438690885,22.009617971218489,-121.92562630375072,-2.8177027337361977,49.654641409909345
972,2,coverage90,0.081911262798634921,-0.013651877133105783,-0.0042662116040954601,-0.099829351535836164,0.034129692832764569,-0.052047781569965812,-0.095563139931740704
972,2,width90,-12.002225160615779,-29.970607278306233,-13.549307226990763,-31.517689344681216,-20.986416219461006,-22.533498285835989,-17.968382117690453
1168,0,mae,-3.7448318621044105,-0.72304652955448034,-2.1764349949830812,0.84535033756684896,-2.2339391958294454,-0.66554232870811614,3.0217853325499302
1168,0,rmse,-4.3241258938363316,-1.1902540326789559,-2.3233598168899601,0.81051204426741563,-2.7571899632576438,-0.75642388631127222,3.1338718611573757
1168,0,crps,-3.6100561983812867,-1.8897555447563636,-1.2186845535072397,0.50161610011768332,-2.7499058715688252,-0.35853422669477819,1.720300653624923
1168,0,interval_score90,-36.409987002356885,-23.150096321973152,-7.9265644187537134,5.3333262616300203,-29.780041662165019,-1.2966190785618465,13.259890680383734
1168,0,coverage90,-0.044368600682593851,-0.076791808873720058,0,-0.032423208191126207,-0.060580204778156954,-0.016211604095563104,-0.032423208191126207
1168,0,width90,-45.673241729412126,-37.326290336096903,-7.975799613063046,0.37115178025217688,-41.499766032754515,-3.8023239164054345,8.3469513933152228
1168,1,mae,-0.46881998543126535,-1.6726141669666754,-0.70453598295736342,-1.9083301644927735,-1.0707170761989704,-1.3064330737250684,-1.203794181535411
1168,1,rmse,-0.39367084480030101,-0.89210195198878317,-1.0302557050364562,-1.5286868122249384,-0.64288639839454209,-1.2794712586306973,-0.49843110718848216
1168,1,crps,-1.9191111194933548,-1.9256281555515482,-0.75973056049951992,-0.76624759655771335,-1.9223696375224515,-0.76298907852861664,-0.0065170360581934261
1168,1,interval_score90,-27.97383715715182,-23.15125453665145,-8.1958985968119578,-3.3733159763115879,-25.562545846901635,-5.7846072865617728,4.8225826205003699
1168,1,coverage90,-0.089590443686006882,-0.070819112627986458,0,0.018771331058020424,-0.08020477815699667,0.009385665529010212,0.018771331058020424
1168,1,width90,-45.673241729412126,-37.326290336096939,-7.9757996130630175,0.37115178025216977,-41.499766032754536,-3.8023239164054239,8.3469513933151802
1168,2,mae,-4.9827580648273013,-0.94555554517157159,-4.5391955073402812,-0.50199298768455147,-2.9641568049994365,-2.5205942475124163,4.0372025196557288
1168,2,rmse,-4.948415915061446,-0.76270678495002642,-4.5801170064379395,-0.39440787632651997,-2.8555613500057362,-2.4872624413822297,4.1857091301114195
1168,2,crps,-3.7662833040398418,-1.6696428824682288,-1.9970656835985245,0.099574737973088467,-2.7179630932540353,-0.94874547281271804,2.0966404215716139
1168,2,interval_score90,-34.234596077990815,-20.114584825637493,-8.7965472026088918,5.3234640497444303,-27.174590451814154,-1.7365415764322307,14.120011252353322
1168,2,coverage90,-0.058020477815699634,-0.086177474402730381,0.0051194539249146409,-0.023037542662116106,-0.072098976109215007,-0.0089590443686007326,-0.028156996587030747
1168,2,width90,-45.673241729412126,-37.326290336096918,-7.9757996130630318,0.37115178025217688,-41.499766032754522,-3.8023239164054274,8.3469513933152086
