origin,point,metric,a_at_uniform,a_at_boundary,b_at_raw,b_at_anchor,a_main,b_main,interaction
792,ATU1,mae,-4.2656459424019992,-6.5208094432906449,-6.1258450685742964,-8.3810085694629421,-5.3932276928463221,-7.2534268190186193,-2.2551635008886421
792,ATU1,rmse,-4.3841572567085265,-6.2110919465262313,-6.3984462329995573,-8.2253809228172621,-5.2976246016173789,-7.3119135779084097,-1.8269346898177048
792,ATU1,crps,-3.2798412764745493,-5.0961851894714663,-6.1623998538753817,-7.9787437668722987,-4.1880132329730078,-7.0705718103738402,-1.816343912996917
792,ATU1,interval_score90,-34.11320611617964,-60.145281928967165,-119.48383530509699,-145.51591111788451,-47.129244022573403,-132.49987321149075,-26.032075812787525
792,ATU1,coverage90,-0.037542662116040959,-0.013651877133105811,0.098976109215017066,0.12286689419795221,-0.025597269624573385,0.11092150170648464,0.023890784982935148
792,ATU1,width90,-6.5507862095796998,-8.5267752963990251,0.60868656187061632,-1.367302524948709,-7.5387807529893625,-0.37930798153904632,-1.9759890868193253
792,ATU5,mae,-10.773462621138961,-11.860367241389962,-6.3270952406762575,-7.4139998609272588,-11.316914931264462,-6.8705475508017582,-1.0869046202510049
792,ATU5,rmse,-10.439198600529018,-11.655260419496088,-6.1804638452935947,-7.3965256642606647,-11.047229510012553,-6.7884947547771297,-1.21606181896707
792,ATU5,crps,-14.591583229421378,-14.794663888131154,-5.52979763629844,-5.7328782950082164,-14.693123558776266,-5.6313379656533282,-0.20308065870977998
792,ATU5,interval_score90,-417.13846435367054,-397.05231610098122,-86.61484054073685,-66.528692288047523,-407.09539022732588,-76.571766414392187,20.086148252689327
792,ATU5,coverage90,0.20477815699658702,0.19795221843003413,0.0068259385665529054,0,0.20136518771331058,0.0034129692832764527,-0.0068259385665529054
792,ATU5,width90,31.336075711504925,26.050256142282699,-4.327007417980667,-9.6128269872028937,28.693165926893812,-6.9699172025917804,-5.2858195692222267
792,MJ3,mae,-1.9419635209197068,-7.2723292843775207,1.4327370353147479,-3.8976287281430659,-4.6071464026486133,-1.232445846414159,-5.3303657634578148
792,MJ3,rmse,-1.6002953220774891,-6.7540002804956858,1.2001254704803603,-3.9535794879378363,-4.177147801286587,-1.376727008728738,-5.1537049584181958
792,MJ3,crps,-0.52374617678579227,-0.46089760691441484,0.13115869977579209,0.19400726964716952,-0.49232189185010355,0.1625829847114808,0.062848569871377435
792,MJ3,interval_score90,-5.2138438290894555,1.8993784915958827,-0.097851600851754483,7.0153707198335837,-1.6572326687467864,3.4587595594909146,7.1132223206853382
792,MJ3,coverage90,0,0,0,0,0,0,0
792,MJ3,width90,-5.2138438290894555,1.8993784915958827,-0.097851600851754483,7.0153707198335837,-1.6572326687467864,3.4587595594909146,7.1132223206853382
792,MJ1,mae,2.8792390024677665,0.69630512833803948,-3.8852689776048202,-6.0682028517345472,1.787772065402903,-4.9767359146696837,-2.1829338741297271
792,MJ1,rmse,2.9568576210157076,1.1520063548986332,-4.2048945133841631,-6.0097457795012375,2.0544319879571704,-5.1073201464427003,-1.8048512661170761
792,MJ1,crps,1.9197080285403203,0.51167657683219403,-2.149194968534637,-3.5572264202427633,1.2156923026862572,-2.8532106943887001,-1.4080314517081263
792,MJ1,interval_score90,-5.3300867438924371,0.21954002883784085,2.477480798839224,8.0271075715695019,-2.5552733575272981,5.252294185204363,5.5496267727302779
792,MJ1,coverage90,-0.020477815699658675,0,0,0.020477815699658675,-0.010238907849829337,0.010238907849829337,0.020477815699658675
792,MJ1,width90,-5.9914773601105935,0.21954002883784085,2.477480798839224,8.6884981877876584,-2.8859686656363763,5.5829894933134412,6.2110173889484344
972,ATU1,mae,-22.820061873871957,-20.99798783260729,-2.0665449830253486,-0.2444709417606834,-21.909024853239622,-1.155507962393016,1.8220740412646634
972,ATU1,rmse,-22.544034152582523,-20.382725102828637,-2.3350407031918792,-0.17373165343799268,-21.463379627705578,-1.2543861783149359,2.1613090497538856
972,ATU1,crps,-8.5447777428215534,-9.6045606500460252,-1.6177208217717141,-2.6775037289961858,-9.0746691964337884,-2.1476122753839499,-1.05978290722447
972,ATU1,interval_score90,-24.854096717557937,-41.887335540172074,-22.729093444401457,-39.762332267015594,-33.370716128865006,-31.245712855708526,-17.033238822614123
972,ATU1,coverage90,0,0,0,0,0,0,0
972,ATU1,width90,-24.854096717557937,-41.887335540172074,-22.729093444401457,-39.762332267015594,-33.370716128865006,-31.245712855708526,-17.033238822614123
972,ATU5,mae,-17.643889480765651,-15.152406855798491,-1.8901660068418664,0.60131661812529558,-16.39814816828207,-0.64442469435828542,2.491482624967162
972,ATU5,rmse,-16.201647034101352,-13.204394969275087,-1.8820539593269778,1.115198105499287,-14.703021001688221,-0.38342792691384542,2.9972520648262631
972,ATU5,crps,-7.3175928419620941,-7.5967662262713276,-1.657371351965601,-1.9365447362748345,-7.4571795341167109,-1.7969580441202178,-0.27917338430923166
972,ATU5,interval_score90,-53.027871928266023,-67.072969004829929,-20.811831284019235,-34.85692836058314,-60.050420466547976,-27.834379822301187,-14.045097076563906
972,ATU5,coverage90,0,0,0,0,0,0,0
972,ATU5,width90,-53.027871928266023,-67.072969004829929,-20.811831284019235,-34.85692836058314,-60.050420466547976,-27.834379822301187,-14.045097076563906
972,MJ3,mae,-8.4301119490943783,-6.9603682769192048,-1.6667668881018116,-0.19702321592663807,-7.6952401130067916,-0.93189505201422485,1.46974367217517
972,MJ3,rmse,-11.372526303042115,-9.5268863206090515,-1.8214758058408975,0.024164176592165632,-10.449706311825583,-0.89865581462436595,1.8456399824330632
972,MJ3,crps,-10.947602027767246,-6.5195385986678183,-2.0642549069701204,2.3638085221293075,-8.7335703132175322,0.14977680757959355,4.4280634290994279
972,MJ3,interval_score90,-297.09768164381347,-120.10841505326931,-50.43398692826463,126.55527966227953,-208.60304834854139,38.06064636700745,176.98926659054416
972,MJ3,coverage90,0.064846416382252581,-0.085324232081911255,0.044368600682593851,-0.10580204778156999,-0.010238907849829337,-0.030716723549488067,-0.15017064846416384
972,MJ3,width90,23.962105014727968,-4.0006800783144172,4.0148907533589409,-23.947894339683444,9.9807124682067752,-9.9665017931622515,-27.962785093042385
972,MJ1,mae,-16.845466642238165,-13.693391217475515,-3.174589793091009,-0.022514368328359069,-15.26942892985684,-1.598552080709684,3.1520754247626499
972,MJ1,rmse,-18.025867518748036,-14.590197698582049,-3.2510712999211862,0.18459852024480128,-16.308032608665044,-1.5332363898381924,3.4356698201659839
972,MJ1,crps,-13.551720698881926,-10.928530331325547,-1.5203053469660723,1.1028850205903069,-12.240125515103736,-0.20871016318788271,2.6231903675563792
972,MJ1,interval_score90,-222.18743567393545,-165.01292085188092,20.44058530740557,77.615100129460117,-193.60017826290817,49.027842718432844,57.174514822054562
972,MJ1,coverage90,0.279863481228669,0.092150170648464147,-0.034129692832764513,-0.22184300341296936,0.18600682593856657,-0.12798634812286694,-0.18771331058020491
972,MJ1,width90,5.9109629886329174,-6.9214444899085237,-14.671194932901294,-27.503602411442735,-0.50524075063780316,-21.087398672172014,-12.832407478541441
1168,ATU1,mae,-0.83098525195559603,1.8105942981110426,-2.3983340079104307,0.24324554215620786,0.48980452307772326,-1.0775442328771114,2.6415795500666386
1168,ATU1,rmse,-1.7131130362833389,0.99363193386044202,-2.6977718989743824,0.0089730711693984944,-0.35974055121144843,-1.344399413902492,2.7067449701437809
1168,ATU1,crps,-2.3546811391376252,-0.7429287115172869,-1.3301797482176001,0.28157267940273822,-1.5488049253274561,-0.52430353440743094,1.6117524276203383
1168,ATU1,interval_score90,-20.655590862471868,-1.7905232406751566,-8.7761931019172863,10.088874519879425,-11.223057051573512,0.65634070898106955,18.865067621796712
1168,ATU1,coverage90,-0.20819112627986347,-0.30375426621160406,0.0068259385665528916,-0.088737201365187701,-0.25597269624573377,-0.040955631399317405,-0.095563139931740482
1168,ATU1,width90,-61.026487156743926,-58.500651400310545,-7.7472688673779118,-5.2214331109445311,-59.763569278527235,-6.4843509891612214,2.5258357564333807
1168,ATU5,mae,-3.1746678812506781,-1.8159125816478157,-2.2744889903119834,-0.91573369070912092,-2.4952902314492471,-1.5951113405105521,1.358755299602862
1168,ATU5,rmse,-3.8905626866222116,-1.0296285662857194,-3.6060093590529076,-0.74507523871641546,-2.4600956264539655,-2.1755422988846616,2.8609341203364913
1168,ATU5,crps,-3.820321174355565,-1.9784867864463855,-1.5044309227079307,0.33740346520124875,-2.899403980400975,-0.58351372875334095,1.8418343879091799
1168,ATU5,interval_score90,-39.921376125783489,-24.291346238775624,-9.2308768842854221,6.3991530027224428,-32.106361182279556,-1.4158619407814896,15.630029887007865
1168,ATU5,coverage90,-0.051194539249146742,-0.030716723549488067,0.0034129692832765013,0.023890784982935176,-0.040955631399317405,0.013651877133105839,0.020477815699658675
1168,ATU5,width90,-49.906100432075142,-28.636538205558963,-8.8682422668411931,12.401319959674986,-39.271319318817049,1.7665388464168963,21.269562226516179
1168,MJ3,mae,-4.6657503351631497,-2.6641190905055048,-3.4373752009450698,-1.4357439562874248,-3.6649347128343273,-2.4365595786162473,2.001631244657645
1168,MJ3,rmse,-3.7299730293785096,-1.653585250501326,-3.0780513487685042,-1.0016635698913205,-2.6917791399399178,-2.0398574593299124,2.0763877788771836
1168,MJ3,crps,-2.4118205224158036,-1.5667296616801316,-1.4341790647097152,-0.58908820397404327,-1.9892750920479676,-1.0116336343418793,0.84509086073567197
1168,MJ3,interval_score90,-22.200415774150315,-21.650597441017297,-4.9572398777651614,-4.4074215446321432,-21.925506607583806,-4.6823307111986523,0.54981833313303241
1168,MJ3,coverage90,0,0,0,0,0,0,0
1168,MJ3,width90,-22.200415774150315,-21.650597441017297,-4.9572398777651614,-4.4074215446321432,-21.925506607583806,-4.6823307111986523,0.54981833313303241
1168,MJ1,mae,-2.1763923942210575,-1.5252296998879125,-1.0266631957557424,-0.37550050142259739,-1.850811047054485,-0.70108184858916989,0.651162694333145
1168,MJ1,rmse,-3.130596173647259,-1.425287358474316,-1.3927283774497861,0.31258043772315691,-2.2779417660607875,-0.54007396986331457,1.705308815172943
1168,MJ1,crps,-3.7749915084942431,-2.8818803384557929,-0.91450671784002324,-0.021395547801573045,-3.328435923475018,-0.46795113282079814,0.8931111700384502
1168,MJ1,interval_score90,-49.559963554679129,-40.517374297500893,-10.330447440267847,-1.287858183089611,-45.038668926090011,-5.8091528116787288,9.0425892571782356
1168,MJ1,coverage90,0,0,0,0,0,0,0
1168,MJ1,width90,-49.559963554679129,-40.517374297500893,-10.330447440267847,-1.287858183089611,-45.038668926090011,-5.8091528116787288,9.0425892571782356
