origin,method,seed,n_per_point,mae,rmse,crps,coverage80,width80,interval_score80,coverage90,width90,interval_score90,coverage95,width95,interval_score95
792,BPLUS_CONTINUOUS,0,293,23.582514327478208,27.313324693235963,24.157336515615388,0.54948805460750849,75.008991503086577,217.79102734855053,0.56825938566552903,96.272998328704517,366.24197087329276,0.57764505119453924,114.71635306398764,631.1815576174132
792,BPLUS_CONTINUOUS,1,293,23.582514327478208,27.313324693235963,24.157336515615388,0.54948805460750849,75.008991503086577,217.79102734855053,0.56825938566552903,96.272998328704517,366.24197087329276,0.57764505119453924,114.71635306398764,631.1815576174132
792,BPLUS_CONTINUOUS,2,293,23.582514327478208,27.313324693235963,24.157336515615388,0.54948805460750849,75.008991503086577,217.79102734855053,0.56825938566552903,96.272998328704517,366.24197087329276,0.57764505119453924,114.71635306398764,631.1815576174132
792,DRIFT1,0,293,4.9600133758283906,5.824269689498327,6.2740718102309723,0.9837883959044369,59.109581859581283,59.143644903792456,1,75.866326976862837,75.866326976862837,1,90.400304366035556,90.400304366035556
792,DRIFT1,1,293,4.9600133758283906,5.824269689498327,6.2740718102309723,0.9837883959044369,59.109581859581283,59.143644903792456,1,75.866326976862837,75.866326976862837,1,90.400304366035556,90.400304366035556
792,DRIFT1,2,293,4.9600133758283906,5.824269689498327,6.2740718102309723,0.9837883959044369,59.109581859581283,59.143644903792456,1,75.866326976862837,75.866326976862837,1,90.400304366035556,90.400304366035556
792,RR_COND,0,293,27.493400923428066,31.315923952310108,24.693028769120119,0.53583617747440271,91.560493407760362,212.09134378211368,0.57423208191126274,117.51662103679877,317.63934116972848,0.60665529010238906,140.02969081440514,477.09134144267148
792,RR_COND,1,293,27.493400923428066,31.315923952310108,24.693028769120119,0.53583617747440271,91.560493407760362,212.09134378211368,0.57423208191126274,117.51662103679877,317.63934116972848,0.60665529010238906,140.02969081440514,477.09134144267148
792,RR_COND,2,293,27.493400923428066,31.315923952310108,24.693028769120119,0.53583617747440271,91.560493407760362,212.09134378211368,0.57423208191126274,117.51662103679877,317.63934116972848,0.60665529010238906,140.02969081440514,477.09134144267148
792,BPLUS_ORIGIN_ANCHOR,0,293,23.564678075953122,27.297234668838499,24.151261707926668,0.54948805460750849,75.004522381050549,217.71749361608875,0.56825938566552903,96.26726227267082,366.08795040475684,0.57764505119453924,114.70951813165377,630.86227871759377
792,BPLUS_ORIGIN_ANCHOR,1,293,23.564678075953122,27.297234668838499,24.151261707926668,0.54948805460750849,75.004522381050549,217.71749361608875,0.56825938566552903,96.26726227267082,366.08795040475684,0.57764505119453924,114.70951813165377,630.86227871759377
792,BPLUS_ORIGIN_ANCHOR,2,293,23.564678075953122,27.297234668838499,24.151261707926668,0.54948805460750849,75.004522381050549,217.71749361608875,0.56825938566552903,96.26726227267082,366.08795040475684,0.57764505119453924,114.70951813165377,630.86227871759377
792,G00_RAW_UNIFORM,0,293,25.033402480422311,27.522000592432498,24.3455914609807,0.55290102389078499,74.810077304659472,222.9586488491434,0.57593856655290099,96.017694718977424,374.95064977346271,0.58617747440273038,114.41214004953514,643.6426265969917
792,G00_RAW_UNIFORM,1,293,29.870271782750152,32.844849438357272,29.398783183597793,0.53839590443686003,74.810077304659472,269.44402749777754,0.54948805460750849,96.017694718977424,466.8816441721973,0.55546075085324231,114.41214004953514,825.32099726053889
792,G00_RAW_UNIFORM,2,293,27.849756621459377,30.264118907627807,27.199184808209189,0.52474402730375425,74.810077304659472,249.02943158234805,0.54351535836177467,96.017694718977424,425.58905664600172,0.55460750853242313,114.41214004953514,742.53808263051474
792,G10_ANCHOR_UNIFORM,0,293,24.767269166062206,27.456197977505607,23.32855636603152,0.55460750853242313,77.45521079344806,200.33124751568118,0.57679180887372017,99.412686797158713,316.23907582551652,0.58703071672354956,118.45752262461968,505.88458355859888
792,G10_ANCHOR_UNIFORM,1,293,23.886286345114812,26.589909967938528,22.372060129845611,0.57764505119453924,77.45521079344806,189.36418436430884,0.59556313993174059,99.412686797158713,296.41286967898276,0.59982935153583616,118.45752262461968,467.95398606794896
792,G10_ANCHOR_UNIFORM,2,293,23.642740584014984,26.456657731456399,22.866873417511293,0.5691126279863481,77.45521079344806,195.7765290489377,0.59385665529010245,99.412686797158713,308.32714583051921,0.61604095563139927,118.45752262461968,491.63550703327468
792,G01_RAW_BOUNDARY,0,293,23.375547466227125,25.730775296922044,22.986715484887583,0.55972696245733788,74.549324256160418,213.66844214581809,0.57593856655290099,95.683021804446781,358.91281111107867,0.58276450511945388,114.01335267518567,615.07225780114413
792,G01_RAW_BOUNDARY,1,293,23.711388117768916,26.348361130521912,23.451247446017494,0.58105802047781574,74.549324256160418,218.56414237116618,0.59300341296928327,95.683021804446781,369.35835792501439,0.59470989761092152,114.01335267518567,636.90191076017618
792,G01_RAW_BOUNDARY,2,293,24.552966008026452,26.816834669815211,24.270405697128581,0.55290102389078499,74.549324256160418,227.53377279776163,0.5691126279863481,95.683021804446781,386.40718938765059,0.57508532423208192,114.01335267518567,669.82592339500184
792,G11_ANCHOR_BOUNDARY,0,293,18.212184595817604,21.024841799391574,19.180293225804164,0.60324232081911267,78.37531023547379,173.39409931390313,0.61945392491467577,100.59362164602612,269.11920476377776,0.62286689419795227,119.86469328950005,421.33436171174492
792,G11_ANCHOR_BOUNDARY,1,293,16.495080024332829,19.384483193929341,17.6910071640824,0.61774744027303763,78.37531023547379,158.93297343394863,0.63566552901023887,100.59362164602612,241.06072733307991,0.63651877133105805,119.86469328950005,366.10547381725445
792,G11_ANCHOR_BOUNDARY,2,293,18.360607730093506,21.012095922854332,18.986351872569792,0.60238907849829348,78.37531023547379,170.55897293277795,0.61604095563139927,100.59362164602612,263.36074229789745,0.62201365187713309,119.86469328950005,409.39439664613678
972,BPLUS_CONTINUOUS,0,293,61.563105654715187,67.16738918938411,48.09195283382784,0.22781569965870307,67.661105635248617,352.38791734290538,0.44197952218430042,86.842088917734046,535.73027460944616,0.55375426621160406,103.47873137893829,868.82363484720258
972,BPLUS_CONTINUOUS,1,293,61.563105654715187,67.16738918938411,48.09195283382784,0.22781569965870307,67.661105635248617,352.38791734290538,0.44197952218430042,86.842088917734046,535.73027460944616,0.55375426621160406,103.47873137893829,868.82363484720258
972,BPLUS_CONTINUOUS,2,293,61.563105654715187,67.16738918938411,48.09195283382784,0.22781569965870307,67.661105635248617,352.38791734290538,0.44197952218430042,86.842088917734046,535.73027460944616,0.55375426621160406,103.47873137893829,868.82363484720258
972,DRIFT1,0,293,8.6373392339333819,10.594506460633186,7.0340237741414544,0.39249146757679182,14.57471637624883,54.771497245775898,0.44368600682593862,18.706445950205875,79.448306641031678,0.60324232081911267,22.290105174343523,119.58042682149103
972,DRIFT1,1,293,8.6373392339333819,10.594506460633186,7.0340237741414544,0.39249146757679182,14.57471637624883,54.771497245775898,0.44368600682593862,18.706445950205875,79.448306641031678,0.60324232081911267,22.290105174343523,119.58042682149103
972,DRIFT1,2,293,8.6373392339333819,10.594506460633186,7.0340237741414544,0.39249146757679182,14.57471637624883,54.771497245775898,0.44368600682593862,18.706445950205875,79.448306641031678,0.60324232081911267,22.290105174343523,119.58042682149103
972,RR_COND,0,293,43.445352022147233,48.588247590159071,33.31071408273327,0.44539249146757676,66.79237283582664,239.39875913888406,0.5955631399317407,85.727082440898528,366.35583903757129,0.65529010238907848,102.15011921471987,592.94094788780262
972,RR_COND,1,293,43.445352022147233,48.588247590159071,33.31071408273327,0.44539249146757676,66.79237283582664,239.39875913888406,0.5955631399317407,85.727082440898528,366.35583903757129,0.65529010238907848,102.15011921471987,592.94094788780262
972,RR_COND,2,293,43.445352022147233,48.588247590159071,33.31071408273327,0.44539249146757676,66.79237283582664,239.39875913888406,0.5955631399317407,85.727082440898528,366.35583903757129,0.65529010238907848,102.15011921471987,592.94094788780262
972,BPLUS_ORIGIN_ANCHOR,0,293,32.6117693400546,40.43336462468659,27.83801213011558,0.67235494880546076,67.591501030967279,233.52463417607268,0.70136518771331058,86.752752375309342,388.24376753991476,0.71587030716723543,103.37228032287669,658.02529933176879
972,BPLUS_ORIGIN_ANCHOR,1,293,32.6117693400546,40.43336462468659,27.83801213011558,0.67235494880546076,67.591501030967279,233.52463417607268,0.70136518771331058,86.752752375309342,388.24376753991476,0.71587030716723543,103.37228032287669,658.02529933176879
972,BPLUS_ORIGIN_ANCHOR,2,293,32.6117693400546,40.43336462468659,27.83801213011558,0.67235494880546076,67.591501030967279,233.52463417607268,0.70136518771331058,86.752752375309342,388.24376753991476,0.71587030716723543,103.37228032287669,658.02529933176879
972,G00_RAW_UNIFORM,0,293,31.953375054961718,36.454728845126041,25.5056317066696,0.67832764505119458,84.7389982181558,211.18563761112577,0.70563139931740615,108.76132674703292,332.27031958206192,0.71672354948805461,129.59711420040315,529.89972995013807
972,G00_RAW_UNIFORM,1,293,33.603729397380391,38.054317112066144,25.856449906039,0.62883959044368598,84.7389982181558,207.99487763987338,0.65102389078498302,108.76132674703292,324.9444606568199,0.70051194539249151,129.59711420040315,513.99626203992329
972,G00_RAW_UNIFORM,2,293,33.660836038890984,38.070085135122113,25.982366365747957,0.66040955631399323,84.7389982181558,210.81530042764524,0.70989761092150161,108.76132674703292,331.72924813243253,0.71928327645051193,129.59711420040315,529.4723597435318
972,G10_ANCHOR_UNIFORM,0,293,17.790022031120859,21.311940430426986,15.580801213240147,0.73890784982935154,75.387728176508602,127.73983479128287,0.79180887372013653,96.759101586417145,170.91516127433408,0.81399317406143346,115.29558082156643,223.95976282173706
972,G10_ANCHOR_UNIFORM,1,293,16.434597405793767,20.162038677679377,15.713616022517211,0.7337883959044369,75.387728176508588,133.52239208513484,0.78071672354948807,96.759101586417145,185.83174466254653,0.82167235494880542,115.29558082156643,255.31994922448709
972,G10_ANCHOR_UNIFORM,2,293,17.458205694701018,21.479573144780325,16.089492566794469,0.72781569965870307,75.387728176508588,134.39701927979004,0.79180887372013653,96.759101586417145,184.97630112372713,0.84556313993174059,115.29558082156643,258.73836517356915
972,G01_RAW_BOUNDARY,0,293,31.830007751339828,36.250561018423809,25.080834393355367,0.68856655290102387,74.182353174318663,204.04713753905585,0.70136518771331058,95.212019520042162,327.8846569289156,0.71075085324232079,113.45211883714497,534.11488768396373
972,G01_RAW_BOUNDARY,1,293,30.095008197506395,34.516523526385384,23.427923478034895,0.67235494880546076,74.182353174318663,189.75828126095189,0.71075085324232079,95.212019520042162,300.54364080341878,0.72354948805460739,113.45211883714497,482.12758685263088
972,G01_RAW_BOUNDARY,2,293,30.668317755411309,34.815546791484664,23.675175102556654,0.68344709897610922,74.182353174318663,191.77997462393108,0.70563139931740615,95.212019520042162,304.08422469374165,0.71587030716723554,113.45211883714495,487.98178777866656
972,G11_ANCHOR_BOUNDARY,0,293,18.053361919235609,22.040313454044036,15.772803551232663,0.65529010238907848,50.831412976058161,135.2486145948308,0.69197952218430037,65.241412241735929,210.92868397001416,0.72525597269624575,77.739937584188226,333.20541484477104
972,G11_ANCHOR_BOUNDARY,1,293,16.800721707358967,21.059608853681599,15.678834337867137,0.69709897610921501,50.831412976058161,139.32228175150249,0.72013651877133111,65.241412241735929,222.01128417601464,0.74488054607508525,77.739937584188226,359.43386652493092
972,G11_ANCHOR_BOUNDARY,2,293,16.580850552731079,20.38700019985971,15.174464473202915,0.6578498293515358,50.831412976058161,132.52137662775658,0.69197952218430037,65.241412241735929,206.98591909494561,0.73122866894197946,77.739937584188226,327.07105045647791
1168,BPLUS_CONTINUOUS,0,293,6.9016892503619642,9.1241732177745973,14.894908209734146,1,157.10494480504926,157.10494480504926,1,201.64201365146147,201.64201365146147,1,240.27127888544848,240.27127888544848
1168,BPLUS_CONTINUOUS,1,293,6.9016892503619642,9.1241732177745973,14.894908209734146,1,157.10494480504926,157.10494480504926,1,201.64201365146147,201.64201365146147,1,240.27127888544848,240.27127888544848
1168,BPLUS_CONTINUOUS,2,293,6.9016892503619642,9.1241732177745973,14.894908209734146,1,157.10494480504926,157.10494480504926,1,201.64201365146147,201.64201365146147,1,240.27127888544848,240.27127888544848
1168,DRIFT1,0,293,9.109845279087784,12.977734531327499,7.5850142827683182,0.64931740614334477,22.143964933972455,60.349973068814748,0.71075085324232079,28.421471297764327,88.559115918360874,0.75853242320819114,33.866271878853581,131.71247414362051
1168,DRIFT1,1,293,9.109845279087784,12.977734531327499,7.5850142827683182,0.64931740614334477,22.143964933972455,60.349973068814748,0.71075085324232079,28.421471297764327,88.559115918360874,0.75853242320819114,33.866271878853581,131.71247414362051
1168,DRIFT1,2,293,9.109845279087784,12.977734531327499,7.5850142827683182,0.64931740614334477,22.143964933972455,60.349973068814748,0.71075085324232079,28.421471297764327,88.559115918360874,0.75853242320819114,33.866271878853581,131.71247414362051
1168,RR_COND,0,293,11.318236548369157,12.338213669009026,13.077240340273208,1,128.68886090991452,128.68886090991452,1,165.17036481944021,165.17036481944021,1,196.81262882912762,196.81262882912762
