origin,arm,seed,horizon,point,baseline_teacher,input_teacher,coherent,bplus_mean_residual_mm,bplus_rmse_mm,correction_mean_mm,forecast_rmse_mm,new_minus_old_bplus_mean_mm,required_correction_change_mm,actual_correction_change_mm
612,GRU_LOCAL,0,292,ATU1,612,612,True,-4.2168799406164323,9.1922009850686539,4.3946670848174474,12.536561664445456,36.149555061350306,-36.149555061350306,-21.2690077549845
612,GRU_LOCAL,0,292,ATU5,612,612,True,-4.5160254806391276,10.697940817016667,8.3562598844427978,15.790187935260548,109.91734576116929,-109.91734576116929,-66.265927770360989
612,GRU_LOCAL,0,292,MJ3,612,612,True,-77.560651055115002,89.166826289319417,0.53698774918165881,89.587084895640814,-25.764637996728926,25.764637996728926,13.185273390150673
612,GRU_LOCAL,0,292,MJ1,612,612,True,-22.575542523130032,30.239015723070494,-0.36552660570654771,30.164692415289132,-38.617620709160889,38.617620709160889,15.46503996328884
612,GRU_LOCAL,0,292,ATU1,612,432,False,-4.2168799406164323,9.1922009850686539,25.663674839801949,31.319983134130627,36.149555061350306,-36.149555061350306,-21.2690077549845
612,GRU_LOCAL,0,292,ATU5,612,432,False,-4.5160254806391276,10.697940817016667,74.622187654803795,80.224988162759033,109.91734576116929,-109.91734576116929,-66.265927770360989
612,GRU_LOCAL,0,292,MJ3,612,432,False,-77.560651055115002,89.166826289319417,-12.648285640969013,78.265509695694064,-25.764637996728926,25.764637996728926,13.185273390150673
612,GRU_LOCAL,0,292,MJ1,612,432,False,-22.575542523130032,30.239015723070494,-15.830566568995387,21.3377230462904,-38.617620709160889,38.617620709160889,15.46503996328884
612,GRU_LOCAL,0,292,ATU1,432,612,False,31.932675120733869,38.274538736283816,4.3946670848174474,34.7656081208643,36.149555061350306,-36.149555061350306,-21.2690077549845
612,GRU_LOCAL,0,292,ATU5,432,612,False,105.40132028053016,112.56364740953292,8.3562598844427978,104.78125954609111,109.91734576116929,-109.91734576116929,-66.265927770360989
612,GRU_LOCAL,0,292,MJ3,432,612,False,-103.32528905184394,113.23046843850615,0.53698774918165881,113.62255003790428,-25.764637996728926,25.764637996728926,13.185273390150673
612,GRU_LOCAL,0,292,MJ1,432,612,False,-61.193163232290928,67.606647198221069,-0.36552660570654771,67.208486813155716,-38.617620709160889,38.617620709160889,15.46503996328884
612,GRU_LOCAL,0,292,ATU1,432,432,True,31.932675120733869,38.274538736283816,25.663674839801949,23.029972943435649,36.149555061350306,-36.149555061350306,-21.2690077549845
612,GRU_LOCAL,0,292,ATU5,432,432,True,105.40132028053016,112.56364740953292,74.622187654803795,51.475175282592986,109.91734576116929,-109.91734576116929,-66.265927770360989
612,GRU_LOCAL,0,292,MJ3,432,432,True,-103.32528905184394,113.23046843850615,-12.648285640969013,101.54644532496984,-25.764637996728926,25.764637996728926,13.185273390150673
612,GRU_LOCAL,0,292,MJ1,432,432,True,-61.193163232290928,67.606647198221069,-15.830566568995387,53.265988707171502,-38.617620709160889,38.617620709160889,15.46503996328884
612,GRU_LOCAL,1,292,ATU1,612,612,True,-4.2168799406164323,9.1922009850686539,4.81543454761644,12.742196026515449,36.149555061350306,-36.149555061350306,-21.706672502188049
612,GRU_LOCAL,1,292,ATU5,612,612,True,-4.5160254806391276,10.697940817016667,3.4533254514298202,12.522182561201245,109.91734576116929,-109.91734576116929,-73.375726089177931
612,GRU_LOCAL,1,292,MJ3,612,612,True,-77.560651055115002,89.166826289319417,-1.9953544647476307,87.135610077124937,-25.764637996728926,25.764637996728926,14.291837698422738
612,GRU_LOCAL,1,292,MJ1,612,612,True,-22.575542523130032,30.239015723070494,-2.5192209969670705,28.300203058658965,-38.617620709160889,38.617620709160889,16.312923653709312
