origin,seed,arm,step,point,residual_mean_mm,correction_mean_mm,rmse_mm,bplus_rmse_mm,mse_normalized,penalty_normalized
612,0,GRU_LOCAL,0,ATU1,55.684350812235422,0,55.777633858873315,55.777633858873315,0.13652114505938495,0
612,0,GRU_LOCAL,0,ATU5,158.10283668467002,0,158.87000899068966,158.87000899068966,0.8302691319208344,0
612,0,GRU_LOCAL,0,MJ3,-19.034348706905263,0,20.688069244257271,20.688069244257271,0.048324486037823071,0
612,0,GRU_LOCAL,0,MJ1,-28.770278140776647,0,30.127473551248798,30.127473551248798,0.1820481054011831,0
612,0,GRU_LOCAL,50,ATU1,55.684350812235422,24.853994792993312,31.417275743003202,55.777633858873315,0.043312853401413991,0.028350364265116643
612,0,GRU_LOCAL,50,ATU5,158.10283668467002,74.312979223386762,85.103297009648088,158.87000899068966,0.2382472095304288,0.18897032221941451
612,0,GRU_LOCAL,50,MJ3,-19.034348706905263,-9.6760756308498568,11.156629781571311,20.688069244257271,0.014053786934981794,0.014353782882352641
612,0,GRU_LOCAL,50,MJ1,-28.770278140776647,-12.83489535315814,17.26184771799306,30.127473551248798,0.059763400116476365,0.037770213033988052
612,0,GRU_LOCAL,100,ATU1,55.684350812235422,26.406658440821715,29.950963760141363,55.777633858873315,0.039364192892430337,0.032025197857839249
612,0,GRU_LOCAL,100,ATU5,158.10283668467002,76.231281414651278,82.973863131219133,158.87000899068966,0.22647364652092186,0.19548356512528556
612,0,GRU_LOCAL,100,MJ3,-19.034348706905263,-8.774624791884067,11.808215830971582,20.688069244257271,0.015743304179661154,0.010561880480437564
612,0,GRU_LOCAL,100,MJ1,-28.770278140776647,-13.875659013628697,16.37219791214709,30.127473551248798,0.053761912239431761,0.04117091996727508
612,0,GRU_LOCAL,200,ATU1,55.684350812235422,27.946411664833821,28.25245485653117,55.777633858873315,0.035026127745610341,0.035244678579106667
612,0,GRU_LOCAL,200,ATU5,158.10283668467002,78.176987512868635,80.888623966213757,158.87000899068966,0.21523353896104933,0.2034311033649433
612,0,GRU_LOCAL,200,MJ3,-19.034348706905263,-9.5299205923522745,10.921191491306265,20.688069244257271,0.013466891637160527,0.011987848062355387
612,0,GRU_LOCAL,200,MJ1,-28.770278140776647,-14.164106829392695,15.953880235375136,30.127473551248798,0.051049723108660572,0.042803586215207662
612,0,GRU_GRAPH,0,ATU1,55.684350812235422,0,55.777633858873315,55.777633858873315,0.13652114505938495,0
612,0,GRU_GRAPH,0,ATU5,158.10283668467002,0,158.87000899068966,158.87000899068966,0.8302691319208344,0
612,0,GRU_GRAPH,0,MJ3,-19.034348706905263,0,20.688069244257271,20.688069244257271,0.048324486037823071,0
612,0,GRU_GRAPH,0,MJ1,-28.770278140776647,0,30.127473551248798,30.127473551248798,0.1820481054011831,0
612,0,GRU_GRAPH,50,ATU1,55.684350812235422,24.853084916602757,31.422763427664229,55.777633858873315,0.04332798571534914,0.028358886764781967
612,0,GRU_GRAPH,50,ATU5,158.10283668467002,74.301300214545321,85.110169278841951,158.87000899068966,0.23828568900475638,0.18888295972184604
612,0,GRU_GRAPH,50,MJ3,-19.034348706905263,-9.7729023673758348,11.083115152717042,20.688069244257271,0.013869187276820006,0.014648328349517729
612,0,GRU_GRAPH,50,MJ1,-28.770278140776647,-12.79217784127467,17.302855360483772,30.127473551248798,0.060047688012236707,0.037563678760382586
612,0,GRU_GRAPH,100,ATU1,55.684350812235422,26.425917614261653,29.935056535760648,55.777633858873315,0.039322390647244632,0.032076677258748063
612,0,GRU_GRAPH,100,ATU5,158.10283668467002,76.204519140237224,82.99914303460308,158.87000899068966,0.2266116683954984,0.19535879380774016
612,0,GRU_GRAPH,100,MJ3,-19.034348706905263,-8.7911590896082785,11.789860856266271,20.688069244257271,0.015694398677803301,0.010623482999424958
612,0,GRU_GRAPH,100,MJ1,-28.770278140776647,-13.862524198312252,16.390087940665811,30.127473551248798,0.053879468554436587,0.041052626298616009
612,0,GRU_GRAPH,200,ATU1,55.684350812235422,27.945527032633635,28.255422970600556,55.777633858873315,0.035033487601879278,0.03524558949290748
612,0,GRU_GRAPH,200,ATU5,158.10283668467002,78.164177085678062,80.899216051385835,158.87000899068966,0.2152899108247032,0.20336130727670512
612,0,GRU_GRAPH,200,MJ3,-19.034348706905263,-9.5162630653366449,10.933429241346515,20.688069244257271,0.013497089219482658,0.011950050619040113
612,0,GRU_GRAPH,200,MJ1,-28.770278140776647,-14.153675178607502,15.96831266406908,30.127473551248798,0.051142127555998666,0.042722672994509291
612,0,COND_ATTN,0,ATU1,55.684350812235422,0,55.777633858873315,55.777633858873315,0.13652114505938495,0
612,0,COND_ATTN,0,ATU5,158.10283668467002,0,158.87000899068966,158.87000899068966,0.8302691319208344,0
612,0,COND_ATTN,0,MJ3,-19.034348706905263,0,20.688069244257271,20.688069244257271,0.048324486037823071,0
612,0,COND_ATTN,0,MJ1,-28.770278140776647,0,30.127473551248798,30.127473551248798,0.1820481054011831,0
612,0,COND_ATTN,50,ATU1,55.684350812235422,27.564547039460113,28.391798499036291,55.777633858873315,0.03537248378402065,0.033454185266490091
612,0,COND_ATTN,50,ATU5,158.10283668467002,85.221749930177012,73.883176936083487,158.87000899068966,0.1795668543689555,0.24005048514655308
612,0,COND_ATTN,50,MJ3,-19.034348706905263,-9.4717757605098356,12.176541942077169,20.688069244257271,0.016740763438184092,0.010259511748911647
612,0,COND_ATTN,50,MJ1,-28.770278140776647,-13.947303045544345,17.02215485334391,30.127473551248798,0.058115209790788554,0.03928047288447057
612,0,COND_ATTN,100,ATU1,55.684350812235422,27.646480710235593,28.297456116055617,55.777633858873315,0.035137797701034264,0.033678362749052067
612,0,COND_ATTN,100,ATU5,158.10283668467002,79.399799874866957,79.354850891984526,158.87000899068966,0.20714860429088502,0.20923306363135832
612,0,COND_ATTN,100,MJ3,-19.034348706905263,-10.057552549592245,10.975229314358248,20.688069244257271,0.013600489126627606,0.01207396066278287
612,0,COND_ATTN,100,MJ1,-28.770278140776647,-14.921860478013064,15.676980341884839,30.127473551248798,0.049293035522205916,0.045643990011331896
612,0,COND_ATTN,200,ATU1,55.684350812235422,27.667187328922356,28.225131857110579,55.777633858873315,0.034958412843975759,0.033678683339798593
612,0,COND_ATTN,200,ATU5,158.10283668467002,79.025530001106759,79.596778819763998,158.87000899068966,0.20841359123203318,0.20730050948842177
612,0,COND_ATTN,200,MJ3,-19.034348706905263,-9.6586819959004355,10.390530888397715,20.688069244257271,0.012189974493814123,0.012179959993114735
612,0,COND_ATTN,200,MJ1,-28.770278140776647,-14.599663193689207,15.053810430715606,30.127473551248798,0.045452065235725085,0.046115454342269956
612,1,GRU_LOCAL,0,ATU1,55.682221242948053,0,55.775365178782025,55.775365178782025,0.13651003965803926,0
612,1,GRU_LOCAL,0,ATU5,157.90131427368206,0,158.66916349365556,158.66916349365556,0.82817118517665533,0
612,1,GRU_LOCAL,0,MJ3,-18.77764636664676,0,20.493993497810358,20.493993497810358,0.047422070254489496,0
612,1,GRU_LOCAL,0,MJ1,-28.490999710911058,0,29.889356934427415,29.889356934427415,0.17918179317819308,0
612,1,GRU_LOCAL,50,ATU1,55.682221242948053,26.392455464266906,29.818075081546183,55.775365178782025,0.039015659813514486,0.031555598917390786
612,1,GRU_LOCAL,50,ATU5,157.90131427368206,69.419240684589496,89.539235224972117,158.66916349365556,0.26373138343151908,0.16536988202478944
612,1,GRU_LOCAL,50,MJ3,-18.77764636664676,-10.663636082126567,10.357503611904948,20.493993497810358,0.012112603701347733,0.016625402959865077
612,1,GRU_LOCAL,50,MJ1,-28.490999710911058,-10.972241794271429,18.850728556523919,29.889356934427415,0.071271683182090581,0.029012921084095419
612,1,GRU_LOCAL,100,ATU1,55.682221242948053,28.817721250542323,27.479763996599011,55.775365178782025,0.033136432123693445,0.037550447747231618
612,1,GRU_LOCAL,100,ATU5,157.90131427368206,78.377175485773549,80.479246742717791,158.66916349365556,0.2130604585536735,0.20676702226936258
612,1,GRU_LOCAL,100,MJ3,-18.77764636664676,-10.935902487441245,9.9103480409744549,20.493993497810358,0.011089325590533076,0.015628098702709581
612,1,GRU_LOCAL,100,MJ1,-28.490999710911058,-12.842263371785643,17.047137047728775,29.889356934427415,0.058285918007803292,0.036186533770902647
612,1,GRU_LOCAL,200,ATU1,55.682221242948053,28.633907864256962,27.366199799284288,55.775365178782025,0.032863115620190016,0.036458958160327688
612,1,GRU_LOCAL,200,ATU5,157.90131427368206,78.378922184734677,80.377855645099231,158.66916349365556,0.21252395189378245,0.20440421201501324
612,1,GRU_LOCAL,200,MJ3,-18.77764636664676,-9.7042479036611784,10.665235113130619,20.493993497810358,0.012843050465895938,0.012187440804454162
612,1,GRU_LOCAL,200,MJ1,-28.490999710911058,-14.183902372319098,15.621163693906519,29.889356934427415,0.048942652485362628,0.043292552795054215
612,1,GRU_GRAPH,0,ATU1,55.682221242948053,0,55.775365178782025,55.775365178782025,0.13651003965803926,0
612,1,GRU_GRAPH,0,ATU5,157.90131427368206,0,158.66916349365556,158.66916349365556,0.82817118517665533,0
612,1,GRU_GRAPH,0,MJ3,-18.77764636664676,0,20.493993497810358,20.493993497810358,0.047422070254489496,0
612,1,GRU_GRAPH,0,MJ1,-28.490999710911058,0,29.889356934427415,29.889356934427415,0.17918179317819308,0
612,1,GRU_GRAPH,50,ATU1,55.682221242948053,26.364824483538531,29.846164180387085,55.775365178782025,0.039089201174340601,0.031493623458356192
612,1,GRU_GRAPH,50,ATU5,157.90131427368206,69.444206712215021,89.513857185967865,158.66916349365556,0.26358190623697703,0.16548037140874478
612,1,GRU_GRAPH,50,MJ3,-18.77764636664676,-10.732472056916118,10.304397271032565,20.493993497810358,0.011988711498757448,0.01683124055000541
612,1,GRU_GRAPH,50,MJ1,-28.490999710911058,-10.942894441792209,18.878303218837278,29.889356934427415,0.071480346735416658,0.028785622863909541
612,1,GRU_GRAPH,100,ATU1,55.682221242948053,28.815492902382907,27.485419792660984,55.775365178782025,0.033150073593736243,0.037550715318552121
612,1,GRU_GRAPH,100,ATU5,157.90131427368206,78.375565099203129,80.477089481992891,158.66916349365556,0.21304903645871917,0.20674388684623227
612,1,GRU_GRAPH,100,MJ3,-18.77764636664676,-10.957034362078886,9.8920992399180587,20.493993497810358,0.011048523677688887,0.015693737755995692
612,1,GRU_GRAPH,100,MJ1,-28.490999710911058,-12.835998636679678,17.060132367003714,29.889356934427415,0.058374816550451986,0.036050992364052188
612,1,GRU_GRAPH,200,ATU1,55.682221242948053,28.636068514648979,27.36566082911045,55.775365178782025,0.032861821171940017,0.036467024399421039
612,1,GRU_GRAPH,200,ATU5,157.90131427368206,78.378637038568428,80.374356324407785,158.66916349365556,0.21250544746199004,0.20440871089052698
612,1,GRU_GRAPH,200,MJ3,-18.77764636664676,-9.662404456367792,10.704644648878395,20.493993497810358,0.012938139561942709,0.012053188233861393
612,1,GRU_GRAPH,200,MJ1,-28.490999710911058,-14.226628357943349,15.584155102881754,29.889356934427415,0.048711024030191272,0.04346909512958063
612,1,COND_ATTN,0,ATU1,55.682221242948053,0,55.775365178782025,55.775365178782025,0.13651003965803926,0
612,1,COND_ATTN,0,ATU5,157.90131427368206,0,158.66916349365556,158.66916349365556,0.82817118517665533,0
612,1,COND_ATTN,0,MJ3,-18.77764636664676,0,20.493993497810358,20.493993497810358,0.047422070254489496,0
612,1,COND_ATTN,0,MJ1,-28.490999710911058,0,29.889356934427415,29.889356934427415,0.17918179317819308,0
612,1,COND_ATTN,50,ATU1,55.682221242948053,27.124568742868423,28.797541525470578,55.775365178782025,0.036390713804010849,0.032351392519809744
612,1,COND_ATTN,50,ATU5,157.90131427368206,85.759871929842518,73.229965914951762,158.66916349365556,0.1764057413101085,0.24302181041626864
612,1,COND_ATTN,50,MJ3,-18.77764636664676,-8.9889869827335289,12.575563627436933,20.493993497810358,0.017855920319698446,0.0091708566309683433
612,1,COND_ATTN,50,MJ1,-28.490999710911058,-13.229484233359592,17.585671303862163,29.889356934427415,0.062026694664612594,0.035213613075803653
612,1,COND_ATTN,100,ATU1,55.682221242948053,27.579253791936779,28.364068307001812,55.775365178782025,0.035303421110595749,0.033476608719437417
612,1,COND_ATTN,100,ATU5,157.90131427368206,78.60046819917379,80.110338192467509,158.66916349365556,0.21111164115497033,0.20495544393907256
612,1,COND_ATTN,100,MJ3,-18.77764636664676,-9.029913219888801,12.163960060875237,20.493993497810358,0.016706185234146409,0.00955778267516697
