origin,point,feature,actual_value,training_min,training_p05,training_median,training_p95,training_max,outside_training_range
612,ATU1,residual,0.0085362289362933552,0.00029053715695681603,44.67417524842422,56.298990796910203,63.877762933422552,85.037058076384938,False
612,ATU1,residual_change,0.0045316500346643807,-10.72518435537512,-1.1188208844368943,0.037064804635178916,5.4594702109063089,6.7035645166384938,False
612,ATU1,velocity,0.026513966668460398,-1.0398732719172017,-0.84243181027544833,0.15895162456374123,7.1645296345245058,7.4616812688283289,False
612,ATU5,residual,0.00077395529689283649,0.0049321198872576133,47.480661319241612,156.02001498666104,165.00732744426671,165.30791487810831,True
612,ATU5,residual_change,-0.17393907204979087,-0.49209412376791306,-0.15910555961042971,0.28162725307220171,4.9392871070903972,6.1682369244679194,False
612,ATU5,velocity,0.11391672979806344,0.06272270217220921,0.075000493663461038,0.35353386081234817,6.133780566460433,6.3627843146504119,False
612,MJ3,residual,-0.0069391467013701913,-27.318170160688624,-24.891597948546632,-10.206955953302554,8.679186466022303,9.2247185326132239,False
612,MJ3,residual_change,-0.1686851620249854,-0.49550359244153697,-0.48217269485716086,-0.19630310850641308,0.47385862386985295,0.51354744442369338,False
612,MJ3,velocity,0.063412280273951183,0.0021454019099564903,0.026553332223193143,0.16862754000942459,1.2055783375198301,1.2407594824690023,False
612,MJ1,residual,-0.0031906685073863628,-37.22875581892049,-36.291163980362349,-18.550006738585012,0.7104565234577136,0.83680877795245578,False
612,MJ1,residual_change,0.23238299310878574,-0.39007483916429919,-0.38104250188766853,-0.22145876572608358,0.056350738985491838,0.11248032577771028,True
612,MJ1,velocity,0.38967204551966006,0.031230928726245111,0.042572007080656248,0.12164660018385121,0.63208698723984169,0.65363678618405174,False
792,ATU1,residual,-0.020322995361482299,-9.3120749434033883,-7.0018427446365648,9.8610529002660314,60.455944197091426,85.037058076384938,False
792,ATU1,residual_change,-0.10198285757718395,-10.72518435537512,-1.0388277215636776,0.049327068263011142,1.0892669838679929,6.7035645166384938,False
792,ATU1,velocity,0.034732267733602384,-1.0398732719172017,-0.34773019541772215,0.16571814600595758,6.2007685445936858,7.4616812688283289,False
792,ATU5,residual,-0.0088170841461305827,-5.710764471407515,-5.1623164701166671,9.3415696350658664,164.77969861125638,165.30791487810831,False
792,ATU5,residual_change,-0.049770177791174319,-0.60907554989921664,-0.33951048942517159,0.061174704811861602,2.6802019628765708,6.1682369244679194,False
792,ATU5,velocity,0.15138538966482429,0.06272270217220921,0.082844130779352557,0.28493906787190326,5.4146678321382202,6.3627843146504119,False
792,MJ3,residual,-0.10074822814272011,-104.14892105008835,-97.15613803794642,-18.561290888748886,7.361504476152394,9.2247185326132239,False
792,MJ3,residual_change,-0.038695451909688927,-1.4163035609963117,-1.0613910526479913,-0.2906314810635422,0.29948480483765283,0.51354744442369338,False
792,MJ3,velocity,0.082407015874196077,-0.027827021370967486,-0.012271134757679648,0.048025167915056954,1.0005794478539887,1.2407594824690023,False
792,MJ1,residual,0.018814556727420495,-37.22875581892049,-34.719276249492204,-17.062273539574335,10.747002164454345,14.801418998079953,False
792,MJ1,residual_change,-0.095619810420657814,-2.0128845148199161,-0.93168771247534898,-0.19392762755364856,0.40869265649689057,0.52422044663558154,False
792,MJ1,velocity,0.13103373935564377,0.031230928726245111,0.053795568373419658,0.19123793428911995,0.62434325688117842,0.65363678618405174,False
972,ATU1,residual,-35.713196639781813,-35.551257398690382,-32.766077807871625,-0.041889779831933538,57.24117840800286,85.037058076384938,True
972,ATU1,residual_change,-0.16193924109143154,-10.72518435537512,-1.0035089060852471,0.0022637916143253278,0.83366261901699357,6.7035645166384938,False
972,ATU1,velocity,0.02044672836132122,-1.0398732719172017,0.0037858781729482875,0.10496620876912743,4.0104530775514977,7.4616812688283289,False
972,ATU5,residual,-48.658411535979667,-48.51585666035453,-44.317984989737319,1.2380720961579073,164.54249523052201,165.30791487810831,True
972,ATU5,residual_change,-0.14255487562513736,-6.2905187801019338,-0.48445382504893925,-0.05960752066778241,1.5938009560694499,6.1682369244679194,False
972,ATU5,velocity,0.083966076641672771,0.046910263748827674,0.061905900254760129,0.15185366148483581,3.8133955694213451,6.3627843146504119,False
972,MJ3,residual,-4.7647315740448448,-104.14892105008835,-92.471184927394248,-7.3955576947611235,5.763175738453457,9.2247185326132239,False
972,MJ3,residual_change,0.091427867747142955,-1.4163035609963117,-0.89556213101803905,-0.19516652241907195,0.097637918048724195,0.51354744442369338,False
972,MJ3,velocity,0.17676403626001047,-0.027827021370967486,-0.003120954874975723,0.059353545435101296,0.6134311130887885,1.2407594824690023,False
972,MJ1,residual,-27.140724849198932,-37.22875581892049,-32.595402269566485,-17.277196337502915,8.4011555580591573,14.801418998079953,False
972,MJ1,residual_change,0.029562719305545215,-2.0128845148199161,-0.53373203380349987,-0.17473656638998136,0.36441017557500549,0.52422044663558154,False
972,MJ1,velocity,0.19841562260671708,0.029865459699749408,0.037911630602189918,0.13075941446027173,0.61446094746546009,0.65363678618405174,False
1168,ATU1,residual,-0.012984905847247319,-65.914911666844262,-58.948413097613326,-6.7238058160766911,57.124169540732368,85.037058076384938,False
1168,ATU1,residual_change,-0.02802790482689943,-10.72518435537512,-0.9145253803876443,-0.029479166439557503,0.62609814695260013,6.7035645166384938,False
1168,ATU1,velocity,-0.010678409920842569,-1.0398732719172017,0.0025695625988220172,0.087488096471673771,0.75924368145538779,7.4616812688283289,False
1168,ATU5,residual,-0.016300767301913766,-68.864336968935959,-64.086531893685532,-5.2251572481127937,164.16702184776119,165.30791487810831,False
