origin,seed,arm,step,teacher,query_count,data_mse_normalized,penalty_normalized,objective,zero_objective,unconstrained_floor,objective_improvement_fraction,avg_mae_mm,avg_rmse_mm,bplus_avg_rmse_mm
612,0,GRU_LOCAL,0,432,12800,0.29929071710480637,0,0.29929071710480637,0.29929071710480637,0.14964535855240318,0,65.521549883720411,66.365796411267596,66.365796411267596
612,0,GRU_LOCAL,50,432,12800,0.088844312495825223,0.067361170600217971,0.15620548309604321,0.29929071710480637,0.14964535855240318,0.95616219168372818,35.079312683339332,36.23476256305392,66.365796411267596
612,0,GRU_LOCAL,100,432,12800,0.083835763958111278,0.069810390857709362,0.15364615481582064,0.29929071710480637,0.14964535855240318,0.97326481554710953,34.231823476268744,35.276310158619793,66.365796411267596
612,0,GRU_LOCAL,200,432,12800,0.078694070363120205,0.073366804055403259,0.15206087441852345,0.29929071710480637,0.14964535855240318,0.98385839768445349,33.078705502258615,34.004037637356596,66.365796411267596
612,0,GRU_GRAPH,0,432,12800,0.29929071710480637,0,0.29929071710480637,0.29929071710480637,0.14964535855240318,0,65.521549883720411,66.365796411267596,66.365796411267596
612,0,GRU_GRAPH,50,432,12800,0.088882637502290557,0.067363463399132101,0.15624610090142266,0.29929071710480637,0.14964535855240318,0.95589076458587252,35.06976200871901,36.229725804926773,66.365796411267596
612,0,GRU_GRAPH,100,432,12800,0.083876981568745734,0.069777895091132289,0.15365487665987804,0.29929071710480637,0.14964535855240318,0.97320653212193819,34.232272812279163,35.278537091823949,66.365796411267596
612,0,GRU_GRAPH,200,432,12800,0.078740653800515953,0.073319905095790491,0.15206055889630643,0.29929071710480637,0.14964535855240318,0.98386050615089748,33.088057544316321,34.014095231850483,66.365796411267596
612,0,COND_ATTN,0,432,12800,0.29929071710480637,0,0.29929071710480637,0.29929071710480637,0.14964535855240318,0,65.521549883720411,66.365796411267596,66.365796411267596
612,0,COND_ATTN,50,432,12800,0.072448827845487201,0.080761163761606344,0.15320999160709353,0.29929071710480637,0.14964535855240318,0.97617946129988342,31.919293361689896,32.868418057635246,66.365796411267596
612,0,COND_ATTN,100,432,12800,0.076294981660188194,0.075157344263631284,0.15145232592381946,0.29929071710480637,0.14964535855240318,0.98792500222595603,32.734263171680546,33.576129166070864,66.365796411267596
612,0,COND_ATTN,200,432,12800,0.075253510951387034,0.074818651790901261,0.1500721627422883,0.29929071710480637,0.14964535855240318,0.99714789557114358,32.779184460799947,33.316562998997007,66.365796411267596
612,1,GRU_LOCAL,0,432,12800,0.29782127206684433,0,0.29782127206684433,0.29782127206684433,0.14891063603342217,0,65.341631401382941,66.206969776169103,66.206969776169103
612,1,GRU_LOCAL,50,432,12800,0.096532832532118001,0.060640951246535187,0.15717378377865318,0.29782127206684433,0.14891063603342217,0.94450935161289351,36.064032999572866,37.141385618736734,66.206969776169103
612,1,GRU_LOCAL,100,432,12800,0.078893033568925824,0.07403302562255161,0.15292605919147745,0.29782127206684433,0.14891063603342217,0.97303467861654935,32.746012048058716,33.729123957004937,66.206969776169103
612,1,GRU_LOCAL,200,432,12800,0.076793192616307751,0.074085790943712315,0.15087898356002005,0.29782127206684433,0.14891063603342217,0.98678168612377626,32.666286813704581,33.507613562855177,66.206969776169103
612,1,GRU_GRAPH,0,432,12800,0.29782127206684433,0,0.29782127206684433,0.29782127206684433,0.14891063603342217,0,65.341631401382941,66.206969776169103,66.206969776169103
612,1,GRU_GRAPH,50,432,12800,0.096535041411372924,0.060647714570253981,0.1571827559816269,0.29782127206684433,0.14891063603342217,0.94444909934876575,36.056666959468117,37.135680464056172,66.206969776169103
612,1,GRU_GRAPH,100,432,12800,0.078905612570149067,0.074009833071208064,0.15291544564135712,0.29782127206684433,0.14891063603342217,0.97310595324409133,32.743445869943301,33.728685220393935,66.206969776169103
612,1,GRU_GRAPH,200,432,12800,0.076754108056516016,0.074099504663347512,0.15085361271986353,0.29782127206684433,0.14891063603342217,0.98695206240335132,32.664807405510402,33.507204226319573,66.206969776169103
612,1,COND_ATTN,0,432,12800,0.29782127206684433,0,0.29782127206684433,0.29782127206684433,0.14891063603342217,0,65.341631401382941,66.206969776169103,66.206969776169103
612,1,COND_ATTN,50,432,12800,0.073169767524607604,0.079939418160712594,0.1531091856853202,0.29782127206684433,0.14891063603342217,0.97180490417786081,32.051958592666296,33.047185592930404,66.206969776169103
612,1,COND_ATTN,100,432,12800,0.080304804417873091,0.071380555281772257,0.15168535969964536,0.29782127206684433,0.14891063603342217,0.98136651793226914,33.455657178220676,34.414499113270629,66.206969776169103
612,1,COND_ATTN,200,432,12800,0.074781643642462689,0.074603819182647246,0.14938546282510995,0.29782127206684433,0.14891063603342217,0.99681133057828586,32.641510577609381,33.198726096747095,66.206969776169103
612,2,GRU_LOCAL,0,432,12800,0.29780284810322805,0,0.29780284810322805,0.29780284810322805,0.14890142405161402,0,65.330642795753946,66.204702137304281,66.204702137304281
