origin,seed,arm,step,point,initial_residual_mm,true_residual_mean_mm,residual_change_mean_mm,correction_mean_mm,correction_first_mm,correction_last_mm,forecast_bias_mm,forecast_rmse_mm,correction_energy_mm2,residual_alignment_mm2,delta_mse_mm2,opposite_sign_fraction
612,0,GRU_LOCAL,0,ATU1,0.0085362289362933552,-4.2811793661703978,-4.2897155951066912,0,0,0,4.2811793661703978,9.2748333845426885,0,0,0,
612,0,GRU_LOCAL,0,ATU5,0.00077395529689283649,-4.5944399430462965,-4.5952138983431894,0,0,0,4.5944399430462965,10.799758932894493,0,0,0,
612,0,GRU_LOCAL,0,MJ3,-0.0069391467013701913,-77.770519649130975,-77.763580502429605,0,0,0,77.770519649130975,89.384443868005675,0,0,0,
612,0,GRU_LOCAL,0,MJ1,-0.0031906685073863628,-22.675567795383593,-22.672377126876206,0,0,0,22.675567795383593,30.339156668468313,0,0,0,
612,0,GRU_LOCAL,50,ATU1,0.0085362289362933552,-4.2811793661703978,-4.2897155951066912,0.43010489642118505,-0.48675379881979097,-4.6010641319739989,4.7112842625915832,9.930266043001124,9.9959505549182861,-1.2958494094176678,12.587649373753621,0.50853242320819114
612,0,GRU_LOCAL,50,ATU5,0.00077395529689283649,-4.5944399430462965,-4.5952138983431894,3.785426929429371,2.0091681709567979,-1.3737588839296677,8.3798668724756666,11.974821150618476,29.80135871634808,1.519905067841455,26.761548580665192,0.54948805460750849
612,0,GRU_LOCAL,50,MJ3,-0.0069391467013701913,-77.770519649130975,-77.763580502429605,-0.66271344194757431,-1.4929490985605298,-3.6478307662293901,77.107806207183401,88.759425401706238,4.8532146432727137,58.098211297437487,-111.34320795160329,0.37542662116040953
612,0,GRU_LOCAL,50,MJ1,-0.0031906685073863628,-22.675567795383593,-22.672377126876206,-1.1112959616238627,-2.474718014898599,-3.679506879449832,21.564271833759729,29.633013873285304,4.4969365238928987,23.422926331719456,-42.348916139545963,0.43344709897610922
612,0,GRU_LOCAL,100,ATU1,0.0085362289362933552,-4.2811793661703978,-4.2897155951066912,3.1748611092371855,2.9163006449859381,-1.3524718050382489,7.4560404754075833,11.586340328338091,18.210116709720786,-15.005315591662635,48.220747893046052,0.57337883959044367
612,0,GRU_LOCAL,100,ATU5,0.00077395529689283649,-4.5944399430462965,-4.5952138983431894,6.9864240433984088,5.8924104685559655,2.7248563575891467,11.580863986444708,14.618310505298526,60.828666705910884,-18.115771157387943,97.060209020686813,0.64846416382252559
612,0,GRU_LOCAL,100,MJ3,-0.0069391467013701913,-77.770519649130975,-77.763580502429605,0.76883453758777642,0.43131373571418408,-1.8024703019266326,78.539354186718754,90.020167861972226,3.8914836108495972,-55.080166347074289,114.05181630499828,0.52559726962457343
612,0,GRU_LOCAL,100,MJ1,-0.0031906685073863628,-22.675567795383593,-22.672377126876206,-0.56278187962699333,-1.7249534859581672,-2.9645912287645615,22.112785915756596,30.113708980133612,3.3437381061502798,8.4863484599177905,-13.628958813685585,0.53242320819112632
612,0,GRU_LOCAL,200,ATU1,0.0085362289362933552,-4.2811793661703978,-4.2897155951066912,4.3799979198632109,4.8787179380587986,0.096601753226309484,8.6611772860336096,12.588032912400099,26.323861079498673,-23.056088606570917,72.436038292640518,0.6313993174061433
612,0,GRU_LOCAL,200,ATU5,0.00077395529689283649,-4.5944399430462965,-4.5952138983431894,8.3436204437498755,8.3454099649750901,4.6529037614170647,12.938060386796172,15.874683146047589,79.022147569710995,-28.174312204530985,135.37077197877301,0.64846416382252559
612,0,GRU_LOCAL,200,MJ3,-0.0069391467013701913,-77.770519649130975,-77.763580502429605,0.52732881488824968,0.5909605719962201,-2.2930799987873343,78.297848464019239,89.790237365651606,3.4359463346618773,-34.635987126368533,72.707920587399713,0.49829351535836175
612,0,GRU_LOCAL,200,MJ1,-0.0031906685073863628,-22.675567795383593,-22.672377126876206,-0.37369360372031923,-0.87063932266710253,-2.7584570237405615,22.301874191663273,30.249618323199794,2.9736186103812909,4.199318632491007,-5.4250186546006489,0.50853242320819114
612,0,GRU_GRAPH,0,ATU1,0.0085362289362933552,-4.2811793661703978,-4.2897155951066912,0,0,0,4.2811793661703978,9.2748333845426885,0,0,0,
612,0,GRU_GRAPH,0,ATU5,0.00077395529689283649,-4.5944399430462965,-4.5952138983431894,0,0,0,4.5944399430462965,10.799758932894493,0,0,0,
612,0,GRU_GRAPH,0,MJ3,-0.0069391467013701913,-77.770519649130975,-77.763580502429605,0,0,0,77.770519649130975,89.384443868005675,0,0,0,
612,0,GRU_GRAPH,0,MJ1,-0.0031906685073863628,-22.675567795383593,-22.672377126876206,0,0,0,22.675567795383593,30.339156668468313,0,0,0,
612,0,GRU_GRAPH,50,ATU1,0.0085362289362933552,-4.2811793661703978,-4.2897155951066912,0.27801358461618991,-0.62212767339229913,-4.7680346842153654,4.5591929507865876,9.8505045284191066,9.9454602823806226,-0.53222243549856185,11.009905153377758,0.50853242320819114
612,0,GRU_GRAPH,50,ATU5,0.00077395529689283649,-4.5944399430462965,-4.5952138983431894,3.6038316348432207,1.8385599031051356,-1.5852818390210359,8.1982715778895177,11.836755742456566,28.57633294222337,2.5511697221396568,23.473993497944093,0.50170648464163825
612,0,GRU_GRAPH,50,MJ3,-0.0069391467013701913,-77.770519649130975,-77.763580502429605,-0.82136803653355184,-1.6432682413985731,-3.8484912998894742,76.949151612597433,88.611361111277546,5.1661120244824401,71.38579981195484,-137.60548759942685,0.3651877133105802
612,0,GRU_GRAPH,50,MJ1,-0.0031906685073863628,-22.675567795383593,-22.672377126876206,-1.149294613692508,-2.5175484012046354,-3.7177343965907994,21.526273181691085,29.60746577378303,4.6056484144042233,24.234023111267891,-43.862397808131732,0.43003412969283278
612,0,GRU_GRAPH,100,ATU1,0.0085362289362933552,-4.2811793661703978,-4.2897155951066912,3.0300231639455579,2.8023379508940707,-1.5079303345300445,7.3112025301159571,11.486217468436113,17.370507634057049,-14.27007489356115,45.910657421179337,0.57679180887372017
612,0,GRU_GRAPH,100,ATU5,0.00077395529689283649,-4.5944399430462965,-4.5952138983431894,6.8808132210721453,5.8143389434432606,2.6087974812811581,11.475253164118442,14.526099246769252,59.393572975177825,-17.489596671588998,94.372766318355843,0.64846416382252559
612,0,GRU_GRAPH,100,MJ3,-0.0069391467013701913,-77.770519649130975,-77.763580502429605,0.72576091523229347,0.41919824562705799,-1.8495144088456072,78.496280564363261,89.973736845560225,3.8356633006082705,-50.929426530426717,105.69451636146277,0.52218430034129693
612,0,GRU_GRAPH,100,MJ1,-0.0031906685073863628,-22.675567795383593,-22.672377126876206,-0.69511080650315471,-1.8742924638025897,-3.1017336280029895,21.980456988880437,30.022880623594055,3.5615859156621541,11.326326165474056,-19.091066415285923,0.51535836177474403
612,0,GRU_GRAPH,200,ATU1,0.0085362289362933552,-4.2811793661703978,-4.2897155951066912,4.227944972739377,4.7443607192499258,-0.072437187527782498,8.509124338909773,12.483161829279329,25.07612318688702,-22.365335879030916,69.806794944948848,0.62457337883959041
612,0,GRU_GRAPH,200,ATU5,0.00077395529689283649,-4.5944399430462965,-4.5952138983431894,8.2385235083161756,8.2526964244144096,4.539660796946464,12.832963451362472,15.784754732735696,77.287520776304618,-27.61808409384145,132.52368896398752,0.64846416382252559
612,0,GRU_GRAPH,200,MJ3,-0.0069391467013701913,-77.770519649130975,-77.763580502429605,0.51978981655413392,0.60576226852003856,-2.2907234781364423,78.290309465685112,89.779249214318014,3.4156559724277962,-33.659563960767514,70.73478389396314,0.49829351535836175
612,0,GRU_GRAPH,200,MJ1,-0.0031906685073863628,-22.675567795383593,-22.672377126876206,-0.55977093586310511,-1.0887628633187205,-2.9628158222812999,22.11579685952049,30.125547280091226,3.2293818262923519,8.0726051275727322,-12.915828428853388,0.48805460750853241
612,0,COND_ATTN,0,ATU1,0.0085362289362933552,-4.2811793661703978,-4.2897155951066912,0,0,0,4.2811793661703978,9.2748333845426885,0,0,0,
612,0,COND_ATTN,0,ATU5,0.00077395529689283649,-4.5944399430462965,-4.5952138983431894,0,0,0,4.5944399430462965,10.799758932894493,0,0,0,
612,0,COND_ATTN,0,MJ3,-0.0069391467013701913,-77.770519649130975,-77.763580502429605,0,0,0,77.770519649130975,89.384443868005675,0,0,0,
612,0,COND_ATTN,0,MJ1,-0.0031906685073863628,-22.675567795383593,-22.672377126876206,0,0,0,22.675567795383593,30.339156668468313,0,0,0,
612,0,COND_ATTN,50,ATU1,0.0085362289362933552,-4.2811793661703978,-4.2897155951066912,22.846450935620425,24.795465273915966,24.234240888606507,27.127630301790823,27.968399839822858,532.9506330863162,-81.629111101429757,696.20885528917563,0.6313993174061433
612,0,COND_ATTN,50,ATU5,0.00077395529689283649,-4.5944399430462965,-4.5952138983431894,71.516247263928548,79.365395049179313,77.669117653673652,76.110687206974831,77.33921492662634,5254.8040821167606,-304.95764517075304,5864.7193724582676,0.64846416382252559
612,0,COND_ATTN,50,MJ3,-0.0069391467013701913,-77.770519649130975,-77.763580502429605,-8.0001750510238789,-8.2498117953209658,-8.4839911627027504,69.770344598107101,82.930084918114019,66.312557052369186,589.24618905971238,-1112.1798210670559,0
612,0,COND_ATTN,50,MJ1,-0.0031906685073863628,-22.675567795383593,-22.672377126876206,-11.653592828906795,-12.752395156598823,-12.437725274282229,11.021974966476794,23.792429899523448,139.69095419161977,247.03783051087376,-354.38470683012793,0.19453924914675769
612,0,COND_ATTN,100,ATU1,0.0085362289362933552,-4.2811793661703978,-4.2897155951066912,23.162694842003518,23.80551926994508,24.292102678629306,27.443874208173916,28.278057467810026,545.30496179863064,-84.160519021553895,713.62599984173869,0.6313993174061433
612,0,COND_ATTN,100,ATU5,0.00077395529689283649,-4.5944399430462965,-4.5952138983431894,66.212538602195536,72.247651065653088,73.096492296019505,70.806978545241833,72.040445852586004,4518.910135309211,-277.14045516076499,5073.1910456307414,0.64846416382252559
612,0,COND_ATTN,100,MJ3,-0.0069391467013701913,-77.770519649130975,-77.763580502429605,-8.3542084522747313,-8.0434553561158282,-9.2904825509026523,69.416311196856256,82.705099291862453,75.956928002788402,612.7011423593101,-1149.4453567158307,0
612,0,COND_ATTN,100,MJ1,-0.0031906685073863628,-22.675567795383593,-22.672377126876206,-12.484558699766408,-12.934304399099233,-13.645877545978919,10.191009095617181,23.550319253799632,162.82576873428459,264.33632956613206,-365.84689039797968,0.19453924914675769
