origin,arm,seed,horizon,baseline_teacher,input_teacher,coherent,mae,rmse,bplus_rmse,correction_rms
612,GRU_LOCAL,0,292,612,612,True,31.607141405187825,37.019631727658989,34.823995953618805,5.2919764250738499
612,GRU_LOCAL,0,292,612,432,False,48.832533740947575,52.787051009718532,34.823995953618805,40.938404906866268
612,GRU_LOCAL,0,292,432,612,False,73.511857915489244,80.094476129503846,82.918825445635989,5.2919764250738499
612,GRU_LOCAL,0,292,432,432,True,49.340222486322432,57.329395564542487,82.918825445635989,40.938404906866268
612,GRU_LOCAL,1,292,612,612,True,29.577397689633059,35.175047930875152,34.823995953618805,3.8992303058229854
612,GRU_LOCAL,1,292,612,432,False,48.141160231401336,52.272406724307878,34.823995953618805,42.667315006576274
612,GRU_LOCAL,1,292,432,612,False,73.55895288823568,80.071040892155253,82.918825445635989,3.8992303058229854
612,GRU_LOCAL,1,292,432,432,True,47.624658229994779,55.543122269745695,82.918825445635989,42.667315006576274
612,GRU_LOCAL,2,292,612,612,True,29.964304543219839,35.204068668654955,34.823995953618805,5.9424598197754985
612,GRU_LOCAL,2,292,612,432,False,47.109556750376171,51.186236222140792,34.823995953618805,40.0489935408281
612,GRU_LOCAL,2,292,432,612,False,72.291283734622837,79.052821750660854,82.918825445635989,5.9424598197754985
612,GRU_LOCAL,2,292,432,432,True,49.224483830742997,56.934754881899551,82.918825445635989,40.0489935408281
612,GRU_LOCAL,ensemble,292,612,612,True,30.232890474394019,35.698682925928885,34.823995953618805,4.5864952841461131
612,GRU_LOCAL,ensemble,292,612,432,False,48.014621200090659,52.05608950622797,34.823995953618805,41.183924434743965
612,GRU_LOCAL,ensemble,292,432,612,False,73.119747336113136,79.719411881651183,82.918825445635989,4.5864952841461131
612,GRU_LOCAL,ensemble,292,432,432,True,48.724584061374912,56.570408456810732,82.918825445635989,41.183924434743965
612,GRU_GRAPH,0,292,612,612,True,31.529273770250704,36.937308400493009,34.823995953618805,5.2264560383002161
612,GRU_GRAPH,0,292,612,432,False,48.820032333264088,52.774586935145109,34.823995953618805,40.932465186485238
