origin,seed,arm,step,mae,rmse,bplus_rmse
612,0,GRU_LOCAL,0,29.431282942901532,34.94954821347779,34.94954821347779
612,0,GRU_LOCAL,50,29.68526579559764,35.074381617152788,34.94954821347779
612,0,GRU_LOCAL,100,31.197530528698671,36.584631918935614,34.94954821347779
612,0,GRU_LOCAL,200,31.705053157628477,37.125642936824768,34.94954821347779
612,0,GRU_GRAPH,0,29.431282942901532,34.94954821347779,34.94954821347779
612,0,GRU_GRAPH,50,29.591893274301338,34.976521788984059,34.94954821347779
612,0,GRU_GRAPH,100,31.121460335856483,36.502233546089919,34.94954821347779
612,0,GRU_GRAPH,200,31.627038070777225,37.043178264106068,34.94954821347779
612,0,COND_ATTN,0,29.431282942901532,34.94954821347779,34.94954821347779
612,0,COND_ATTN,50,48.63872493073162,53.007532396021666,34.94954821347779
612,0,COND_ATTN,100,47.211827906295866,51.643480466514525,34.94954821347779
612,0,COND_ATTN,200,47.654932715683003,51.942498196711,34.94954821347779
612,1,GRU_LOCAL,0,29.431282942901532,34.94954821347779,34.94954821347779
612,1,GRU_LOCAL,50,27.286314024258591,32.58806341024458,34.94954821347779
612,1,GRU_LOCAL,100,28.181579252634219,33.664977143694998,34.94954821347779
612,1,GRU_LOCAL,200,29.678664694685157,35.288956855602549,34.94954821347779
612,1,GRU_GRAPH,0,29.431282942901532,34.94954821347779,34.94954821347779
612,1,GRU_GRAPH,50,27.241782667589547,32.53732016802013,34.94954821347779
612,1,GRU_GRAPH,100,28.042438897895892,33.507941538483031,34.94954821347779
612,1,GRU_GRAPH,200,29.44442398526494,35.067079433711591,34.94954821347779
612,1,COND_ATTN,0,29.431282942901532,34.94954821347779,34.94954821347779
612,1,COND_ATTN,50,46.682651737648953,51.575775525560729,34.94954821347779
612,1,COND_ATTN,100,45.019062542651156,50.295899307096107,34.94954821347779
612,1,COND_ATTN,200,46.591302388054721,51.160027747496997,34.94954821347779
612,2,GRU_LOCAL,0,29.431282942901532,34.94954821347779,34.94954821347779
612,2,GRU_LOCAL,50,27.987457788868337,33.312846318715202,34.94954821347779
612,2,GRU_LOCAL,100,28.467650432650391,33.762327336877206,34.94954821347779
612,2,GRU_LOCAL,200,30.056749003736748,35.302784934035209,34.94954821347779
612,2,GRU_GRAPH,0,29.431282942901532,34.94954821347779,34.94954821347779
612,2,GRU_GRAPH,50,27.939858224888386,33.264120295044741,34.94954821347779
612,2,GRU_GRAPH,100,28.367286211024105,33.648201128005191,34.94954821347779
612,2,GRU_GRAPH,200,29.807322860702982,35.02053622608922,34.94954821347779
612,2,COND_ATTN,0,29.431282942901532,34.94954821347779,34.94954821347779
612,2,COND_ATTN,50,44.896025293260827,49.986945751518299,34.94954821347779
612,2,COND_ATTN,100,44.340900940621765,49.446297218017413,34.94954821347779
612,2,COND_ATTN,200,45.9051376130327,50.813650601592059,34.94954821347779
792,0,GRU_LOCAL,0,23.582514327478208,27.313324693235963,27.313324693235963
792,0,GRU_LOCAL,50,19.403170419381393,21.613824954193468,27.313324693235963
792,0,GRU_LOCAL,100,22.596519889517158,25.296206657185522,27.313324693235963
792,0,GRU_LOCAL,200,24.964308435682444,27.454387272918176,27.313324693235963
792,0,GRU_GRAPH,0,23.582514327478208,27.313324693235963,27.313324693235963
