origin,seed,point,current_teacher,actual_training_target_mean_mm,current_teacher_same_dates_target_mean_mm,target_shift_mm,actual_training_target_std_mm,actual_training_target_pos_fraction,current_teacher_pos_fraction
612,0,ATU1,612,55.684350812235422,-2.3486610057428585,-58.033011817978277,3.2245175630514158,1,0.20140625000000001
612,0,ATU5,612,158.10283668467002,2.68739057167967,-155.41544611299037,15.593998491803402,1,0.90554687499999997
612,0,MJ3,612,-19.034348706905263,2.2485862657620981,21.282934972667363,8.1049230939668711,0.04265625,0.96242187499999998
612,0,MJ1,612,-28.770278140776647,-0.0014583035689803303,28.768819837207662,8.9406799676280517,0.01125,0.45468750000000002
612,1,ATU1,612,55.682221242948053,-2.426582048332417,-58.108803291280474,3.2220487702506317,1,0.19593749999999999
612,1,ATU5,612,157.90131427368206,2.6896339458108782,-155.21168032787119,15.590971567554179,1,0.8984375
612,1,MJ3,612,-18.77764636664676,2.2757942124841906,21.053440579130946,8.2099796843506851,0.046015624999999998,0.96476562499999996
612,1,MJ1,612,-28.490999710911058,0.016261160163520517,28.507260871074578,9.03529708567849,0.009765625,0.46734375
612,2,ATU1,612,55.665544490788925,-2.4613909649950392,-58.126935455783972,3.2526709075480484,1,0.20429687499999999
612,2,ATU5,612,157.83995352348668,2.5543667523010316,-155.28558677118565,15.695884626112068,1,0.89617187499999995
612,2,MJ3,612,-18.799911684277429,2.2768672348550627,21.076778919132494,8.2097417164378594,0.046796875000000002,0.96914062499999998
612,2,MJ1,612,-28.523983269013865,0.015498835463282132,28.539482104477148,9.0510724449487441,0.0099218750000000001,0.46320312499999999
792,0,ATU1,792,22.768165548023571,4.5091214872635863,-18.259044060759983,25.378673594376249,0.77710937499999999,0.93125000000000002
792,0,ATU5,792,66.361566997854595,4.5089248121521459,-61.852642185702443,70.564536308700099,0.81757812500000004,0.93601562500000002
792,0,MJ3,792,-66.925121081539345,10.166714208034778,77.091835289574135,34.408249079288844,0.013515625,0.94781249999999995
792,0,MJ1,792,-28.200706268249988,2.206624040587045,30.407330308837032,15.16694555931551,0.058125000000000003,0.789921875
792,1,ATU1,792,25.014213348445445,4.5091888231484356,-20.505024525297014,25.328640366369644,0.79890625000000004,0.93140624999999999
792,1,ATU5,792,72.807681593358367,4.5762199209402903,-68.231461672418064,70.660923874117628,0.82960937499999998,0.93703124999999998
792,1,MJ3,792,-66.673046216052398,10.474383660673693,77.147429876726093,34.59703122672709,0.012343750000000001,0.95562499999999995
792,1,MJ1,792,-29.245209745136627,2.1233220071840853,31.368531752320713,15.335262404082622,0.051328125000000002,0.77828125000000004
792,2,ATU1,792,24.209505796374096,4.4847422874854672,-19.724763508888632,25.348715195799404,0.79390625000000004,0.93179687499999997
792,2,ATU5,792,70.632860677350749,4.6126709765734013,-66.020189700777351,70.678970885105784,0.82953125000000005,0.93859375
792,2,MJ3,792,-66.704900441698726,10.381407010916906,77.086307452615628,34.535975516993012,0.012343750000000001,0.95437499999999997
792,2,MJ1,792,-28.858673443988064,2.1647675618742888,31.023441005862352,15.418448464864307,0.055937500000000001,0.77984374999999995
972,0,ATU1,792,0.40111839686900114,-13.835363120515927,-14.236481517384927,33.768407016067897,0.39250000000000002,0.36367187499999998
972,0,ATU5,792,23.437269122481357,-18.425568646327328,-41.862837768808689,78.159678522200807,0.393984375,0.354609375
972,0,MJ3,792,-56.533887386458964,3.1284352448595509,59.66232263131851,54.125711128601253,0.042343749999999999,0.50406249999999997
972,0,MJ1,792,-33.464945483086076,-11.778884877318683,21.686060605767398,17.602522128756835,0.017812499999999998,0.25398437499999998
972,1,ATU1,792,1.6479748238915228,-12.893861478359781,-14.541836302251305,33.660689473140621,0.40914062499999998,0.385859375
972,1,ATU5,792,25.868472386217032,-17.165943107276611,-43.03441549349364,78.382188417269987,0.41429687500000001,0.37578125000000001
972,1,MJ3,792,-59.143217223973899,3.4562590291684341,62.599476253142321,53.816690369731468,0.036953125000000003,0.52445312499999996
972,1,MJ1,792,-33.794890931580696,-11.095304242132695,22.699586689447997,17.653592141357208,0.020156250000000001,0.27210937499999999
972,2,ATU1,792,1.6862906466909307,-13.087457142308372,-14.773747788999303,33.816378737554274,0.41046874999999999,0.37929687499999998
972,2,ATU5,792,26.242856269908998,-17.374824384028383,-43.617680653937384,78.64037067298068,0.41398437500000002,0.370546875
972,2,MJ3,792,-58.435384671431969,3.3500747996772855,61.785459471109249,54.034847115380011,0.039453124999999999,0.52156250000000004
972,2,MJ1,792,-33.983531652529237,-11.220601569717614,22.762930082811625,17.898016717210307,0.017812499999999998,0.26632812500000003
1168,0,ATU1,1168,-19.303586978083114,3.269369948418249,22.572956926501362,41.018052436889342,0.278203125,0.79304687500000004
1168,0,ATU5,1168,-4.9607685323896389,3.7076065352417866,8.6683750676314251,79.476817706414806,0.28132812499999998,0.73648437499999997
1168,0,MJ3,1168,-64.355563419868346,-1.7899574939557867,62.56560592591255,46.864363144489936,0.019296875000000002,0.34015624999999999
1168,0,MJ1,1168,-46.875860465881559,3.597963154421294,50.473823620302866,24.062413481217515,0.014609375000000001,0.82695312499999996
1168,1,ATU1,1168,-17.220977482321967,3.3435515835678369,20.564529065889804,40.949985844058901,0.29218749999999999,0.78539062500000001
1168,1,ATU5,1168,-1.9440025247538919,3.9422954044257801,5.8862979291796726,79.967624702020117,0.2940625,0.73765625000000001
1168,1,MJ3,1168,-68.079525266495978,-1.9461606670734193,66.133364599422563,47.600117301130076,0.016796874999999999,0.32921875
1168,1,MJ1,1168,-46.887541461381659,3.548496913529041,50.436038374910694,23.71764211076357,0.014921874999999999,0.82187500000000002
1168,2,ATU1,1168,-17.511867008744019,3.3506008824998026,20.862467891243824,41.189399206209501,0.29898437500000002,0.78718750000000004
1168,2,ATU5,1168,-1.7560746554017574,3.9451590815172266,5.7012337369189847,80.201973011754802,0.29976562499999998,0.74257812499999998
1168,2,MJ3,1168,-67.111812054333029,-1.9300244787186029,65.181787575614436,47.53759929314549,0.017656249999999998,0.32882812500000003
1168,2,MJ1,1168,-47.440271706047504,3.6232003010863911,51.063472007133896,23.981480989854798,0.01375,0.82640625000000001
