split,evaluation_role,estimator,subset,reliability_kind,class_level,class_color,bin_index,bin_lower,bin_upper,count,mean_predicted_probability,observed_frequency,class_support,calibration_status
fit,training_only,ngboost,all,one_vs_rest,3.0,orange,8,0.8,0.9,3,0.8557960408211477,1.0,83,ok
fit,training_only,ngboost,all,one_vs_rest,3.0,orange,9,0.9,1.0,27,0.9703498240283724,1.0,83,ok
fit,training_only,ngboost,all,one_vs_rest,4.0,red,0,0.0,0.1,7183,0.00010982785696267357,0.0,88,ok
fit,training_only,ngboost,all,one_vs_rest,4.0,red,1,0.1,0.2,2,0.10660459117421686,0.0,88,ok
fit,training_only,ngboost,all,one_vs_rest,4.0,red,2,0.2,0.30000000000000004,1,0.21994899266887924,0.0,88,ok
fit,training_only,ngboost,all,one_vs_rest,4.0,red,3,0.30000000000000004,0.4,2,0.30945143295938315,1.0,88,ok
fit,training_only,ngboost,all,one_vs_rest,4.0,red,4,0.4,0.5,1,0.4629858630037933,1.0,88,ok
fit,training_only,ngboost,all,one_vs_rest,4.0,red,5,0.5,0.6000000000000001,5,0.5195134593395074,0.4,88,ok
fit,training_only,ngboost,all,one_vs_rest,4.0,red,6,0.6000000000000001,0.7000000000000001,2,0.6339791869157649,1.0,88,ok
fit,training_only,ngboost,all,one_vs_rest,4.0,red,7,0.7000000000000001,0.8,3,0.7538502699024866,1.0,88,ok
fit,training_only,ngboost,all,one_vs_rest,4.0,red,8,0.8,0.9,12,0.8625142591056125,0.8333333333333334,88,ok
fit,training_only,ngboost,all,one_vs_rest,4.0,red,9,0.9,1.0,69,0.9820559533111886,0.9855072463768116,88,ok
fit,training_only,fit_majority_prior,all,top_label,,,0,0.0,0.1,0,,,7280,empty_bin
fit,training_only,fit_majority_prior,all,top_label,,,1,0.1,0.2,0,,,7280,empty_bin
fit,training_only,fit_majority_prior,all,top_label,,,2,0.2,0.30000000000000004,0,,,7280,empty_bin
fit,training_only,fit_majority_prior,all,top_label,,,3,0.30000000000000004,0.4,0,,,7280,empty_bin
fit,training_only,fit_majority_prior,all,top_label,,,4,0.4,0.5,7280,0.4859890109890108,0.485989010989011,7280,ok
fit,training_only,fit_majority_prior,all,top_label,,,5,0.5,0.6000000000000001,0,,,7280,empty_bin
fit,training_only,fit_majority_prior,all,top_label,,,6,0.6000000000000001,0.7000000000000001,0,,,7280,empty_bin
fit,training_only,fit_majority_prior,all,top_label,,,7,0.7000000000000001,0.8,0,,,7280,empty_bin
fit,training_only,fit_majority_prior,all,top_label,,,8,0.8,0.9,0,,,7280,empty_bin
fit,training_only,fit_majority_prior,all,top_label,,,9,0.9,1.0,0,,,7280,empty_bin
fit,training_only,fit_majority_prior,all,one_vs_rest,0.0,green,0,0.0,0.1,0,,,3538,empty_bin
fit,training_only,fit_majority_prior,all,one_vs_rest,0.0,green,1,0.1,0.2,0,,,3538,empty_bin
fit,training_only,fit_majority_prior,all,one_vs_rest,0.0,green,2,0.2,0.30000000000000004,0,,,3538,empty_bin
fit,training_only,fit_majority_prior,all,one_vs_rest,0.0,green,3,0.30000000000000004,0.4,0,,,3538,empty_bin
fit,training_only,fit_majority_prior,all,one_vs_rest,0.0,green,4,0.4,0.5,7280,0.4859890109890108,0.485989010989011,3538,ok
fit,training_only,fit_majority_prior,all,one_vs_rest,0.0,green,5,0.5,0.6000000000000001,0,,,3538,empty_bin
fit,training_only,fit_majority_prior,all,one_vs_rest,0.0,green,6,0.6000000000000001,0.7000000000000001,0,,,3538,empty_bin
fit,training_only,fit_majority_prior,all,one_vs_rest,0.0,green,7,0.7000000000000001,0.8,0,,,3538,empty_bin
fit,training_only,fit_majority_prior,all,one_vs_rest,0.0,green,8,0.8,0.9,0,,,3538,empty_bin
fit,training_only,fit_majority_prior,all,one_vs_rest,0.0,green,9,0.9,1.0,0,,,3538,empty_bin
fit,training_only,fit_majority_prior,all,one_vs_rest,1.0,blue,0,0.0,0.1,0,,,2870,empty_bin
fit,training_only,fit_majority_prior,all,one_vs_rest,1.0,blue,1,0.1,0.2,0,,,2870,empty_bin
fit,training_only,fit_majority_prior,all,one_vs_rest,1.0,blue,2,0.2,0.30000000000000004,0,,,2870,empty_bin
fit,training_only,fit_majority_prior,all,one_vs_rest,1.0,blue,3,0.30000000000000004,0.4,7280,0.3942307692307692,0.3942307692307692,2870,ok
fit,training_only,fit_majority_prior,all,one_vs_rest,1.0,blue,4,0.4,0.5,0,,,2870,empty_bin
fit,training_only,fit_majority_prior,all,one_vs_rest,1.0,blue,5,0.5,0.6000000000000001,0,,,2870,empty_bin
fit,training_only,fit_majority_prior,all,one_vs_rest,1.0,blue,6,0.6000000000000001,0.7000000000000001,0,,,2870,empty_bin
fit,training_only,fit_majority_prior,all,one_vs_rest,1.0,blue,7,0.7000000000000001,0.8,0,,,2870,empty_bin
fit,training_only,fit_majority_prior,all,one_vs_rest,1.0,blue,8,0.8,0.9,0,,,2870,empty_bin
