split,evaluation_role,estimator,subset,actual_level,actual_color,predicted_level,predicted_color,count
test,historical_holdout_evaluation_only,fit_majority_prior,transition_only,0,green,2,yellow,0
test,historical_holdout_evaluation_only,fit_majority_prior,transition_only,0,green,3,orange,0
test,historical_holdout_evaluation_only,fit_majority_prior,transition_only,0,green,4,red,0
test,historical_holdout_evaluation_only,fit_majority_prior,transition_only,1,blue,0,green,37
test,historical_holdout_evaluation_only,fit_majority_prior,transition_only,1,blue,1,blue,0
test,historical_holdout_evaluation_only,fit_majority_prior,transition_only,1,blue,2,yellow,0
test,historical_holdout_evaluation_only,fit_majority_prior,transition_only,1,blue,3,orange,0
test,historical_holdout_evaluation_only,fit_majority_prior,transition_only,1,blue,4,red,0
test,historical_holdout_evaluation_only,fit_majority_prior,transition_only,2,yellow,0,green,14
test,historical_holdout_evaluation_only,fit_majority_prior,transition_only,2,yellow,1,blue,0
test,historical_holdout_evaluation_only,fit_majority_prior,transition_only,2,yellow,2,yellow,0
test,historical_holdout_evaluation_only,fit_majority_prior,transition_only,2,yellow,3,orange,0
test,historical_holdout_evaluation_only,fit_majority_prior,transition_only,2,yellow,4,red,0
test,historical_holdout_evaluation_only,fit_majority_prior,transition_only,3,orange,0,green,17
test,historical_holdout_evaluation_only,fit_majority_prior,transition_only,3,orange,1,blue,0
test,historical_holdout_evaluation_only,fit_majority_prior,transition_only,3,orange,2,yellow,0
test,historical_holdout_evaluation_only,fit_majority_prior,transition_only,3,orange,3,orange,0
test,historical_holdout_evaluation_only,fit_majority_prior,transition_only,3,orange,4,red,0
test,historical_holdout_evaluation_only,fit_majority_prior,transition_only,4,red,0,green,13
test,historical_holdout_evaluation_only,fit_majority_prior,transition_only,4,red,1,blue,0
test,historical_holdout_evaluation_only,fit_majority_prior,transition_only,4,red,2,yellow,0
test,historical_holdout_evaluation_only,fit_majority_prior,transition_only,4,red,3,orange,0
test,historical_holdout_evaluation_only,fit_majority_prior,transition_only,4,red,4,red,0
test,historical_holdout_evaluation_only,current_state_persistence,transition_only,0,green,0,green,0
test,historical_holdout_evaluation_only,current_state_persistence,transition_only,0,green,1,blue,29
test,historical_holdout_evaluation_only,current_state_persistence,transition_only,0,green,2,yellow,0
test,historical_holdout_evaluation_only,current_state_persistence,transition_only,0,green,3,orange,0
test,historical_holdout_evaluation_only,current_state_persistence,transition_only,0,green,4,red,0
test,historical_holdout_evaluation_only,current_state_persistence,transition_only,1,blue,0,green,32
test,historical_holdout_evaluation_only,current_state_persistence,transition_only,1,blue,1,blue,0
test,historical_holdout_evaluation_only,current_state_persistence,transition_only,1,blue,2,yellow,5
test,historical_holdout_evaluation_only,current_state_persistence,transition_only,1,blue,3,orange,0
test,historical_holdout_evaluation_only,current_state_persistence,transition_only,1,blue,4,red,0
test,historical_holdout_evaluation_only,current_state_persistence,transition_only,2,yellow,0,green,0
test,historical_holdout_evaluation_only,current_state_persistence,transition_only,2,yellow,1,blue,11
test,historical_holdout_evaluation_only,current_state_persistence,transition_only,2,yellow,2,yellow,0
test,historical_holdout_evaluation_only,current_state_persistence,transition_only,2,yellow,3,orange,3
test,historical_holdout_evaluation_only,current_state_persistence,transition_only,2,yellow,4,red,0
test,historical_holdout_evaluation_only,current_state_persistence,transition_only,3,orange,0,green,0
test,historical_holdout_evaluation_only,current_state_persistence,transition_only,3,orange,1,blue,0
test,historical_holdout_evaluation_only,current_state_persistence,transition_only,3,orange,2,yellow,9
test,historical_holdout_evaluation_only,current_state_persistence,transition_only,3,orange,3,orange,0
test,historical_holdout_evaluation_only,current_state_persistence,transition_only,3,orange,4,red,8
test,historical_holdout_evaluation_only,current_state_persistence,transition_only,4,red,0,green,0
test,historical_holdout_evaluation_only,current_state_persistence,transition_only,4,red,1,blue,0
test,historical_holdout_evaluation_only,current_state_persistence,transition_only,4,red,2,yellow,0
test,historical_holdout_evaluation_only,current_state_persistence,transition_only,4,red,3,orange,13
test,historical_holdout_evaluation_only,current_state_persistence,transition_only,4,red,4,red,0
