split,evaluation_role,estimator,subset,actual_level,actual_color,predicted_level,predicted_color,count
fit,training_only,fit_majority_prior,transition_only,2,yellow,0,green,75
fit,training_only,fit_majority_prior,transition_only,2,yellow,1,blue,0
fit,training_only,fit_majority_prior,transition_only,2,yellow,2,yellow,0
fit,training_only,fit_majority_prior,transition_only,2,yellow,3,orange,0
fit,training_only,fit_majority_prior,transition_only,2,yellow,4,red,0
fit,training_only,fit_majority_prior,transition_only,3,orange,0,green,20
fit,training_only,fit_majority_prior,transition_only,3,orange,1,blue,0
fit,training_only,fit_majority_prior,transition_only,3,orange,2,yellow,0
fit,training_only,fit_majority_prior,transition_only,3,orange,3,orange,0
fit,training_only,fit_majority_prior,transition_only,3,orange,4,red,0
fit,training_only,fit_majority_prior,transition_only,4,red,0,green,7
fit,training_only,fit_majority_prior,transition_only,4,red,1,blue,0
fit,training_only,fit_majority_prior,transition_only,4,red,2,yellow,0
fit,training_only,fit_majority_prior,transition_only,4,red,3,orange,0
fit,training_only,fit_majority_prior,transition_only,4,red,4,red,0
fit,training_only,current_state_persistence,transition_only,0,green,0,green,0
fit,training_only,current_state_persistence,transition_only,0,green,1,blue,208
fit,training_only,current_state_persistence,transition_only,0,green,2,yellow,0
fit,training_only,current_state_persistence,transition_only,0,green,3,orange,0
fit,training_only,current_state_persistence,transition_only,0,green,4,red,0
fit,training_only,current_state_persistence,transition_only,1,blue,0,green,205
fit,training_only,current_state_persistence,transition_only,1,blue,1,blue,0
fit,training_only,current_state_persistence,transition_only,1,blue,2,yellow,60
fit,training_only,current_state_persistence,transition_only,1,blue,3,orange,0
fit,training_only,current_state_persistence,transition_only,1,blue,4,red,0
fit,training_only,current_state_persistence,transition_only,2,yellow,0,green,1
fit,training_only,current_state_persistence,transition_only,2,yellow,1,blue,60
fit,training_only,current_state_persistence,transition_only,2,yellow,2,yellow,0
fit,training_only,current_state_persistence,transition_only,2,yellow,3,orange,14
fit,training_only,current_state_persistence,transition_only,2,yellow,4,red,0
fit,training_only,current_state_persistence,transition_only,3,orange,0,green,0
fit,training_only,current_state_persistence,transition_only,3,orange,1,blue,0
fit,training_only,current_state_persistence,transition_only,3,orange,2,yellow,13
fit,training_only,current_state_persistence,transition_only,3,orange,3,orange,0
fit,training_only,current_state_persistence,transition_only,3,orange,4,red,7
fit,training_only,current_state_persistence,transition_only,4,red,0,green,0
fit,training_only,current_state_persistence,transition_only,4,red,1,blue,0
fit,training_only,current_state_persistence,transition_only,4,red,2,yellow,1
fit,training_only,current_state_persistence,transition_only,4,red,3,orange,6
fit,training_only,current_state_persistence,transition_only,4,red,4,red,0
calibration,chronological_evaluation_only,ngboost,all,0,green,0,green,481
calibration,chronological_evaluation_only,ngboost,all,0,green,1,blue,50
calibration,chronological_evaluation_only,ngboost,all,0,green,2,yellow,0
calibration,chronological_evaluation_only,ngboost,all,0,green,3,orange,0
calibration,chronological_evaluation_only,ngboost,all,0,green,4,red,0
calibration,chronological_evaluation_only,ngboost,all,1,blue,0,green,69
calibration,chronological_evaluation_only,ngboost,all,1,blue,1,blue,767
calibration,chronological_evaluation_only,ngboost,all,1,blue,2,yellow,11
calibration,chronological_evaluation_only,ngboost,all,1,blue,3,orange,0
calibration,chronological_evaluation_only,ngboost,all,1,blue,4,red,0
calibration,chronological_evaluation_only,ngboost,all,2,yellow,0,green,0
calibration,chronological_evaluation_only,ngboost,all,2,yellow,1,blue,11
calibration,chronological_evaluation_only,ngboost,all,2,yellow,2,yellow,273
calibration,chronological_evaluation_only,ngboost,all,2,yellow,3,orange,3
calibration,chronological_evaluation_only,ngboost,all,2,yellow,4,red,0
calibration,chronological_evaluation_only,ngboost,all,3,orange,0,green,0
calibration,chronological_evaluation_only,ngboost,all,3,orange,1,blue,0
calibration,chronological_evaluation_only,ngboost,all,3,orange,2,yellow,20
calibration,chronological_evaluation_only,ngboost,all,3,orange,3,orange,117
calibration,chronological_evaluation_only,ngboost,all,3,orange,4,red,6
calibration,chronological_evaluation_only,ngboost,all,4,red,0,green,0
calibration,chronological_evaluation_only,ngboost,all,4,red,1,blue,0
calibration,chronological_evaluation_only,ngboost,all,4,red,2,yellow,0
calibration,chronological_evaluation_only,ngboost,all,4,red,3,orange,0
calibration,chronological_evaluation_only,ngboost,all,4,red,4,red,0
calibration,chronological_evaluation_only,fit_majority_prior,all,0,green,0,green,531
calibration,chronological_evaluation_only,fit_majority_prior,all,0,green,1,blue,0
calibration,chronological_evaluation_only,fit_majority_prior,all,0,green,2,yellow,0
calibration,chronological_evaluation_only,fit_majority_prior,all,0,green,3,orange,0
calibration,chronological_evaluation_only,fit_majority_prior,all,0,green,4,red,0
calibration,chronological_evaluation_only,fit_majority_prior,all,1,blue,0,green,847
calibration,chronological_evaluation_only,fit_majority_prior,all,1,blue,1,blue,0
calibration,chronological_evaluation_only,fit_majority_prior,all,1,blue,2,yellow,0
calibration,chronological_evaluation_only,fit_majority_prior,all,1,blue,3,orange,0
calibration,chronological_evaluation_only,fit_majority_prior,all,1,blue,4,red,0
calibration,chronological_evaluation_only,fit_majority_prior,all,2,yellow,0,green,287
calibration,chronological_evaluation_only,fit_majority_prior,all,2,yellow,1,blue,0
calibration,chronological_evaluation_only,fit_majority_prior,all,2,yellow,2,yellow,0
calibration,chronological_evaluation_only,fit_majority_prior,all,2,yellow,3,orange,0
calibration,chronological_evaluation_only,fit_majority_prior,all,2,yellow,4,red,0
calibration,chronological_evaluation_only,fit_majority_prior,all,3,orange,0,green,143
calibration,chronological_evaluation_only,fit_majority_prior,all,3,orange,1,blue,0
calibration,chronological_evaluation_only,fit_majority_prior,all,3,orange,2,yellow,0
calibration,chronological_evaluation_only,fit_majority_prior,all,3,orange,3,orange,0
calibration,chronological_evaluation_only,fit_majority_prior,all,3,orange,4,red,0
calibration,chronological_evaluation_only,fit_majority_prior,all,4,red,0,green,0
calibration,chronological_evaluation_only,fit_majority_prior,all,4,red,1,blue,0
calibration,chronological_evaluation_only,fit_majority_prior,all,4,red,2,yellow,0
calibration,chronological_evaluation_only,fit_majority_prior,all,4,red,3,orange,0
calibration,chronological_evaluation_only,fit_majority_prior,all,4,red,4,red,0
calibration,chronological_evaluation_only,current_state_persistence,all,0,green,0,green,476
calibration,chronological_evaluation_only,current_state_persistence,all,0,green,1,blue,55
calibration,chronological_evaluation_only,current_state_persistence,all,0,green,2,yellow,0
calibration,chronological_evaluation_only,current_state_persistence,all,0,green,3,orange,0
calibration,chronological_evaluation_only,current_state_persistence,all,0,green,4,red,0
calibration,chronological_evaluation_only,current_state_persistence,all,1,blue,0,green,58
calibration,chronological_evaluation_only,current_state_persistence,all,1,blue,1,blue,778
calibration,chronological_evaluation_only,current_state_persistence,all,1,blue,2,yellow,11
calibration,chronological_evaluation_only,current_state_persistence,all,1,blue,3,orange,0
calibration,chronological_evaluation_only,current_state_persistence,all,1,blue,4,red,0
