split,evaluation_role,estimator,subset,metric,class_level,class_color,value,numerator,denominator,status
fit,training_only,current_state_persistence,all,recall,2.0,yellow,0.8930099857346647,,,ok
fit,training_only,current_state_persistence,all,f1,2.0,yellow,0.8936473947180585,,,ok
fit,training_only,current_state_persistence,all,support,2.0,yellow,701.0,701.0,7280.0,ok
fit,training_only,current_state_persistence,all,precision,3.0,orange,0.7590361445783133,,,ok
fit,training_only,current_state_persistence,all,recall,3.0,orange,0.7590361445783133,,,ok
fit,training_only,current_state_persistence,all,f1,3.0,orange,0.7590361445783133,,,ok
fit,training_only,current_state_persistence,all,support,3.0,orange,83.0,83.0,7280.0,ok
fit,training_only,current_state_persistence,all,precision,4.0,red,0.9204545454545454,,,ok
fit,training_only,current_state_persistence,all,recall,4.0,red,0.9204545454545454,,,ok
fit,training_only,current_state_persistence,all,f1,4.0,red,0.9204545454545454,,,ok
fit,training_only,current_state_persistence,all,support,4.0,red,88.0,88.0,7280.0,ok
fit,training_only,current_state_persistence,all,balanced_accuracy_supported_classes,,,0.8842751808002707,,,ok
fit,training_only,current_state_persistence,all,ordinal_mae,,,0.07925824175824175,,,ok
fit,training_only,current_state_persistence,all,quadratic_weighted_kappa,,,0.9363775695403658,,,ok
fit,training_only,current_state_persistence,all,false_escalation_vs_proxy_count,,,289.0,289.0,7280.0,ok
fit,training_only,current_state_persistence,all,false_escalation_vs_proxy_rate,,,0.039697802197802196,289.0,7280.0,ok
fit,training_only,current_state_persistence,all,false_deescalation_vs_proxy_count,,,286.0,286.0,7280.0,ok
fit,training_only,current_state_persistence,all,false_deescalation_vs_proxy_rate,,,0.039285714285714285,286.0,7280.0,ok
fit,training_only,current_state_persistence,all,multiclass_log_loss,,,,,,probability_not_available
fit,training_only,current_state_persistence,all,multiclass_brier,,,,,,probability_not_available
fit,training_only,current_state_persistence,all,top_label_ece,,,,,,probability_not_available
fit,training_only,ngboost,transition_only,row_count,,,575.0,,,ok
fit,training_only,ngboost,transition_only,accuracy,,,0.17391304347826086,,,ok
fit,training_only,ngboost,transition_only,macro_f1_fixed_five,,,0.2695397128815336,,,ok
fit,training_only,ngboost,transition_only,macro_f1_supported_classes,,,0.2695397128815336,,,ok
fit,training_only,ngboost,transition_only,precision,0.0,green,0.1981981981981982,,,ok
fit,training_only,ngboost,transition_only,recall,0.0,green,0.21153846153846154,,,ok
fit,training_only,ngboost,transition_only,f1,0.0,green,0.20465116279069767,,,ok
