fit_days,strategy,seed,initial_loss,initial_anchor_loss,initial_paired_loss,final_loss,final_anchor_loss,final_paired_loss
342,IN,0,0.01800820474584853,0.013358833040878811,0.022657576450818246,0.0003844769398228903,0.000575482322753867,0.00019347155689191368
342,IN,1,0.01800820474584853,0.013358833040878811,0.022657576450818246,0.000443709423718667,0.0007140402258303943,0.00017337862160693966
342,IN,2,0.01800820474584853,0.013358833040878811,0.022657576450818246,0.0005313612046372643,0.0007841019590172723,0.00027862045025725616
342,OOF,0,0.02340461017144556,0.013358833040878811,0.0334503873020123,0.00045825041820703844,0.0007792184832836819,0.00013728235313039512
342,OOF,1,0.02340461017144556,0.013358833040878811,0.0334503873020123,0.0003626864380971193,0.0006034802407303237,0.00012189263546391516
342,OOF,2,0.02340461017144556,0.013358833040878811,0.0334503873020123,0.0004230181323027983,0.0007515198064746115,9.451645813098513e-05
432,IN,0,0.0065883886598551615,0.005981883076662482,0.007194894243047841,0.00015281428922137063,0.00017876403680284252,0.00012686454163989873
432,IN,1,0.0065883886598551615,0.005981883076662482,0.007194894243047841,0.0001713948082214663,0.00022227668975606326,0.00012051292668686933
432,IN,2,0.0065883886598551615,0.005981883076662482,0.007194894243047841,0.0001731517724663652,0.00022568380343106345,0.00012061974150166703
432,OOF,0,0.12182083997927559,0.005981883076662482,0.2376597968818887,0.0035963057119271333,0.002687783170604587,0.00450482825324968
432,OOF,1,0.12182083997927559,0.005981883076662482,0.2376597968818887,0.0036675167732033746,0.0025266714620409947,0.004808362084365755
432,OOF,2,0.12182083997927559,0.005981883076662482,0.2376597968818887,0.0031839647280849925,0.002681192104571418,0.0036867373515985665
612,IN,0,0.005428665798644937,0.005249556016899529,0.005607775580390344,0.00032307376448293475,0.0003608447783165319,0.0002853027506493376
612,IN,1,0.005428665798644937,0.005249556016899529,0.005607775580390344,0.0002729658082462373,0.00032913766825876025,0.00021679394823371432
612,IN,2,0.005428665798644937,0.005249556016899529,0.005607775580390344,0.0002481623072453694,0.00031006641219941155,0.0001862582022913272
612,OOF,0,0.33706618920008136,0.005249556016899529,0.6688828223832632,0.040602118771010755,0.005196628755412295,0.07600760878660921
612,OOF,1,0.33706618920008136,0.005249556016899529,0.6688828223832632,0.04118727864407615,0.004872734562402774,0.07750182272574951
612,OOF,2,0.33706618920008136,0.005249556016899529,0.6688828223832632,0.0315952013722018,0.005969726970657027,0.05722067577374657
