 origin                  method       mae      rmse      crps
    792        BPLUS_CONTINUOUS 23.582514 27.313325 24.157337
    792     BPLUS_ORIGIN_ANCHOR 23.564678 27.297235 24.151262
    792                  DRIFT1  4.960013  5.824270  6.274072
    792                 RR_COND 27.493401 31.315924 24.693029
    792 G10_ANCHOR_UNIFORM_E200 24.032295 26.778773 22.837854
    792 G10_ANCHOR_UNIFORM_E400 18.982282 21.725008 18.673013
    792 T10_ANCHOR_UNIFORM_E200 26.277493 29.102037 24.629207
    792 T10_ANCHOR_UNIFORM_E400 24.351758 27.310036 22.287623
    972        BPLUS_CONTINUOUS 61.563106 67.167389 48.091953
    972     BPLUS_ORIGIN_ANCHOR 32.611769 40.433365 27.838012
    972                  DRIFT1  8.637339 10.594506  7.034024
    972                 RR_COND 43.445352 48.588248 33.310714
    972 G10_ANCHOR_UNIFORM_E200 16.627003 20.445223 15.643208
    972 G10_ANCHOR_UNIFORM_E400 20.718823 24.737119 16.679352
    972 T10_ANCHOR_UNIFORM_E200 16.752873 20.640218 16.142759
    972 T10_ANCHOR_UNIFORM_E400 19.943625 24.154311 16.436314
   1168        BPLUS_CONTINUOUS  6.901689  9.124173 14.894908
   1168     BPLUS_ORIGIN_ANCHOR  6.891668  9.116413  8.882457
   1168                  DRIFT1  9.109845 12.977735  7.585014
   1168                 RR_COND 11.318237 12.338214 13.077240
   1168 G10_ANCHOR_UNIFORM_E200  7.848539 11.141437  6.908215
   1168 G10_ANCHOR_UNIFORM_E400  7.442954 11.339123  8.164318
   1168 T10_ANCHOR_UNIFORM_E200 10.664211 13.290363  8.602632
   1168 T10_ANCHOR_UNIFORM_E400 10.612983 13.653310  8.418289
