analysis_scope,month_window_days,accel_percentile,is_default,station,v_bar_mm_per_month,sigma_mm_per_month,accel_cutoff_mm_per_month,v0_mm_per_month,v0_yellow_threshold,v0_orange_threshold,v0_red_threshold,vigilance_multiplier,alarm_multiplier,v0_estimation_method,high_level_threshold_source,n_monthly_samples,n_steady_months
retrospective_fixed_first_80pct,15,0.85,False,MJ9,0.7935051122448984,1.1121469031063103,2.639662000000032,3.414551474579968,3.414551474579968,17.07275737289984,34.14551474579968,5.0,10.0,thesis_steady_stage_velocity_statistic,chen_et_al_2024_eq10_default_vd,1153,980
retrospective_fixed_first_80pct,15,0.85,False,MJ1,2.734500659203002,2.4903217526726973,8.66788137875858,9.082394494149899,9.082394494149899,45.41197247074949,90.82394494149898,5.0,10.0,thesis_steady_stage_velocity_statistic,chen_et_al_2024_eq10_default_vd,1153,980
retrospective_fixed_first_80pct,15,0.85,False,MJ3,1.7908068190674495,1.554587931866718,7.407331235837795,5.79538609233461,5.79538609233461,28.97693046167305,57.9538609233461,5.0,10.0,thesis_steady_stage_velocity_statistic,chen_et_al_2024_eq10_default_vd,1153,980
retrospective_fixed_first_80pct,15,0.85,False,ATU1,1.696482850551231,2.833818167224628,9.672841423566638,8.212360610276102,8.212360610276102,41.06180305138051,82.12360610276102,5.0,10.0,thesis_steady_stage_velocity_statistic,chen_et_al_2024_eq10_default_vd,1153,980
retrospective_fixed_first_80pct,15,0.85,False,ATU2,1.3131677653061224,1.413581686545521,6.278924000000004,4.796915021050226,4.796915021050226,23.98457510525113,47.96915021050226,5.0,10.0,thesis_steady_stage_velocity_statistic,chen_et_al_2024_eq10_default_vd,1153,980
retrospective_fixed_first_80pct,15,0.85,False,ATU3,3.034827336734694,2.8657303723156167,11.464859999999973,10.283701749733275,10.283701749733275,51.418508748666376,102.83701749733275,5.0,10.0,thesis_steady_stage_velocity_statistic,chen_et_al_2024_eq10_default_vd,1153,980
retrospective_fixed_first_80pct,15,0.85,False,ATU4,1.121780479591837,1.3010950963341126,5.444470000000001,4.284860912055981,4.284860912055981,21.424304560279907,42.848609120559814,5.0,10.0,thesis_steady_stage_velocity_statistic,chen_et_al_2024_eq10_default_vd,1153,980
retrospective_fixed_first_80pct,15,0.85,False,ATU5,3.5306757895909793,3.568068939080096,15.636438287256302,12.432151562546661,12.432151562546661,62.16075781273331,124.32151562546662,5.0,10.0,thesis_steady_stage_velocity_statistic,chen_et_al_2024_eq10_default_vd,1153,980
retrospective_fixed_first_80pct,15,0.9,False,MJ9,0.9034020347155257,1.1736435223686463,3.098180000000002,3.702390096810581,3.702390096810581,18.511950484052907,37.02390096810581,5.0,10.0,thesis_steady_stage_velocity_statistic,chen_et_al_2024_eq10_default_vd,1153,1037
retrospective_fixed_first_80pct,15,0.9,False,MJ1,3.0768150218605186,2.806837291707222,9.234812912201914,10.228897116205221,10.228897116205221,51.1444855810261,102.2889711620522,5.0,10.0,thesis_steady_stage_velocity_statistic,chen_et_al_2024_eq10_default_vd,1153,1037
retrospective_fixed_first_80pct,15,0.9,False,MJ3,2.3525769398773377,2.8652947417416845,15.253981694627782,9.259454893299376,9.259454893299376,46.29727446649688,92.59454893299376,5.0,10.0,thesis_steady_stage_velocity_statistic,chen_et_al_2024_eq10_default_vd,1153,1037
retrospective_fixed_first_80pct,15,0.9,False,ATU1,2.1891142731923705,3.434117824644577,12.418286040444794,10.151907059077711,10.151907059077711,50.75953529538856,101.51907059077712,5.0,10.0,thesis_steady_stage_velocity_statistic,chen_et_al_2024_eq10_default_vd,1153,1037
retrospective_fixed_first_80pct,15,0.9,False,ATU2,1.6537365670202508,1.9863605404694658,9.899845999999995,6.453325931469308,6.453325931469308,32.26662965734654,64.53325931469308,5.0,10.0,thesis_steady_stage_velocity_statistic,chen_et_al_2024_eq10_default_vd,1153,1037
retrospective_fixed_first_80pct,15,0.9,False,ATU3,3.7111496817743492,3.995873486067801,19.458477999999992,13.558471494797125,13.558471494797125,67.79235747398562,135.58471494797124,5.0,10.0,thesis_steady_stage_velocity_statistic,chen_et_al_2024_eq10_default_vd,1153,1037
retrospective_fixed_first_80pct,15,0.9,False,ATU4,1.4442314850530373,1.8657452874537046,10.076739999999985,5.897837802486965,5.897837802486965,29.489189012434824,58.97837802486965,5.0,10.0,thesis_steady_stage_velocity_statistic,chen_et_al_2024_eq10_default_vd,1153,1037
retrospective_fixed_first_80pct,15,0.9,False,ATU5,4.339777829090354,4.836842275778837,20.178696599184196,16.183351295193205,16.183351295193205,80.91675647596603,161.83351295193205,5.0,10.0,thesis_steady_stage_velocity_statistic,chen_et_al_2024_eq10_default_vd,1153,1037
retrospective_fixed_first_80pct,15,0.95,False,MJ9,1.0515343470319634,1.3097461210402526,4.564647999999977,4.196793762628451,4.196793762628451,20.983968813142255,41.96793762628451,5.0,10.0,thesis_steady_stage_velocity_statistic,chen_et_al_2024_eq10_default_vd,1153,1095
retrospective_fixed_first_80pct,15,0.95,False,MJ1,3.425634110168841,3.1055386767730733,10.682494116088515,11.349528518799408,11.349528518799408,56.74764259399704,113.49528518799409,5.0,10.0,thesis_steady_stage_velocity_statistic,chen_et_al_2024_eq10_default_vd,1153,1095
retrospective_fixed_first_80pct,15,0.95,False,MJ3,3.071430582655596,4.126616585989113,16.584946742028432,12.860379045961619,12.860379045961619,64.3018952298081,128.6037904596162,5.0,10.0,thesis_steady_stage_velocity_statistic,chen_et_al_2024_eq10_default_vd,1153,1095
retrospective_fixed_first_80pct,15,0.95,False,ATU1,2.9873762024886945,4.820006105798654,23.62084422565507,14.12107651533035,14.12107651533035,70.60538257665175,141.2107651533035,5.0,10.0,thesis_steady_stage_velocity_statistic,chen_et_al_2024_eq10_default_vd,1153,1095
retrospective_fixed_first_80pct,15,0.95,False,ATU2,2.3398842191780824,3.5139738462344914,16.325011999999997,10.537774021236107,10.537774021236107,52.68887010618053,105.37774021236106,5.0,10.0,thesis_steady_stage_velocity_statistic,chen_et_al_2024_eq10_default_vd,1153,1095
retrospective_fixed_first_80pct,15,0.95,False,ATU3,4.6519145022831045,5.566960172932359,22.401713999999984,18.111792099289374,18.111792099289374,90.55896049644687,181.11792099289374,5.0,10.0,thesis_steady_stage_velocity_statistic,chen_et_al_2024_eq10_default_vd,1153,1095
retrospective_fixed_first_80pct,15,0.95,False,ATU4,2.0668153972602745,3.2115831540503343,14.370389999999997,9.52338940399108,9.52338940399108,47.616947019955404,95.23389403991081,5.0,10.0,thesis_steady_stage_velocity_statistic,chen_et_al_2024_eq10_default_vd,1153,1095
retrospective_fixed_first_80pct,15,0.95,False,ATU5,5.332206578515172,6.321815337571383,26.721634219566955,20.641940542915524,20.641940542915524,103.20970271457762,206.41940542915523,5.0,10.0,thesis_steady_stage_velocity_statistic,chen_et_al_2024_eq10_default_vd,1153,1095
retrospective_fixed_first_80pct,30,0.85,False,MJ9,1.6564967425025852,2.1880655157116338,5.120875500000035,6.860876145177145,6.860876145177145,34.30438072588573,68.60876145177146,5.0,10.0,thesis_steady_stage_velocity_statistic,chen_et_al_2024_eq10_default_vd,1138,967
