analysis_scope,candidate_window_days,smooth_window_days,persist_window_days,persist_min_hits,is_default,valid_days,green_days,yellow_days,orange_days,red_days,yellow_plus_days,orange_plus_days,warning_events,alpha_elevated_days,upgraded_days,reason_v0_green_days,reason_alpha_watch_days,reason_multi_station_confirmed_days,reason_multi_scale_confirmed_days,reason_v0_alpha_consistent_days,reason_v0_primary_days,common_valid_days,changed_days_vs_default,agreement_rate_vs_default,common_valid_days_vs_candidate_default,changed_days_vs_candidate_default,agreement_rate_vs_candidate_default
retrospective_fixed_first_80pct,15,1,3,2,False,1431,7,891,276,257,1424,533,2,1424,1396,7,166,958,272,28,0,1431,315,0.779874213836478,1431,39,0.9727463312368972
retrospective_fixed_first_80pct,15,1,5,3,False,1431,7,889,278,257,1424,535,2,1424,1399,7,166,958,275,25,0,1431,289,0.7980433263452131,1431,11,0.9923130677847659
retrospective_fixed_first_80pct,15,1,7,4,False,1431,7,889,278,257,1424,535,2,1424,1402,7,167,957,278,22,0,1431,287,0.7994409503843466,1431,15,0.989517819706499
retrospective_fixed_first_80pct,15,3,3,2,False,1431,8,891,274,258,1423,532,2,1423,1395,8,202,921,272,28,0,1431,304,0.7875611460517121,1431,28,0.9804332634521313
retrospective_fixed_first_80pct,15,3,5,3,False,1431,8,889,276,258,1423,534,2,1423,1398,8,200,923,275,25,0,1431,278,0.8057302585604472,1431,0,1.0
retrospective_fixed_first_80pct,15,3,7,4,False,1431,8,889,276,258,1423,534,2,1423,1401,8,202,921,278,22,0,1431,296,0.793151642208246,1431,26,0.9818308874912649
retrospective_fixed_first_80pct,15,5,3,2,False,1431,8,890,275,258,1423,533,2,1423,1398,8,214,909,275,25,0,1431,279,0.8050314465408805,1431,1,0.9993011879804332
retrospective_fixed_first_80pct,15,5,5,3,False,1431,8,890,275,258,1423,533,2,1423,1401,8,212,911,278,22,0,1431,295,0.7938504542278128,1431,25,0.9825296995108316
retrospective_fixed_first_80pct,15,5,7,4,False,1431,8,890,275,258,1423,533,2,1423,1404,8,213,910,281,19,0,1431,313,0.7812718378756115,1431,51,0.9643605870020965
retrospective_fixed_first_80pct,30,1,3,2,False,1431,116,911,156,248,1315,404,5,1315,1232,116,297,718,217,83,0,1431,90,0.9371069182389937,1431,90,0.9371069182389937
retrospective_fixed_first_80pct,30,1,5,3,False,1431,116,909,158,248,1315,406,5,1315,1234,116,296,719,219,81,0,1431,58,0.9594689028651293,1431,58,0.9594689028651293
retrospective_fixed_first_80pct,30,1,7,4,False,1431,116,909,158,248,1315,406,5,1315,1236,116,295,720,221,79,0,1431,58,0.9594689028651293,1431,58,0.9594689028651293
retrospective_fixed_first_80pct,30,3,3,2,False,1431,146,883,153,249,1285,402,14,1285,1201,146,275,710,216,84,0,1431,55,0.9615653389238294,1431,55,0.9615653389238294
retrospective_fixed_first_80pct,30,3,5,3,True,1431,157,870,155,249,1274,404,9,1274,1192,157,263,711,218,82,0,1431,0,1.0,1431,0,1.0
retrospective_fixed_first_80pct,30,3,7,4,False,1431,153,874,155,249,1278,404,11,1278,1198,153,266,712,220,80,0,1431,44,0.9692522711390636,1431,44,0.9692522711390636
retrospective_fixed_first_80pct,30,5,3,2,False,1431,151,877,154,249,1280,403,11,1280,1198,151,268,712,218,82,0,1431,27,0.9811320754716981,1431,27,0.9811320754716981
retrospective_fixed_first_80pct,30,5,5,3,False,1431,152,876,154,249,1279,403,11,1279,1199,152,266,713,220,80,0,1431,56,0.9608665269042628,1431,56,0.9608665269042628
retrospective_fixed_first_80pct,30,5,7,4,False,1431,155,873,154,249,1276,403,11,1276,1198,155,264,712,222,78,0,1431,85,0.9406009783368274,1431,85,0.9406009783368274
retrospective_fixed_first_80pct,60,1,3,2,False,1431,7,891,277,256,1424,533,2,1424,1396,7,152,972,272,28,0,1431,315,0.779874213836478,1431,42,0.9706498951781971
retrospective_fixed_first_80pct,60,1,5,3,False,1431,7,889,279,256,1424,535,2,1424,1399,7,152,972,275,25,0,1431,289,0.7980433263452131,1431,14,0.9902166317260657
retrospective_fixed_first_80pct,60,1,7,4,False,1431,7,889,279,256,1424,535,2,1424,1402,7,152,972,278,22,0,1431,287,0.7994409503843466,1431,12,0.9916142557651991
retrospective_fixed_first_80pct,60,3,3,2,False,1431,8,892,274,257,1423,531,2,1423,1396,8,187,936,273,27,0,1431,302,0.7889587700908456,1431,28,0.9804332634521313
retrospective_fixed_first_80pct,60,3,5,3,False,1431,8,890,276,257,1423,533,2,1423,1399,8,196,927,276,24,0,1431,278,0.8057302585604472,1431,0,1.0
retrospective_fixed_first_80pct,60,3,7,4,False,1431,8,890,276,257,1423,533,2,1423,1402,8,194,929,279,21,0,1431,296,0.793151642208246,1431,26,0.9818308874912649
retrospective_fixed_first_80pct,60,5,3,2,False,1431,8,891,275,257,1423,532,2,1423,1399,8,189,934,276,24,0,1431,279,0.8050314465408805,1431,1,0.9993011879804332
retrospective_fixed_first_80pct,60,5,5,3,False,1431,8,891,275,257,1423,532,2,1423,1402,8,190,933,279,21,0,1431,295,0.7938504542278128,1431,25,0.9825296995108316
retrospective_fixed_first_80pct,60,5,7,4,False,1431,8,891,275,257,1423,532,2,1423,1405,8,193,930,282,18,0,1431,313,0.7812718378756115,1431,51,0.9643605870020965
