origin,representation,part,station,days,group,mean_mm,rms_mm,sd_mm,min_mm,max_mm,boundary_mean_mm,excess_mean_mm
252,H,train,ATU1,222,intercept,0.26510482947404856,0.2651048294740487,1.1102230246251565e-16,0.2651048294740487,0.2651048294740487,0.26510482947404856,0.0
252,H,train,ATU1,222,hydro,-0.018137034005280207,0.628893877463065,0.6286322908569205,-1.4902119982629127,1.3202721513882225,-0.018137034005280207,0.0
252,H,train,ATU5,222,intercept,0.3372085730667828,0.33720857306678276,5.551115123125783e-17,0.33720857306678276,0.33720857306678276,0.3372085730667828,0.0
252,H,train,ATU5,222,hydro,-0.2726721067822261,1.3494680008212003,1.321633007844201,-2.878096072656681,2.667095361501546,-0.2726721067822261,0.0
252,H,train,MJ3,222,intercept,-0.6274531310018823,0.6274531310018822,1.1102230246251565e-16,-0.6274531310018822,-0.6274531310018822,-0.6274531310018823,0.0
252,H,train,MJ3,222,hydro,0.18931417679189416,4.097230712902422,4.092854707562498,-7.040723608441702,8.460510995314902,0.18931417679189416,0.0
252,H,train,MJ1,222,intercept,-3.063878466495592,3.0638784664955914,0.0,-3.063878466495592,-3.063878466495592,-3.063878466495592,0.0
252,H,train,MJ1,222,hydro,0.3833865454160046,4.2230903347796716,4.205651760726684,-8.173594977493792,8.382016652636196,0.3833865454160046,0.0
252,H,forward,ATU1,90,intercept,0.26510482947404856,0.2651048294740487,1.1102230246251565e-16,0.2651048294740487,0.2651048294740487,0.26510482947404856,0.0
252,H,forward,ATU1,90,hydro,0.23439097438787507,0.6562845884246044,0.6130010865644161,-2.523526922861688,1.7369613727049045,0.22352481263248458,0.010866161755390468
252,H,forward,ATU5,90,intercept,0.3372085730667828,0.33720857306678276,5.551115123125783e-17,0.33720857306678276,0.33720857306678276,0.3372085730667828,0.0
252,H,forward,ATU5,90,hydro,0.09103436920239988,0.46041157056543947,0.4513220113560337,-2.241585847637266,2.401863136262871,0.11154136238094386,-0.020506993178543976
252,H,forward,MJ3,90,intercept,-0.6274531310018822,0.6274531310018822,0.0,-0.6274531310018822,-0.6274531310018822,-0.6274531310018822,0.0
252,H,forward,MJ3,90,hydro,0.2861929262881805,2.449775591953617,2.4330010398424218,-7.811547402634762,10.409914900544646,0.32498639591633555,-0.03879346962815504
252,H,forward,MJ1,90,intercept,-3.063878466495591,3.063878466495592,8.881784197001252e-16,-3.063878466495592,-3.063878466495592,-3.063878466495591,0.0
252,H,forward,MJ1,90,hydro,0.11237465143142011,2.645692337760833,2.6433047277606967,-12.227200380606318,11.975127384449728,0.16787250487854483,-0.05549785344712473
252,HH,train,ATU1,222,intercept,0.6950087537346815,0.6950087537346817,1.1102230246251565e-16,0.6950087537346816,0.6950087537346816,0.6950087537346815,0.0
252,HH,train,ATU1,222,hydro,-0.1159661377767356,0.7118871232920155,0.7023781966989925,-1.6732486225288925,0.8182206197830513,-0.1159661377767356,0.0
252,HH,train,ATU1,222,history,-0.3320748204891777,0.9845637633061042,0.9268722229156287,-2.250328141569943,0.7127965499363464,-0.3320748204891777,0.0
252,HH,train,ATU5,222,intercept,0.01722690611146235,0.017226906111462353,3.469446951953614e-18,0.017226906111462346,0.017226906111462346,0.01722690611146235,0.0
252,HH,train,ATU5,222,hydro,-0.09867710751703385,0.5102352716797608,0.5006024979144542,-1.570960234016285,1.061509183118824,-0.09867710751703385,0.0
252,HH,train,ATU5,222,history,0.14598666769012797,1.1881736320837457,1.1791710956582222,-2.13685602879327,1.9719865176653428,0.14598666769012797,0.0
252,HH,train,MJ3,222,intercept,-0.9097070112969337,0.9097070112969337,1.1102230246251565e-16,-0.9097070112969335,-0.9097070112969335,-0.9097070112969337,0.0
252,HH,train,MJ3,222,hydro,0.4353362363401582,1.0838510084928235,0.992580157941965,-1.6340929410072642,2.8674018974155833,0.4353362363401582,0.0
252,HH,train,MJ3,222,history,0.03623182074678786,4.124598877466186,4.124439738335462,-5.234754809397966,7.107582355023682,0.03623182074678786,0.0
252,HH,train,MJ1,222,intercept,-3.21497820577975,3.21497820577975,4.440892098500626e-16,-3.2149782057797505,-3.2149782057797505,-3.21497820577975,0.0
252,HH,train,MJ1,222,hydro,0.7150240477792422,1.7862517661833712,1.6368982812901363,-2.8235687057362884,3.916604078375589,0.7150240477792422,0.0
252,HH,train,MJ1,222,history,-0.18053776307907876,5.139827622218855,5.136655926011235,-6.624372371614285,8.743344108176725,-0.18053776307907876,0.0
