origin,reference,feature,reference_start,reference_end_exclusive,days,reference_min_z,reference_max_z,forward_min_z,forward_max_z,forward_mean_z,below_days,above_days,outside_fraction,max_excess_z
252,scaler_prefix,rain_mm,0,252,90,-0.41171915654486735,5.15336177517177,-0.41171915654486735,6.865075587559487,-0.07889767572360966,0,1,0.011111111111111112,1.7117138123877176
252,scaler_prefix,rwl_m,0,252,90,-1.7712573617512264,1.1189348075044818,-1.6397491348150832,0.26712015575900555,-0.4046787732225359,0,0,0.0,0.0
252,scaler_prefix,rwl_daily_change_m,0,252,90,-1.24392857142855,2.016071428571441,-4.2139285714285775,2.6360714285714457,-0.26781746031746034,1,1,0.022222222222222223,2.9700000000000273
252,scaler_prefix,rain_head_O3,0,252,90,-1.4569208750151093,2.5655044052431895,-0.7390710611507283,0.2965760356300676,-0.33234189252023427,0,0,0.0,0.0
252,scaler_prefix,rain_head_O2,0,252,90,-1.642440322458031,2.1070558364832395,-0.4051936911522587,0.37991770468183533,-0.09794831148707757,0,0,0.0,0.0
252,scaler_prefix,rain_head_O1_up,0,252,90,-0.4532582918539582,5.732448475433909,-0.4532582692305325,4.118467945841407,-0.07177814988370779,0,0,0.0,0.0
252,scaler_prefix,rain_head_O1_down,0,252,90,-0.4332089108603773,5.588755604785241,-0.433208910859832,5.234242073964233,-0.06828703039691054,0,0,0.0,0.0
252,scaler_prefix,moisture_O3,0,252,90,-0.8721109332684298,2.8935469588824727,-0.8717601293348965,2.907871432267267,0.08002861255172189,0,1,0.011111111111111112,0.014324473384794256
252,scaler_prefix,moisture_O2,0,252,90,-3.955615203228088,0.9684583872149772,-0.23514485714884806,0.9523496859041196,0.4021330249591043,0,0,0.0,0.0
252,scaler_prefix,moisture_O1_up,0,252,90,-4.0012782517181815,0.9309499543260217,-0.2092258340178675,0.9157175762313126,0.39550573664093774,0,0,0.0,0.0
252,scaler_prefix,moisture_O1_down,0,252,90,-4.0012782517181815,0.9309499543260217,-0.2092258340178675,0.9157175762313126,0.39550573664093774,0,0,0.0,0.0
252,scaler_prefix,reservoir_head,0,252,90,-1.7124715121923846,1.1033821591714992,-1.5341791986751478,0.2711652988369956,-0.33759576401467484,0,0,0.0,0.0
252,scaler_prefix,history30_rain_mm,0,252,90,-0.7886302472272805,6.400076615153776,-0.6691343162915944,0.33008923873485424,-0.2431016397902299,0,0,0.0,0.0
252,scaler_prefix,history30_rwl_m,0,252,90,-1.601663979461015,1.1442652069456731,-0.9810523919401508,0.43624634097698295,-0.05852140460253403,0,0,0.0,0.0
252,scaler_prefix,history30_rwl_daily_change_m,0,252,90,-0.5327167862674952,0.9496165470658448,-0.5117167862674954,-0.13205011960082821,-0.24938345293416156,0,0,0.0,0.0
252,scaler_prefix,history30_rain_head_O3,0,252,90,-1.445697716937884,2.2429967491492597,-0.6119016873958528,0.09018879040618823,-0.36271371851202255,0,0,0.0,0.0
252,scaler_prefix,history30_rain_head_O2,0,252,90,-1.53313523768586,1.8633981215354785,-0.2159890255373223,0.2596280973428637,-0.05191093994872031,0,0,0.0,0.0
252,scaler_prefix,history30_rain_head_O1_up,0,252,90,-0.778865875266824,3.0978752386897046,-0.6190196751777165,0.4748957150514947,-0.14469360596339648,0,0,0.0,0.0
252,scaler_prefix,history30_rain_head_O1_down,0,252,90,-0.7784706803770656,3.098688452223537,-0.6197944247873166,0.4847911464585984,-0.1442905034729722,0,0,0.0,0.0
252,scaler_prefix,history30_moisture_O3,0,252,90,-1.2909542733101185,2.894243990257062,-0.7594723442770069,1.0434696242740773,0.10711584333099429,0,0,0.0,0.0
252,scaler_prefix,history30_moisture_O2,0,252,90,-3.3265701969797683,0.9806133641363429,0.2349318898657147,0.8277769396174285,0.5388755196826948,0,0,0.0,0.0
252,scaler_prefix,history30_moisture_O1_up,0,252,90,-3.3384736607420846,0.9452815948707534,0.2456449465753934,0.8024199986393037,0.5311381230233253,0,0,0.0,0.0
252,scaler_prefix,history30_moisture_O1_down,0,252,90,-3.3384736607420846,0.9452815948707534,0.2456449465753934,0.8024199986393037,0.5311381230233253,0,0,0.0,0.0
252,scaler_prefix,history30_reservoir_head,0,252,90,-1.5565679450728007,1.1515394605397458,-0.8564968661072117,0.47362062157419826,-0.0007456880843562392,0,0,0.0,0.0
252,scaler_prefix,s_O3,0,252,90,-0.38949991086883856,0.3465396738866498,-0.016540870392755813,0.08608947358508728,0.02031642515973561,0,0,0.0,0.0
252,scaler_prefix,s_O2,0,252,90,-1.150119153353877e-11,1.2344622678570192e-11,1.2202514131418172e-11,1.3652021312368777e-11,1.2600418063443828e-11,0,46,0.5111111111111111,1.3073986337985843e-12
252,scaler_prefix,s_O1_up,0,252,90,-0.47637110539778843,5.799535135685559,-0.47637084980565586,2.5727739094414197,-0.07672826881822753,0,0,0.0,0.0
252,scaler_prefix,s_O1_down,0,252,90,-4.099919172824547,0.8394348246153381,0.35472187796410426,1.161973906993302,0.43258713035047636,0,4,0.044444444444444446,0.3225390823779638
252,scaler_prefix,p_O3,0,252,90,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
252,scaler_prefix,p_O2,0,252,90,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
252,scaler_prefix,p_O1_up,0,252,90,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
252,scaler_prefix,p_O1_down,0,252,90,-5.094772400254992,0.3485356417425394,0.3485356417425394,1.8620219275285113,0.466251241748115,0,7,0.07777777777777778,1.5134862857859719
252,scaler_prefix,rb_O3,0,252,90,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
252,scaler_prefix,rb_O2,0,252,90,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
252,scaler_prefix,rb_O1_up,0,252,90,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
252,scaler_prefix,rb_O1_down,0,252,90,-5.167536229232686,0.4625997194328419,0.13789858327400692,1.7081500827883052,0.2997830511399719,0,7,0.07777777777777778,1.2455503633554632
252,scaler_prefix,rc_O3,0,252,90,-0.5222907140178554,4.4815976973323375,-0.4222807195531286,-0.38541289494945796,-0.4093828055812383,0,0,0.0,0.0
252,scaler_prefix,rc_O2,0,252,90,-4.376277428345937,0.8231455529992461,-1.4601003505009413,-0.3725882425473594,-0.8840145640332016,0,0,0.0,0.0
252,scaler_prefix,rc_O1_up,0,252,90,-0.9320325282938569,4.23379265739443,0.6874226977514353,2.166210466447538,1.3856776687418741,0,0,0.0,0.0
252,scaler_prefix,rc_O1_down,0,252,90,-0.2708484223212555,1.2273110202101338,0.19962173657908577,0.6351108885228433,0.4041094908522146,0,0,0.0,0.0
