origin,seed,point,metric,factor,effect,TiDE_KIN,TiDE_PHYS,TiDE_SPLIT,TiDE_BOUND
792,ensemble,average,mae,TiDE_SPLIT__minus__TiDE_KIN,25.910157866502484,21.406359819043001,13.518404122886677,47.316517685545485,23.757895680201354
792,ensemble,average,mae,TiDE_SPLIT__minus__TiDE_PHYS,33.798113562658806,21.406359819043001,13.518404122886677,47.316517685545485,23.757895680201354
792,ensemble,average,mae,TiDE_BOUND__minus__TiDE_KIN,2.3515358611583537,21.406359819043001,13.518404122886677,47.316517685545485,23.757895680201354
792,ensemble,average,mae,TiDE_BOUND__minus__TiDE_PHYS,10.239491557314677,21.406359819043001,13.518404122886677,47.316517685545485,23.757895680201354
792,ensemble,average,mae,TiDE_BOUND__minus__TiDE_SPLIT,-23.55862200534413,21.406359819043001,13.518404122886677,47.316517685545485,23.757895680201354
792,ensemble,average,rmse,TiDE_SPLIT__minus__TiDE_KIN,29.723727159459077,22.907124080471458,14.859012348808477,52.630851239930536,25.340337426480641
792,ensemble,average,rmse,TiDE_SPLIT__minus__TiDE_PHYS,37.771838891122059,22.907124080471458,14.859012348808477,52.630851239930536,25.340337426480641
792,ensemble,average,rmse,TiDE_BOUND__minus__TiDE_KIN,2.4332133460091825,22.907124080471458,14.859012348808477,52.630851239930536,25.340337426480641
792,ensemble,average,rmse,TiDE_BOUND__minus__TiDE_PHYS,10.481325077672164,22.907124080471458,14.859012348808477,52.630851239930536,25.340337426480641
792,ensemble,average,rmse,TiDE_BOUND__minus__TiDE_SPLIT,-27.290513813449895,22.907124080471458,14.859012348808477,52.630851239930536,25.340337426480641
792,ensemble,average,crps,TiDE_SPLIT__minus__TiDE_KIN,16.37304417180265,20.182304862861923,12.993438640635153,36.555349034664573,17.669114932482767
792,ensemble,average,crps,TiDE_SPLIT__minus__TiDE_PHYS,23.561910394029418,20.182304862861923,12.993438640635153,36.555349034664573,17.669114932482767
792,ensemble,average,crps,TiDE_BOUND__minus__TiDE_KIN,-2.5131899303791556,20.182304862861923,12.993438640635153,36.555349034664573,17.669114932482767
