prefix,kind,direction,step,ad,fd,plus,minus,absolute_error,allowed,passed,plus_branch_changes,minus_branch_changes
342,parameter,gradient,1e-05,0.04412812633117124,0.04412812634000534,0.01209043315757456,0.01208955059504776,8.834100118093602e-12,0.00044228126340005344,True,0,0
342,parameter,gradient,1e-06,0.04412812633117124,0.044128126311035465,0.012090035993203175,0.012089947736950553,2.0135774991825173e-11,0.00044228126331171243,True,0,0
342,parameter,random,1e-05,0.0008681128671432391,0.0008681128676156501,0.012090000546128653,0.0120899831838713,4.724109558401635e-13,9.681128676156501e-06,True,0,0
342,parameter,random,1e-06,0.0008681128671432391,0.0008681128723861398,0.01208999273307662,0.012089990996850875,5.2429006231966e-12,9.681128723861398e-06,True,0,0
342,early,day1,1e-06,0.006160464557443615,0.006160467691529448,20.615828653577147,20.61582864125621,3.134085832870448e-09,6.260467691529447e-05,True,0,0
612,parameter,gradient,1e-05,0.18138609246472653,0.181211562035391,0.03283720364785126,0.03283357941661055,0.0001745304293355454,0.0018148609246472654,True,0,1
612,parameter,gradient,1e-06,0.18138609246472653,0.18138609214277124,0.03283557114234609,0.0328352083701618,3.219552957567373e-10,0.0018148609246472654,True,0,0
612,parameter,random,1e-05,0.0025262299532402316,0.0025262298575939868,0.0328354150184177,0.032835364493820546,9.564624483052175e-11,2.6262299532402317e-05,True,0,0
612,parameter,random,1e-06,0.0025262299532402316,0.0025262296109163085,0.03283539228217714,0.03283538722971792,3.423239231144237e-10,2.6262299532402317e-05,True,0,0
612,early,day1,1e-06,0.004762845082187951,0.0047628478938577246,29.005450390265814,29.00545038074012,2.8116697737418095e-09,4.862847893857724e-05,True,0,0
