fit_days,strategy,seed,epoch,actual_anchor_change,actual_paired_change,linear_anchor_change,linear_paired_change,actual_both_decrease,actual_anchor_increases,actual_paired_increases
342,IN,0,1,-0.00028831581350970137,-0.0005165311231132008,-0.0002920273249563,-0.0005226484270257,True,False,False
342,IN,0,2,-0.0003113521177253997,-0.0005585209427250992,-0.0003000673350588,-0.000537250397164,True,False,False
342,IN,0,3,-0.00033881291312330003,-0.0006095147541552992,-0.0003262836574885,-0.0005855264185342,True,False,False
342,IN,0,4,-0.0003669334911940991,-0.0006641588858767034,-0.0003539527186951,-0.0006389052690431,True,False,False
342,IN,0,5,-0.0003953678443095014,-0.0007205728148686995,-0.00038236715263,-0.0006947581379362,True,False,False
342,IN,0,6,-0.00042347287294999987,-0.0007777818254761995,-0.0004108383028873,-0.0007520142185693,True,False,False
342,IN,0,7,-0.00045047098686659855,-0.0008344802431830001,-0.000438643605516,-0.0008095045838412,True,False,False
342,IN,0,8,-0.0004753244844513012,-0.0008890320453514983,-0.0004648499796499,-0.00086578422203,True,False,False
342,IN,0,9,-0.0004966720695558004,-0.0009393364730931018,-0.0004882383800042,-0.0009190065874436,True,False,False
342,IN,0,10,-0.0005129286562426984,-0.0009823537083008989,-0.0005073856578894,-0.0009664800800371,True,False,False
342,IN,0,11,-0.0005221972703306002,-0.001013860167660901,-0.0005205920330973,-0.0010043421824248,True,False,False
342,IN,0,12,-0.0005220760447325005,-0.0010296210050531988,-0.0005255783029941,-0.0010284780154091,True,False,False
342,IN,0,13,-0.0005101671972132004,-0.0010259076835934001,-0.0005198761750953,-0.0010349668521515,True,False,False
342,IN,0,14,-0.00048468977063259935,-0.0009996352573856011,-0.0005013860104094,-0.001020220778905,True,False,False
342,IN,0,15,-0.00044504350762400013,-0.0009490891006165986,-0.0004689536230338,-0.0009815927978038,True,False,False
342,IN,0,16,-0.0003928960657357001,-0.0008760841899739004,-0.0004232066856569,-0.0009192579378547,True,False,False
342,IN,0,17,-0.0003338717055297001,-0.0007877235446812,-0.0003681247715001,-0.0008382542846469,True,False,False
342,IN,0,18,-0.00027736668737069967,-0.0006959285130377999,-0.0003117582140609,-0.0007489242060728,True,False,False
342,IN,0,19,-0.0002333104260847001,-0.0006148373117721003,-0.0002640110263449,-0.00066509837408,True,False,False
342,IN,0,20,-0.00020863204566800003,-0.0005557729992650999,-0.0002329630461333,-0.0005992815709612,True,False,False
342,IN,0,21,-0.00020588580790790057,-0.0005232078045292006,-0.0002229511823671,-0.0005582325239229,True,False,False
342,IN,0,22,-0.00022237239024590003,-0.0005146314080383997,-0.0002333524629751,-0.0005420730450098,True,False,False
342,IN,0,23,-0.0002500819270840997,-0.0005217514135615001,-0.0002578880624726,-0.0005444985406044,True,False,False
342,IN,0,24,-0.0002780221320833002,-0.0005331675476196,-0.0002861963574914,-0.0005547814330936,True,False,False
342,IN,0,25,-0.00029587929879919955,-0.0005378054359212996,-0.0003073379538695,-0.0005612961016723,True,False,False
342,IN,0,26,-0.0002968796575223004,-0.0005275552995055999,-0.0003131448270313,-0.0005546848571976,True,False,False
342,IN,0,27,-0.00027893497248229976,-0.0004986635907963002,-0.0002999994787981,-0.0005297551741423,True,False,False
342,IN,0,28,-0.00024434049031630016,-0.00045190471706499976,-0.0002690059213094,-0.0004860536364912,True,False,False
342,IN,0,29,-0.0001984889586066998,-0.0003915815858116004,-0.0002249215401783,-0.0004271277340198,True,False,False
342,IN,0,30,-0.00014823861295280025,-0.0003239687504413998,-0.0001744755705842,-0.0003590005710424,True,False,False
342,IN,0,31,-0.00010049281597409969,-0.0002558366275295001,-0.0001247848431937,-0.0002885629535813,True,False,False
342,IN,0,32,-6.113502133059997e-05,-0.00019333761224769983,-8.21542533760033e-05,-0.0002223164842797,True,False,False
342,IN,0,33,-3.421906826130009e-05,-0.00014123809674360002,-5.118563505878793e-05,-0.0001655508207332,True,False,False
342,IN,0,34,-2.129522304830005e-05,-0.00010228900647210018,-3.4043532517987963e-05,-0.000121719654279,True,False,False
342,IN,0,35,-2.1161197481499913e-05,-7.66038122947e-05,-3.01094048627086e-05,-9.172938923335003e-05,True,False,False
342,IN,0,36,-3.051342492189999e-05,-6.154842319639994e-05,-3.650427965534269e-05,-7.3579213049364e-05,True,False,False
342,IN,0,37,-4.505369285470002e-05,-5.2818223592199925e-05,-4.912673144749854e-05,-6.317986690839953e-05,True,False,False
342,IN,0,38,-6.056396719320012e-05,-4.627616814260004e-05,-6.372126695439092e-05,-5.6072058469849955e-05,True,False,False
342,IN,0,39,-7.399618963090018e-05,-3.951899259959995e-05,-7.700533945518034e-05,-4.9123839429999026e-05,True,False,False
342,IN,0,40,-8.440356507549967e-05,-3.223585930470002e-05,-8.771417842851072e-05,-4.132109612078842e-05,True,False,False
342,IN,0,41,-9.240849340790003e-05,-2.5310749702800017e-05,-9.624128839536628e-05,-3.33316327866709e-05,True,False,False
342,IN,0,42,-9.808843134170029e-05,-1.9852571755900003e-05,-0.0001025782460197,-2.6522278172178015e-05,True,False,False
342,IN,0,43,-0.00010065111094909995,-1.642442757590005e-05,-0.0001058888617705,-2.1833637917836277e-05,True,False,False
342,IN,0,44,-9.942394720389991e-05,-1.4769057430699933e-05,-0.0001054107108533,-1.926098072358796e-05,True,False,False
342,IN,0,45,-9.439156824969999e-05,-1.4105045005800019e-05,-0.0001009781869093,-1.807909779803398e-05,True,False,False
342,IN,0,46,-8.629945278060009e-05,-1.3620105374200029e-05,-9.316032066888994e-05,-1.7368646654685467e-05,True,False,False
342,IN,0,47,-7.653603913129986e-05,-1.2878225318799989e-05,-8.319276353262304e-05,-1.651522725319781e-05,True,False,False
342,IN,0,48,-6.68552739202001e-05,-1.1956941277499987e-05,-7.27846102155793e-05,-1.543973288533352e-05,True,False,False
342,IN,0,49,-5.8811993135699956e-05,-1.1294489434499999e-05,-6.366111469621917e-05,-1.4502429096809072e-05,True,False,False
