outer_days,strategy,station,train_rmse_mm_minus_EQ,train_mae_mm_minus_EQ,train_crps_mm_minus_EQ,prediction_rmse_mm_minus_EQ,prediction_mae_mm_minus_EQ,prediction_crps_mm_minus_EQ,strict_mean_improvement_over_EQ
432,IN,ATU1,0.06797635418448711,0.09426048330048342,0.025943226177906453,0.1377264785040424,0.13887101347261677,0.09372335054568026,False
432,IN,ATU5,-0.12339534803197982,-0.09147571792610276,0.019258314229295692,0.27458995617115534,0.2750676598506061,0.1909037898043806,False
432,IN,MJ3,-0.14019961528678704,-0.12844803462899068,-0.00725158715170604,0.2825113700874695,0.31545606113568603,0.09100379484882737,False
432,IN,MJ1,-0.04551930179002728,-0.024257069568345946,-0.03002959732296162,-0.41511476204495956,-0.3488287660279692,-0.34894946975317254,True
432,OOF,ATU1,-3.673146063142353,-2.6105605472263527,0.04490579556780716,3.068354490951485,3.3214310847275996,2.489036182446611,False
432,OOF,ATU5,-3.4209085031582918,-2.8763478073532474,0.31161683740476853,6.874587196676146,6.467170360741989,5.252037598239852,False
432,OOF,MJ3,-3.0715323971145465,-2.5021832534171953,0.03492180654179666,-5.75760453640804,-5.5825263749743534,-2.619285093144139,True
432,OOF,MJ1,-3.6350879352595635,-3.1863382894142163,-1.5442330313865875,-6.35427844063846,-5.800964357947732,-5.465114013370375,True
612,IN,ATU1,-0.09518404588335949,-0.03468436587051338,0.028678150570176086,-0.19279496777484617,-0.10874483012321434,0.004538417754107016,True
612,IN,ATU5,0.06480271062939158,0.03233619611531502,0.05998338545212789,-0.2164954234099934,-0.21703805113311425,0.050896663595516145,False
612,IN,MJ3,0.03897340198894916,0.04786497603349127,0.061676195372666776,-0.08035919320185059,-0.024860212466649045,-0.15334850639189312,False
612,IN,MJ1,0.0681686296890458,0.011834237139041193,-0.08916847738877953,-0.2952391518522859,-0.19645072708757283,-0.15232868010518708,False
612,OOF,ATU1,-5.798013069370975,-4.6412414302200835,0.3304753688999629,-14.318016339465007,-9.726334059053759,-3.6519639576771645,True
612,OOF,ATU5,-5.490563413210089,-3.7143808218214325,1.4336515991882592,-11.888527308418173,-6.731760597556426,0.5486579355454992,True
612,OOF,MJ3,-5.983576421311036,-4.791393660551234,-2.5018206686840307,0.013116670993774449,2.7534127058473317,4.148558663314859,False
612,OOF,MJ1,-5.958676311649913,-4.81664422706214,-2.4943755993707666,-0.6453687787628866,-0.770673458849993,-0.19995484814990228,True
