outer_days,strategy,part,station,days,rmse_mm,mae_mm,crps_mm,coverage_80,width_80_mm,interval_score_80_mm,coverage_90,width_90_mm,interval_score_90_mm,coverage_95,width_95_mm,interval_score_95_mm
432,P0,train,ATU1,402,9.663759325541799,7.424712228000846,9.876802056175642,1.0,97.89694309558229,97.89694309558229,1.0,125.64936665749913,125.64936665749913,1.0,149.72045475197956,149.72045475197956
432,P0,train,ATU5,402,4.005363489196314,2.893415141871011,12.37086946393099,1.0,134.3449837170556,134.3449837170556,1.0,172.42992052549423,172.42992052549423,1.0,205.46292274035827,205.46292274035827
432,P0,train,MJ3,402,6.545388968296211,5.642903753780936,6.172962837778656,1.0,59.75862724224088,59.75862724224088,1.0,76.69936800762032,76.69936800762032,1.0,91.39293386645171,91.39293386645171
432,P0,train,MJ1,402,8.277645765670897,6.927245936145315,5.3145446776883505,0.3781094527363184,10.537824789370815,38.569799138466614,0.48507462686567165,13.52515174492545,52.60468290791045,0.5895522388059702,16.116212311357582,70.3668259468702
432,P0,prediction,ATU1,180,55.386000418770955,54.513970896972424,36.03956067232512,0.16666666666666666,97.8969430955823,168.29153845489765,0.9444444444444444,125.6493666574992,140.75374258175128,0.9666666666666667,149.72045475197956,159.11091435770655
432,P0,prediction,ATU5,180,140.06419011407704,134.6063919201048,106.70341561410947,0.06666666666666667,134.34498371705558,831.0425103555029,0.13333333333333333,172.42992052549423,1223.9961002212544,0.17222222222222222,205.4629227403582,1748.5565414047974
432,P0,prediction,MJ3,180,14.720515018928182,12.545990697413949,8.931087249357883,1.0,59.75862724224062,59.75862724224062,1.0,76.69936800761951,76.69936800761951,1.0,91.39293386645186,91.39293386645186
432,P0,prediction,MJ1,180,21.877992443612733,18.144087691792183,16.371228819011314,0.23333333333333334,10.537824789370836,148.55283286270986,0.25555555555555554,13.52515174492547,266.9179650094598,0.2722222222222222,16.116212311357604,484.6858662505409
432,IN,train,ATU1,402,1.6797734527782249,1.2536042928629585,9.131261742415361,1.0,99.86172964464377,99.86172964464377,1.0,128.2170600196703,128.2170600196703,1.0,152.83770043938716,152.83770043938716
432,IN,train,ATU5,402,1.3526410280320633,1.0505268426965908,13.014755045297377,1.0,142.67823046653652,142.67823046653652,1.0,183.255742896265,183.255742896265,1.0,218.5280433520773,218.5280433520773
432,IN,train,MJ3,402,1.4427372560209633,1.1788780529692677,5.689234011493354,1.0,62.09594785315084,62.09594785315084,1.0,79.81609397277944,79.81609397277944,1.0,95.25389687408396,95.25389687408396
432,IN,train,MJ1,402,1.2208041139256713,0.9916978725477431,1.203112871956275,0.9975124378109452,11.847396401501472,11.856959425351238,1.0,15.400044191423863,15.400044191423863,1.0,18.55587211852049,18.55587211852049
432,IN,prediction,ATU1,180,62.6651943192789,61.782313534139654,42.08007317804717,0.044444444444444446,100.04097507880167,227.89707049689767,0.4666666666666667,128.44872722081104,159.99320393144743,0.9611111111111111,153.1155877066651,169.07327412965637
432,IN,prediction,ATU5,180,148.1371458353939,142.78286173087378,112.91869845845946,0.06666666666666667,142.8574432557743,878.3851847401936,0.12777777777777777,183.4895802876657,1285.527863739213,0.16111111111111112,218.81097501297975,1822.3837727780467
432,IN,prediction,MJ3,180,9.560258259963412,8.033929378224466,7.181234289757715,1.0,62.84655896002936,62.84655896002936,1.0,80.79072154466354,80.79072154466354,1.0,96.42327713887673,96.42327713887673
432,IN,prediction,MJ1,180,15.482247731862106,11.860142826341866,9.998519695022877,0.39444444444444443,12.911406895326822,82.87233026462832,0.5166666666666667,16.667680835790033,134.04527043081004,0.5222222222222223,19.949569968096707,219.92279392433554
432,OOF,train,ATU1,402,5.549498471715914,4.143479198588448,8.934006899004865,1.0,94.39333072463786,94.39333072463786,1.0,121.23454895362143,121.23454895362143,1.0,144.56580078928562,144.56580078928562
432,OOF,train,ATU5,402,4.622724267016677,3.801309026992728,11.656682545444626,1.0,126.04003058997968,126.04003058997968,1.0,161.92198343192274,161.92198343192274,1.0,193.13256060020592,193.13256060020592
432,OOF,train,MJ3,402,4.38488397157686,3.511160785966381,5.008185588022794,1.0,51.22472623858342,51.22472623858342,1.0,66.57686963455328,66.57686963455328,1.0,80.32494971520013,80.32494971520013
432,OOF,train,MJ1,402,4.9036901004543,4.152022375370623,2.865292591033458,0.8855721393034826,16.226450414647097,17.816628003894518,0.9800995024875622,20.943689811288923,21.059537729734565,1.0,25.105295854718133,25.105295854718133
432,OOF,prediction,ATU1,180,60.17899632993649,59.16091352297154,40.370450064929145,0.044444444444444446,94.95963952043154,219.88565399312347,0.7611111111111111,121.96092536263102,178.65456571090513,0.9166666666666666,145.42855590528035,178.72574510096675
432,OOF,prediction,ATU5,180,140.3664888666188,135.71942794245447,109.12679627451274,0.06111111111111111,126.18726100550812,869.5419381967461,0.08888888888888889,162.10588356649228,1313.030410661918,0.1388888888888889,193.34480187591754,1941.6190147614093
432,OOF,prediction,MJ3,180,16.926219008015106,15.173987708685608,9.877694145000007,0.8611111111111112,51.41542054533027,53.9015303324761,1.0,66.80314389012064,66.80314389012064,1.0,80.56963831218664,80.56963831218664
432,OOF,prediction,MJ1,180,21.139727525598747,17.213622921587053,14.863778538663516,0.28888888888888886,15.738384063714845,128.29059819730085,0.3111111111111111,20.470422442991403,213.54814743438834,0.34444444444444444,24.707621910427296,356.6953685952409
612,P0,train,ATU1,582,8.205017090481682,6.205121246043955,13.425116522208764,1.0,141.96003093320132,141.96003093320132,1.0,182.2037273819287,182.2037273819287,1.0,217.10913195809985,217.10913195809985
