fit_days,strategy,seed,initial_loss,initial_anchor_loss,initial_paired_loss,final_loss,final_anchor_loss,final_paired_loss,final_balanced_loss,final_anchor_weight,final_paired_weight,final_anchor_norm,final_paired_norm,final_gradient_norm,final_gradient_dot,final_raw_anchor_slope,final_raw_paired_slope
342,IN,0,0.01800820474584853,0.013358833040878811,0.022657576450818246,0.00037541917713912216,0.0005994401312042371,0.0001513982230740073,0.00025063095052339296,0.22148090535437645,0.7785190946456235,0.004970281590827669,0.00141399546160623,0.0009635776236399456,-4.335566301619575e-06,-2.096076488611974e-06,-5.96312822103768e-07
342,IN,1,0.01800820474584853,0.013358833040878811,0.022657576450818246,0.00041177886294464013,0.0006849241662210444,0.0001386335596682359,0.0004187795533965744,0.5128149566695095,0.48718504333049056,0.004267113641370988,0.004491598679106216,0.0018586485680140222,-1.2252471445239315e-05,-3.368246630145503e-06,-3.545443919793228e-06
342,IN,2,0.01800820474584853,0.013358833040878811,0.022657576450818246,0.0004460865811697957,0.0006376067623855471,0.0002545663999540443,0.00036151122902612523,0.2791998952622266,0.7208001047377735,0.007276599366506704,0.0028185703187889525,0.0019487729421681984,-1.1074161848085494e-05,-6.801069850975503e-06,-2.6343752970932933e-06
342,OOF,0,0.02340461017144556,0.013358833040878811,0.0334503873020123,0.00023638904687623658,0.00029218145311845674,0.00018059664063401642,0.00026359215350673537,0.74378861266888,0.25621138733112,0.0012480330732599727,0.0036230738914240436,0.0012865301762978712,-1.7899427394944847e-07,-1.1126547693342251e-06,-3.2300670000782438e-06
342,OOF,1,0.02340461017144556,0.013358833040878811,0.0334503873020123,0.00017472691605235262,0.00021517200056914292,0.00013428183153556231,0.00019534867945395285,0.7549353481142975,0.24506465188570242,0.0011412707969177427,0.0035157484350930358,0.001015618682905295,-1.224753766309055e-06,-6.831587046776617e-07,-2.1045085472942187e-06
342,OOF,2,0.02340461017144556,0.013358833040878811,0.0334503873020123,0.001010508999070386,0.00027197181812004526,0.0017490461800207264,0.0003261985359574145,0.9632877536594765,0.036712246340523454,0.0022606237635920327,0.05931620655683232,0.002366831179299473,-5.488936686934661e-05,-2.907692851914118e-06,-7.629456638724795e-05
432,IN,0,0.0065883886598551615,0.005981883076662482,0.007194894243047841,0.00015388952515191996,0.00016413002265811558,0.00014364902764572434,0.00015183978444042643,0.39991986667379203,0.6000801333262079,0.002047883283687968,0.0013647997397220467,0.0008180809118945192,-1.4005733001641619e-06,-8.367380995254099e-07,-5.576391728688971e-07
432,IN,1,0.0065883886598551615,0.005981883076662482,0.007194894243047841,0.00018193174229915192,0.00023195330409087064,0.0001319101805074332,0.00017439620153476964,0.42467707430088864,0.5753229256991114,0.0018115951374098084,0.0013372366864018784,0.0006373641042346233,-1.591199074906448e-06,-4.782845907511634e-07,-3.5304781299403653e-07
432,IN,2,0.0065883886598551615,0.005981883076662482,0.007194894243047841,0.00018349172749432328,0.00023338551043936565,0.0001335979445492809,0.00018343205966398266,0.4994020514499138,0.5005979485500862,0.00300671485347614,0.0029995320002808123,0.0008707204189816207,-7.5024271540769965e-06,-7.590618078463842e-07,-7.572484567979344e-07
432,OOF,0,0.12182083997927559,0.005981883076662482,0.2376597968818887,0.032948610348597855,0.00019788768157851246,0.0656993330156172,0.000300697681865807,0.9984304163097013,0.0015695836902986319,0.0007982600916728987,0.5077825162038684,0.000950110749264443,-0.00011732680127039809,-4.5206477142610965e-07,-0.000287563651892971
432,OOF,1,0.12182083997927559,0.005981883076662482,0.2376597968818887,0.03204186652100371,0.00014646401072804975,0.06393726903127936,0.0002940934739331127,0.9976857250326674,0.0023142749673326986,0.001119855053340804,0.4827703780210311,0.0009627605795781796,-0.00033990950157786507,-4.6452901466509516e-07,-0.00020025881683757176
432,OOF,2,0.12182083997927559,0.005981883076662482,0.2376597968818887,0.03125273403144147,0.00020604881537340304,0.062299419247509535,0.0005553186662710579,0.9943750862859122,0.005624913714087775,0.00314789772456269,0.5564869490604964,0.004115750502543751,-0.00023749865109141868,-8.51761193176081e-06,-0.0015057477376731903
612,IN,0,0.005428665798644937,0.005249556016899529,0.005607775580390344,0.00030468918074205513,0.0003517186820156178,0.0002576596794684925,0.0002976765924938971,0.42544479466870183,0.5745552053312982,0.0015640485920869827,0.001158141682362147,0.0006744274750827595,-8.809987937898396e-07,-5.345610345294087e-07,-3.958300394165175e-07
612,IN,1,0.005428665798644937,0.005249556016899529,0.005607775580390344,0.0002533515746343237,0.0003107641203522899,0.00019593902891635744,0.00024835997520422783,0.45652867010446996,0.5434713298955299,0.0014647816854809956,0.0012304509880853663,0.0007319773338786101,-7.225986287438815e-07,-5.86809605177075e-07,-4.929338383084824e-07
612,IN,2,0.005428665798644937,0.005249556016899529,0.005607775580390344,0.00023461425583065642,0.00031386780185407436,0.0001553607098072385,0.00023484286847921676,0.5014422865602303,0.49855771343976985,0.002250308374605246,0.002263328289602344,0.0016380559084434915,2.733123671613251e-07,-2.675509456524802e-06,-2.6909895152096465e-06
612,OOF,0,0.33706618920008136,0.005249556016899529,0.6688828223832632,0.1532607109553382,0.0002613215346287684,0.3062601003760476,0.0004255190440527629,0.9994634046905491,0.0005365953094508538,0.0006559214591227863,1.2217205092891252,0.0007474611580396738,-0.0002804777224471392,-2.794990692785759e-07,-0.0005205954775767389
612,OOF,1,0.33706618920008136,0.005249556016899529,0.6688828223832632,0.17706133007373748,0.0002278713862012963,0.35389478876127367,0.0005470039646561697,0.9990976465064262,0.000902353493573801,0.0009142746636627682,1.0122969226928775,0.0010114490463615333,-0.0003581382648283074,-5.119765705398821e-07,-0.0005668671871230386
