x_m,z_m
0,705
100,670
200,625
300,600
400,560
500,530
600,492
700,458
800,429
900,400
920,392
1000,374
1100,351
1200,326
1230,304
1250,297
1350,263
1500,225
1650,207
1750,180
1850,150
1950,121
2040,99
2070,93
2100,74
2200,36
