model,horizon,n_per_point,mae,rmse,crps,coverage80,width80,interval_score80,coverage90,width90,interval_score90,coverage95,width95,interval_score95,pooled_rmse
B_ANCHOR,19,162,6.2975327361,7.46913797106,5.08786109902,0.844135802469,29.0195081001,37.2207431646,0.899691358025,37.2461354144,47.2435136492,0.925925925926,44.3815077399,56.617310038,8.1120236945
B_ANCHOR,20,161,6.61471802557,7.82435723577,5.35974778637,0.840062111801,30.6427610495,39.3470775932,0.899068322981,39.3295580195,49.8916543894,0.923913043478,46.8640588943,59.6432837563,8.5155161581
B_ANCHOR,21,160,6.93819913419,8.17851820896,5.63593795748,0.8375,32.3158581658,41.522983507,0.89375,41.4769549203,52.6368689642,0.91875,49.4228401239,62.7729613122,8.91942141082
B_ANCHOR,22,159,7.2617323956,8.53142629708,5.91550688589,0.836477987421,34.0252020447,43.7343767716,0.889937106918,43.6708740372,55.4472670325,0.919811320755,52.0370559932,66.0413772094,9.32353595976
B_ANCHOR,23,158,7.58542929514,8.88251985405,6.19734978559,0.832278481013,35.7572495739,45.9632463456,0.89082278481,45.8939329737,58.2849656177,0.920886075949,54.6859940991,69.3948802095,9.7272409605
B_ANCHOR,24,157,7.90762038824,9.23072101156,6.4806272749,0.826433121019,37.5029201964,48.1905202765,0.888535031847,48.1344769613,61.113607062,0.920382165605,57.3557669284,72.7581502621,10.1293645503
B_ANCHOR,25,156,8.22737379543,9.57535081118,6.76486974828,0.825320512821,39.2583090345,50.4209340308,0.887820512821,50.3874941434,63.9190624673,0.919871794872,60.0404024858,76.0915440932,10.5292232802
B_ANCHOR,26,155,8.54568444983,9.91580287936,7.04973123745,0.824193548387,41.0211764304,52.6555090984,0.887096774194,52.6501099506,66.7180864374,0.91935483871,62.7364755103,79.3438670851,10.9262592763
B_ANCHOR,27,154,8.8621405792,10.251687062,7.33496599882,0.821428571429,42.7895795369,54.9009768408,0.886363636364,54.9198307656,69.5128575762,0.917207792208,65.4410146738,82.5070319508,11.3201991685
B_ANCHOR,28,153,9.17627469012,10.5824170917,7.62025485821,0.812091503268,44.5627332268,57.1568857475,0.887254901961,57.1956488882,72.3096779644,0.910130718954,68.1528192275,85.6659205385,11.7105174437
B_ANCHOR,29,152,9.48699432035,10.9082803923,7.90569690344,0.810855263158,46.34064962,59.4514909422,0.886513157895,59.4775798743,75.1013972529,0.911184210526,70.8719077073,88.7745066929,12.0976587201
B_ANCHOR,30,151,9.79527897382,11.2294756556,8.19134136524,0.806291390728,48.1207427819,61.7652572368,0.884105960265,61.7623047129,77.8828908569,0.908940397351,73.5943252676,91.8614905854,12.4819398232
B_TREND14,1,180,0.228459870388,0.331691764794,0.196729973569,0.8875,1.20878181908,1.52980653748,0.926388888889,1.55145466851,1.9528988802,0.954166666667,1.84867226123,2.38929492233,0.349703530157
B_TREND14,2,179,0.458719086409,0.665475008383,0.398294212858,0.881284916201,2.4517766566,3.11867219748,0.927374301676,3.1468212708,3.99726353588,0.95530726257,3.74966881886,4.93285679362,0.69954311186
B_TREND14,3,178,0.691812675531,0.997853985428,0.602590015313,0.875,3.7218278869,4.73995966737,0.924157303371,4.77691437727,6.09749974009,0.952247191011,5.69204455841,7.59719858282,1.04621128575
B_TREND14,4,177,0.926522744052,1.32717168543,0.808186563619,0.868644067797,5.0134829207,6.37820672238,0.920903954802,6.43473566533,8.20908699906,0.949152542373,7.66746046423,10.3079216616,1.3886252617
B_TREND14,5,176,1.15735924609,1.65276634052,1.01385279311,0.877840909091,6.32185128676,8.02104554969,0.917613636364,8.11400828312,10.3720287934,0.948863636364,9.66843720595,13.03800147,1.72670400289
B_TREND14,6,175,1.38270178934,1.97356417314,1.21789388553,0.877142857143,7.63992870016,9.70495777611,0.92,9.80574232826,12.5948252098,0.947142857143,11.6842626542,15.8081226351,2.05953543034
B_TREND14,7,174,1.60040708737,2.28749768985,1.41924977561,0.877873563218,8.9592389103,11.3627749105,0.918103448276,11.4990586509,14.7967754168,0.943965517241,13.7019735024,18.5140247809,2.38496285453
B_TREND14,8,173,1.81399557156,2.59262030797,1.61734143238,0.877167630058,10.2707139346,13.0029393124,0.913294797688,13.1823186213,16.9200839123,0.942196531792,15.7077014679,21.2199502848,2.70094452425
B_TREND14,9,172,2.02216143812,2.88870270476,1.81205883981,0.883720930233,11.569951409,14.6159306276,0.912790697674,14.8498718665,19.0021174728,0.938953488372,17.6947137159,23.8779837733,3.00746407877
B_TREND14,10,171,2.23112972316,3.17832246228,2.00438681293,0.87865497076,12.856302368,16.190535045,0.916666666667,16.5008854483,21.0401444505,0.937134502924,19.6620177393,26.4651072531,3.30769842155
B_TREND14,11,170,2.44117646724,3.46618484132,2.1971009965,0.876470588235,14.1353442,17.7394805615,0.920588235294,18.1425178672,23.0259901647,0.941176470588,21.6181434177,28.9976324307,3.60720444022
B_TREND14,12,169,2.66460693448,3.75740318837,2.39437310512,0.87573964497,15.4154488832,19.2875333655,0.917159763314,19.7855144407,24.9804396958,0.942307692308,23.5758945866,31.5523902637,3.91176161249
B_TREND14,13,168,2.89589392295,4.0553891346,2.59859850054,0.86755952381,16.7071365198,20.84141119,0.912202380952,21.443377574,27.0047582222,0.938988095238,25.5513603541,34.0923386822,4.22488170293
B_TREND14,14,167,3.13806451111,4.36374365715,2.81104723702,0.872754491018,18.0228354051,22.4540550419,0.916167664671,23.1320588114,29.1720124725,0.935628742515,27.5635481576,36.7330159973,4.55017005525
B_TREND14,15,166,3.39448550071,4.68355256877,3.03157932434,0.865963855422,19.374603171,24.1496945383,0.91265060241,24.8670339559,31.4522178975,0.933734939759,29.6308985537,39.4904797337,4.88858901962
B_TREND14,16,165,3.66488559616,5.01507249268,3.26044595065,0.872727272727,20.7633057161,25.9771926885,0.907575757576,26.6494143762,33.8167520117,0.928787878788,31.75473582,42.4646185421,5.2404555127
B_TREND14,17,164,3.9456111029,5.36023398145,3.49859906858,0.870426829268,22.1993140374,27.9004641994,0.90243902439,28.4925111029,36.3094567293,0.923780487805,33.9509210278,45.5783592907,5.6079955896
B_TREND14,18,163,4.23603745335,5.71964563239,3.7457469639,0.865030674847,23.6892700786,29.8810180935,0.897239263804,30.4048489786,38.905957844,0.924846625767,36.2296121533,48.9895775719,5.9919813908
B_TREND14,19,162,4.5344818884,6.09039875182,4.00070965988,0.861111111111,25.2370754072,31.8950104016,0.899691358025,32.3914356108,41.6037024116,0.922839506173,38.5967761292,52.6586587027,6.38923187429
B_TREND14,20,161,4.84114955196,6.46901928045,4.2628029694,0.858695652174,26.847044597,33.9478031364,0.900621118012,34.457808695,44.4103671073,0.917701863354,41.0590115265,56.4254978262,6.79585612115
B_TREND14,21,160,5.1550154167,6.85414645252,4.53243341372,0.8578125,28.5244229818,36.0629574805,0.903125,36.6107005443,47.3224456468,0.9171875,43.6243403911,60.2816129163,7.21007906621
B_TREND14,22,159,5.4744581106,7.24704627301,4.80975735068,0.856918238994,30.2610490633,38.2262530364,0.90251572327,38.8396359892,50.3001530391,0.913522012579,46.2802807886,64.1476816549,7.6326519852
B_TREND14,23,158,5.80456925577,7.64683258274,5.09364611166,0.857594936709,32.0489359655,40.4235211571,0.903481012658,41.1343639851,53.314194038,0.912974683544,49.0146178461,67.9367084118,8.06230135149
B_TREND14,24,157,6.14671171825,8.05082492018,5.3824920918,0.856687898089,33.8790355661,42.6439804474,0.90127388535,43.4832713928,56.3418453395,0.90923566879,51.8135136546,71.696080435,8.49594547848
B_TREND14,25,156,6.49404086346,8.45650126857,5.67501513713,0.857371794872,35.7460181144,44.8758323511,0.900641025641,45.8795175515,59.3205699973,0.907051282051,54.6688170641,75.2793259524,8.9306514284
B_TREND14,26,155,6.84517918767,8.86209668239,5.97046317803,0.858064516129,37.6468227125,47.1474978866,0.898387096774,48.3191738411,62.267723006,0.906451612903,57.5758468349,78.7562856649,9.36437066913
B_TREND14,27,154,7.19952670737,9.26761496603,6.26900426373,0.858766233766,39.5779673404,49.4479464464,0.897727272727,50.7977711373,65.1678481212,0.912337662338,60.5292776772,82.1323514592,9.79704225659
B_TREND14,28,153,7.56064903644,9.67460320666,6.57203124757,0.856209150327,41.5317585224,51.7895545421,0.897058823529,53.3054349711,68.0522316614,0.911764705882,63.5173434352,85.5352779684,10.230447355
B_TREND14,29,152,7.93306239964,10.0828271107,6.87935791949,0.847039473684,43.5064793256,54.1815227394,0.896381578947,55.8399616828,70.9368482556,0.911184210526,66.5374182864,88.9017318766,10.6645587393
B_TREND14,30,151,8.31430517571,10.4919827994,7.1909728345,0.841059602649,45.5003694457,56.6545158469,0.894039735099,58.3990919465,73.8920714062,0.91059602649,69.5868100781,92.1793561864,11.0991438029
PERSIST,1,180,0.248596861436,0.297976518365,0.218636910187,1,1.68969353894,1.68969353894,1,2.16869817859,2.16869817859,1,2.58416326761,2.58416326761,0.345090763915
PERSIST,2,179,0.49856554931,0.596979898479,0.440087313898,1,3.4091875131,3.4091875131,1,4.37564480169,4.37564480169,1,5.21390236793,5.21390236793,0.691591547952
PERSIST,3,178,0.749900448551,0.896981814983,0.664277608168,1,5.1578935937,5.1578935937,1,6.62008475751,6.62008475751,1,7.88831752973,7.88831752973,1.03944241898
PERSIST,4,177,1.00259497706,1.19795193334,0.891131086031,1,6.93518338571,6.93518338571,1,8.90121150975,8.90121150975,1,10.6064477058,10.6064477058,1.38858339585
PERSIST,5,176,1.25664179204,1.4998581315,1.12056804728,1,8.74039359093,8.74039359093,1,11.2181737244,11.2181737244,1,13.3672784689,13.3672784689,1.73895471433
PERSIST,6,175,1.51203817392,1.80266673781,1.35250592097,1,10.5728314863,10.5728314863,1,13.570082301,13.570082301,1,16.1697503908,16.1697503908,2.0904970812
PERSIST,7,174,1.76877037705,2.10634278338,1.58685941939,1,12.4317806448,12.4317806448,1,15.9560177154,15.9560177154,1,19.0127677907,19.0127677907,2.44315191759
PERSIST,8,173,2.02684536444,2.41085026652,1.823540738,1,14.3165068303,14.3165068303,1,18.3750375858,18.3750375858,1,21.8952077514,21.8952077514,2.79686159169
PERSIST,9,172,2.28623911721,2.71615242644,2.06245981262,1,16.2262640065,16.2262640065,1,20.826184385,20.826184385,1,24.8159293089,24.8159293089,3.15156964098
PERSIST,10,171,2.54697017008,3.02221202305,2.30352464225,1,18.1603004101,18.1603004101,1,23.3084932353,23.3084932353,1,27.7737827406,27.7737827406,3.50722098374
