task,feature,feature_group,fold_count,mean_normalized_share,median_rank,rank_q25,rank_q75,rank_iqr,best_rank,worst_rank,top_k,top_k_folds,direction_valid_folds,direction_positive_folds,direction_negative_folds,direction_zero_folds,dominant_direction,direction_consistency,median_direction_spearman
classification,minT_lag1,raw_environment,5,0.0009582739961393205,35.0,33.0,44.0,11.0,29.0,67.5,10,0,4,3,1,0,positive,0.75,0.20056288834200445
classification,Rain_cum15_lag1,cumulative_rainfall,5,0.0007802676131755693,36.0,31.0,67.5,36.5,29.0,71.5,10,0,3,2,1,0,positive,0.6666666666666666,0.3107777286562124
classification,GWT_rate_lag5,environmental_rates,5,0.0016152556406305897,37.0,35.0,41.0,6.0,20.0,66.0,10,0,5,2,3,0,negative,0.6,-0.10448574758755053
classification,GWT_rate_lag3,environmental_rates,5,0.0005041406063910247,37.0,37.0,48.0,11.0,36.0,69.5,10,0,4,1,3,0,negative,0.75,-0.5423526163706913
classification,DP_lag4,raw_environment,5,0.0054927043788343295,38.0,14.0,49.0,35.0,12.0,67.5,10,0,4,3,1,0,positive,0.75,0.4931004270517143
classification,RWL_lag3,raw_environment,5,0.002465731594792899,39.0,33.0,57.0,24.0,15.0,68.0,10,0,4,3,1,0,positive,0.75,0.40630759175176845
classification,Rain_cum15_lag5,cumulative_rainfall,5,0.00569898430078258,40.0,36.0,54.0,18.0,5.0,68.0,10,1,4,4,0,0,positive,1.0,0.428611628434301
classification,RWL_lag1,raw_environment,5,0.0016334495931895478,40.0,39.0,44.0,5.0,17.0,68.0,10,0,4,3,1,0,positive,0.75,0.3627006942175134
classification,DP_lag1,raw_environment,5,0.004001320995802022,41.0,22.0,53.0,31.0,14.0,67.5,10,0,4,3,1,0,positive,0.75,0.4985451494123313
classification,RWL_lag2,raw_environment,5,0.00036182186092611427,41.0,35.0,43.0,8.0,32.0,79.0,10,0,4,3,1,0,positive,0.75,0.3515607980544333
classification,minT_lag2,raw_environment,5,0.00028974536299163355,42.0,38.0,69.5,31.5,38.0,71.5,10,0,3,1,2,0,negative,0.6666666666666666,-0.15984208631511526
classification,Rain_cum30_lag3,cumulative_rainfall,5,0.01465364828182067,43.0,33.0,50.0,17.0,5.0,68.0,10,1,4,4,0,0,positive,1.0,0.4166445008964371
classification,minT_lag4,raw_environment,5,0.0003146903583404381,43.0,34.0,43.0,9.0,34.0,56.0,10,0,5,3,2,0,positive,0.6,0.006578842110239395
classification,minT_lag3,raw_environment,5,0.00029209702613084245,44.0,39.0,67.5,28.5,34.0,71.5,10,0,3,1,2,0,negative,0.6666666666666666,-0.6278720681568484
classification,GWT_rate_lag4,environmental_rates,5,0.0018537676819881312,45.0,29.0,62.0,33.0,20.0,69.5,10,0,4,1,3,0,negative,0.75,-0.30046781692649277
classification,aveT_lag5,raw_environment,5,0.0003820775897937833,45.0,41.0,67.5,26.5,32.0,68.0,10,0,3,1,2,0,negative,0.6666666666666666,-0.4017997866260061
classification,aveT_lag2,raw_environment,5,9.316298049697113e-05,46.0,43.0,47.0,4.0,42.0,68.0,10,0,4,2,2,0,mixed,0.5,0.04327407933242616
classification,aveT_lag3,raw_environment,5,6.510182683350933e-05,46.0,45.0,68.0,23.0,44.0,71.5,10,0,3,1,2,0,negative,0.6666666666666666,-0.23053913977744445
classification,RWL_rate_lag1,environmental_rates,5,0.00021145782966552705,48.0,38.0,67.5,29.5,36.0,68.0,10,0,3,1,2,0,negative,0.6666666666666666,-0.6782632058115728
classification,RWL_rate_lag5,environmental_rates,5,4.3698935606937737e-05,53.0,51.0,68.0,17.0,44.0,69.5,10,0,3,2,1,0,positive,0.6666666666666666,0.15377597998196416
classification,DP_lag3,raw_environment,5,0.002888476818968453,60.0,24.0,67.5,43.5,20.0,69.5,10,0,3,3,0,0,positive,1.0,0.5865936837025937
classification,RWL_rate_lag3,environmental_rates,5,0.00024237601436545762,63.0,42.0,67.5,25.5,32.0,68.0,10,0,3,2,1,0,positive,0.6666666666666666,0.79472317505873
classification,DP_lag2,raw_environment,5,0.0032609113566277846,67.5,26.0,69.0,43.0,17.0,69.5,10,0,3,2,1,0,positive,0.6666666666666666,0.42813316784756866
classification,maxT_lag5,raw_environment,5,0.0002010014885535937,67.5,51.0,68.0,17.0,37.0,69.5,10,0,2,1,1,0,mixed,0.5,-0.19899735698401907
classification,aveT_lag4,raw_environment,5,0.00015595399179285592,67.5,47.0,68.0,21.0,40.0,71.5,10,0,2,1,1,0,mixed,0.5,-0.09141364968330046
classification,Rainfall_lag2,raw_environment,5,8.31878460104319e-05,67.5,61.0,69.5,8.5,39.0,71.5,10,0,2,1,1,0,mixed,0.5,-0.23848355386127107
classification,Rainfall_lag3,raw_environment,5,7.141773349432021e-05,67.5,52.0,69.5,17.5,40.0,71.5,10,0,2,0,2,0,negative,1.0,-0.4688844386969292
classification,RH_lag1,raw_environment,5,3.4884001076923124e-05,67.5,50.0,69.5,19.5,47.0,71.5,10,0,2,0,2,0,negative,1.0,-0.08561715473541315
classification,Rainfall_lag1,raw_environment,5,3.170158347271395e-05,67.5,67.0,69.5,2.5,42.0,71.5,10,0,2,1,1,0,mixed,0.5,-0.3712480533737352
classification,maxT_lag4,raw_environment,5,2.9052362213354493e-05,67.5,54.0,68.0,14.0,50.0,71.5,10,0,2,0,2,0,negative,1.0,-0.12522200290954802
classification,RWL_rate_lag4,environmental_rates,5,7.488482305946779e-06,67.5,49.0,68.0,19.0,46.0,79.0,10,0,2,1,1,0,mixed,0.5,-0.11806806718813831
classification,station_ATU1,station_identity,5,0.01980401335784524,68.0,67.5,71.5,4.0,4.0,79.0,10,1,0,0,0,0,not_applicable,,
classification,Rain_cum15_lag4,cumulative_rainfall,5,0.002282896531434881,68.0,67.5,69.5,2.0,13.0,71.5,10,0,1,1,0,0,positive,1.0,0.5368341951266089
classification,Rain_cum15_lag2,cumulative_rainfall,5,0.0009159423167691014,68.0,67.5,69.5,2.0,24.0,71.5,10,0,1,1,0,0,positive,1.0,0.4929771607711737
classification,station_MJ1,station_identity,5,0.0005746630038741642,68.0,40.0,69.5,29.5,32.0,79.0,10,0,0,0,0,0,not_applicable,,
classification,Rain_cum15_lag3,cumulative_rainfall,5,0.0005155688955826813,68.0,67.5,69.5,2.0,30.0,71.5,10,0,1,1,0,0,positive,1.0,0.4608962220277857
classification,station_MJ3,station_identity,5,0.0001824722738248664,68.0,67.5,69.5,2.0,35.0,79.0,10,0,0,0,0,0,not_applicable,,
classification,aveT_lag1,raw_environment,5,0.00016417695753364402,68.0,67.5,69.5,2.0,39.0,71.5,10,0,1,1,0,0,positive,1.0,0.11965716238686469
classification,RH_lag2,raw_environment,5,5.0843907034962764e-05,68.0,67.5,69.5,2.0,47.0,71.5,10,0,1,1,0,0,positive,1.0,0.11816425916784382
classification,maxT_lag2,raw_environment,5,3.535185301287688e-05,68.0,67.5,69.5,2.0,49.0,71.5,10,0,1,1,0,0,positive,1.0,0.16740069995639112
classification,station_ATU2,station_identity,5,3.4002562665059e-05,68.0,67.5,69.5,2.0,45.0,79.0,10,0,0,0,0,0,not_applicable,,
classification,station_ATU3,station_identity,5,2.24946078419735e-05,68.0,67.5,69.5,2.0,46.0,79.0,10,0,0,0,0,0,not_applicable,,
classification,maxT_lag1,raw_environment,5,1.3816959005270474e-05,68.0,67.5,69.5,2.0,58.0,71.5,10,0,1,1,0,0,positive,1.0,0.06795919552770109
classification,Rain_cum7_lag2,cumulative_rainfall,5,1.3632529308452847e-06,68.0,67.5,69.5,2.0,59.0,71.5,10,0,1,0,1,0,negative,1.0,-0.5131818761903506
classification,Rain_cum7_lag1,cumulative_rainfall,5,8.394601738098992e-09,68.0,67.5,69.5,2.0,65.0,71.5,10,0,1,0,1,0,negative,1.0,-0.45377617659498787
classification,Rainfall_lag5,raw_environment,5,1.916716515136633e-09,68.0,68.0,69.5,1.5,67.5,71.5,10,0,1,0,1,0,negative,1.0,-0.5547814236541959
classification,RWL_rate_lag2,environmental_rates,5,1.6986313128887178e-14,68.0,67.5,71.5,4.0,48.0,79.0,10,0,1,0,1,0,negative,1.0,-0.2992200099388625
