task,feature,feature_group,fold_count,mean_normalized_share,median_rank,rank_q25,rank_q75,rank_iqr,best_rank,worst_rank,top_k,top_k_folds,direction_valid_folds,direction_positive_folds,direction_negative_folds,direction_zero_folds,dominant_direction,direction_consistency,median_direction_spearman
regression,RWL_rate_lag4,environmental_rates,5,3.9213017061449915e-05,64.0,55.0,66.0,11.0,48.0,78.0,10,0,4,2,2,0,mixed,0.5,-0.042583261463204264
regression,aveT_lag1,raw_environment,5,0.00011199176717345055,65.0,32.0,65.0,33.0,23.0,78.5,10,0,4,2,2,0,mixed,0.5,0.07299493677798206
regression,RH_lag1,raw_environment,5,5.6896268442376094e-05,65.0,43.0,73.0,30.0,38.0,78.0,10,0,4,2,2,0,mixed,0.5,0.051602275887044635
regression,RWL_rate_lag3,environmental_rates,5,9.436134012232307e-05,66.0,61.0,78.0,17.0,17.0,82.5,10,0,3,1,2,0,negative,0.6666666666666666,-0.11533343529457975
regression,Rainfall_lag5,raw_environment,5,2.9329185915786096e-05,67.0,62.0,71.0,9.0,44.0,75.0,10,0,5,3,2,0,positive,0.6,0.06605766349362721
regression,RWL_rate_lag2,environmental_rates,5,3.4649719134271995e-05,68.0,62.0,69.0,7.0,50.0,78.0,10,0,4,1,3,0,negative,0.75,-0.40655629135887994
regression,RWL_lag2,raw_environment,5,4.9613152151542e-05,69.0,51.0,78.0,27.0,34.0,83.0,10,0,4,0,4,0,negative,1.0,-0.6020734991942616
regression,Rainfall_lag3,raw_environment,5,4.412406216066434e-05,70.0,58.0,71.0,13.0,33.0,78.5,10,0,4,2,2,0,mixed,0.5,0.007797544344794655
regression,aveT_lag3,raw_environment,5,1.4216943388336472e-05,70.0,64.0,78.0,14.0,61.0,78.0,10,0,4,2,2,0,mixed,0.5,-0.1499280742998012
regression,Rain_cum7_lag5,cumulative_rainfall,5,2.0123962176163465e-05,73.0,67.0,78.0,11.0,55.0,82.5,10,0,3,1,2,0,negative,0.6666666666666666,-0.4791756409316355
regression,minT_lag1,raw_environment,5,5.3117678856669236e-05,74.0,42.0,78.5,36.5,40.0,86.0,10,0,4,2,2,0,mixed,0.5,0.04757194142372579
regression,maxT_lag5,raw_environment,5,1.9717692071980485e-05,77.0,63.0,78.5,15.5,54.0,83.0,10,0,3,1,2,0,negative,0.6666666666666666,-0.10759005674009911
regression,Rain_cum7_lag2,cumulative_rainfall,5,5.557540464170802e-05,78.0,50.0,78.5,28.5,33.0,83.0,10,0,2,1,1,0,mixed,0.5,0.10809384050798476
regression,Rainfall_lag2,raw_environment,5,8.602029381148037e-06,78.0,77.0,78.5,1.5,67.0,82.5,10,0,2,2,0,0,positive,1.0,0.3187233124077399
regression,station_MJ9,station_identity,5,0.0001344632938653127,78.5,62.0,82.5,20.5,11.0,83.0,10,0,0,0,0,0,not_applicable,,
regression,station_MJ1,station_identity,5,9.518038968851814e-05,78.5,78.0,82.5,4.5,18.0,83.0,10,0,0,0,0,0,not_applicable,,
regression,Rainfall_lag1,raw_environment,5,4.5262328577908196e-05,78.5,78.0,82.5,4.5,30.0,83.0,10,0,1,0,1,0,negative,1.0,-0.849018450128212
regression,Rainfall_lag4,raw_environment,5,7.923133095398352e-06,78.5,78.0,82.5,4.5,68.0,83.0,10,0,1,1,0,0,positive,1.0,0.2597124841938618
regression,station_ATU2,station_identity,5,1.645401657773294e-05,82.5,78.0,83.0,5.0,46.0,85.0,10,0,0,0,0,0,not_applicable,,
regression,station_MJ3,station_identity,5,0.0,82.5,78.5,83.0,4.5,78.0,87.5,10,0,0,0,0,0,not_applicable,,
