task,fold,feature,feature_group,mean_abs_shap,normalized_share,rank,direction_spearman
regression,1,disp_rate_lag1,displacement_kinematics,0.3087212978650469,0.6377285543216243,1.0,0.9731928576541865
regression,1,disp_rate_lag2,displacement_kinematics,0.09345449345961825,0.1930498459970673,2.0,0.9654710833792469
regression,1,disp_rate_lag3,displacement_kinematics,0.03467000357046924,0.0716181598361445,3.0,0.9760191115011034
regression,1,disp_rate_lag4,displacement_kinematics,0.01754613655068964,0.03624522303379445,4.0,0.9739269758775031
regression,1,disp_rate_lag5,displacement_kinematics,0.012401470678803228,0.025617837260169862,5.0,0.696760164887722
regression,1,disp_accel_lag1,displacement_kinematics,0.007713107633004697,0.015933040623175226,6.0,0.9793197811011948
regression,1,disp_accel_lag2,displacement_kinematics,0.0017160167656832925,0.0035447923377455366,7.0,0.862557116346218
regression,1,disp_accel_lag3,displacement_kinematics,0.0007976348175222754,0.0016476819143117012,8.0,0.6643577173213033
regression,1,disp_accel_lag5,displacement_kinematics,0.0007478389912379402,0.0015448181970133836,9.0,0.3332802086110924
regression,1,disp_lag4,displacement_kinematics,0.00047370764682406856,0.0009785424422265457,10.0,-0.29578112529042844
regression,1,station_MJ9,station_identity,0.00031869076867228023,0.0006583225860557996,11.0,
regression,1,GWT_lag3,raw_environment,0.00031670112456738344,0.0006542125590916572,12.0,0.5515136855505118
regression,1,disp_accel_lag4,displacement_kinematics,0.0002714871194783091,0.0005608135539049453,13.0,0.31149577636592535
regression,1,disp_lag3,displacement_kinematics,0.0002484446802628602,0.0005132145655924003,14.0,-0.05808839486748232
regression,1,GWT_rate_lag5,environmental_rates,0.00024024073136589739,0.0004962675894492912,15.0,0.48325520421159796
regression,1,GWT_rate_lag1,environmental_rates,0.00023766002416106152,0.0004909365977546826,16.0,0.714619192296684
regression,1,maxT_lag4,raw_environment,0.00023725134352947118,0.0004900923822432627,17.0,-0.6960101060029823
regression,1,station_MJ1,station_identity,0.00023038182340131633,0.0004759019484425907,18.0,
regression,1,disp_lag5,displacement_kinematics,0.00020579206153729417,0.0004251066408525363,19.0,-0.3439339581694382
regression,1,RWL_lag4,raw_environment,0.00019792610088601456,0.0004088578502793503,20.0,0.4061949188668237
regression,1,minT_lag2,raw_environment,0.00018265589313951012,0.0003773140352665419,21.0,-0.3612580471148271
regression,1,GWT_rate_lag3,environmental_rates,0.000171648866700815,0.00035457671488511037,22.0,0.7789434271787843
regression,1,aveT_lag1,raw_environment,0.0001476443445612481,0.00030499034262277536,23.0,-0.7841323652828703
regression,1,disp_lag2,displacement_kinematics,0.00014502769403153175,0.00029958510245625344,24.0,-0.7136046198173385
regression,1,Rain_cum30_lag4,cumulative_rainfall,0.00013870397284965647,0.0002865221307884768,25.0,-0.18837838315777883
regression,1,GWT_rate_lag4,environmental_rates,0.0001254013956884973,0.0002590428692007443,26.0,0.48687573966705777
regression,1,GWT_lag5,raw_environment,0.00011260758955729076,0.00023261458082301126,27.0,-0.4529572657202984
regression,1,RWL_rate_lag1,environmental_rates,0.0001122661875402795,0.00023190934339282186,28.0,0.008520382731056772
regression,1,GWT_lag1,raw_environment,0.00011018320247488309,0.00022760650110880987,29.0,-0.34457669263563356
regression,1,Rainfall_lag1,raw_environment,0.00010955636789566443,0.00022631164288954098,30.0,-0.849018450128212
regression,1,Rain_cum30_lag3,cumulative_rainfall,0.00010752055005662304,0.0002221062343986711,31.0,0.7220045267093327
regression,1,RH_lag2,raw_environment,9.466153751077132e-05,0.00019554324850304167,32.0,-0.35297244897939944
regression,1,Rain_cum30_lag1,cumulative_rainfall,9.212830369453314e-05,0.00019031032304386448,33.0,-0.7043372988723183
regression,1,RH_lag3,raw_environment,8.523236620053731e-05,0.0001760653186364891,34.0,-0.5313428502356252
regression,1,disp_lag1,displacement_kinematics,8.398325731793928e-05,0.00017348502240361382,35.0,0.28675602908065
regression,1,Rain_cum15_lag1,cumulative_rainfall,8.17334046967769e-05,0.00016883748020470212,36.0,-0.6926462707284955
regression,1,Rain_cum30_lag5,cumulative_rainfall,6.764853921777872e-05,0.0001397422381146583,37.0,-0.16787267043880055
regression,1,maxT_lag2,raw_environment,6.677549049752616e-05,0.0001379387729761359,38.0,0.1756964021490185
regression,1,GWT_lag2,raw_environment,5.989171877461724e-05,0.00012371889951910667,39.0,-0.4149794034054673
regression,1,RWL_lag3,raw_environment,5.9193338502841365e-05,0.0001222762486745865,40.0,0.3762135927388059
regression,1,GWT_lag4,raw_environment,5.7616751678985195e-05,0.00011901947810872867,41.0,0.2420487456539863
regression,1,aveT_lag5,raw_environment,5.259679350863857e-05,0.00010864970223362978,42.0,-0.018619039947986835
regression,1,RH_lag1,raw_environment,5.175303650841726e-05,0.0001069067452829075,43.0,0.8041896429018363
regression,1,Rain_cum7_lag4,cumulative_rainfall,5.1409116010704246e-05,0.00010619630540290943,44.0,-0.15139587791137896
regression,1,Rain_cum15_lag2,cumulative_rainfall,5.074367042978438e-05,0.00010482168806606069,45.0,-0.6554906996265369
regression,1,maxT_lag1,raw_environment,4.895893642492676e-05,0.00010113494586642134,46.0,-0.5621143952129231
regression,1,GWT_rate_lag2,environmental_rates,4.5498600540044766e-05,9.398689674705776e-05,47.0,0.5485668964179434
regression,1,minT_lag5,raw_environment,4.425044714905557e-05,9.140857428238891e-05,48.0,0.3242235896483031
regression,1,Rain_cum30_lag2,cumulative_rainfall,4.344265241186827e-05,8.973990492430574e-05,49.0,0.29160684910029466
regression,1,Rain_cum7_lag2,cumulative_rainfall,4.067078187758699e-05,8.401402530142778e-05,50.0,-0.2977025483549829
regression,1,RH_lag5,raw_environment,3.896123277624979e-05,8.048259328012881e-05,51.0,-0.1698345232175102
regression,1,DP_lag2,raw_environment,3.7778344515884594e-05,7.803908962351852e-05,52.0,-0.07097906306921327
regression,1,RH_lag4,raw_environment,3.6863998828844744e-05,7.615031694350396e-05,53.0,0.29578907015340145
regression,1,Rain_cum15_lag3,cumulative_rainfall,3.515284880324321e-05,7.261557787755426e-05,54.0,-0.4618805902950437
regression,1,RWL_rate_lag4,environmental_rates,3.475712730536549e-05,7.179813217328715e-05,55.0,0.45282133384529527
regression,1,RWL_rate_lag5,environmental_rates,3.4195234266854674e-05,7.063742431927467e-05,56.0,-0.33770061944436947
regression,1,Rain_cum7_lag3,cumulative_rainfall,3.414552639404847e-05,7.053474228832208e-05,57.0,0.4481315279853708
regression,1,DP_lag5,raw_environment,3.3396042504468495e-05,6.89865262089827e-05,58.0,0.0027940346986629343
regression,1,station_ATU1,station_identity,3.124288174187017e-05,6.453872131230167e-05,59.0,
regression,1,aveT_lag2,raw_environment,3.0358656949467993e-05,6.271216965404687e-05,60.0,-0.32248773831775635
regression,1,RWL_rate_lag3,environmental_rates,2.966240877976049e-05,6.127392311327618e-05,61.0,-0.12540554751547991
regression,1,maxT_lag3,raw_environment,2.9636974174173813e-05,6.122138260388242e-05,62.0,0.2567900246351581
regression,1,Rain_cum15_lag5,cumulative_rainfall,2.663536730781565e-05,5.502093443019917e-05,63.0,-0.11061660853627492
regression,1,RWL_lag5,raw_environment,2.4081655898371747e-05,4.9745708209780756e-05,64.0,-0.263820119081496
regression,1,DP_lag3,raw_environment,2.080362819651229e-05,4.297425485755075e-05,65.0,0.4879983183714486
