task,station,feature,feature_group,fold_count,mean_normalized_share,median_rank,rank_q25,rank_q75,rank_iqr,best_rank,worst_rank,top_k,top_k_folds,direction_valid_folds,direction_positive_folds,direction_negative_folds,direction_zero_folds,dominant_direction,direction_consistency,median_direction_spearman,explained_model,model_role,analysis_scope,feature_kinematics_definition,task_id,target_definition,target_unit,target_status,plot_target,plot_title_target
classification,ATU1,disp_rate_lag5,displacement_kinematics,5,0.33061908685024916,1.0,1.0,1.0,0.0,1.0,7.0,10,5,5,5,0,0,positive,1.0,0.5147826086956522,NGBoost,independent_exploratory_explainer,"exploratory independent NGBoost model-dependence analysis; not ConvLSTM explanation, causal inference, or formal five-level warning output","lagged point velocity (mm/day) and delta_v=velocity_t-velocity_t-1 (mm/day); delta_v is a velocity increment, not acceleration",legacy_same_day_station_v0_level_ge_1_classification,legacy same-day station-specific V0 monthly-rate label: warning_thresholds.warning_level >= 1,binary label; SHAP explains positive-class probability,legacy exploratory label; not the formal five-level fusion warning,legacy same-day V0 monthly-rate level >= 1,legacy same-day V0 label >= 1
classification,ATU1,disp_rate_lag4,displacement_kinematics,5,0.042625396340340904,5.0,4.0,7.0,3.0,2.0,18.0,10,4,5,4,1,0,positive,0.8,0.4460869565217391,NGBoost,independent_exploratory_explainer,"exploratory independent NGBoost model-dependence analysis; not ConvLSTM explanation, causal inference, or formal five-level warning output","lagged point velocity (mm/day) and delta_v=velocity_t-velocity_t-1 (mm/day); delta_v is a velocity increment, not acceleration",legacy_same_day_station_v0_level_ge_1_classification,legacy same-day station-specific V0 monthly-rate label: warning_thresholds.warning_level >= 1,binary label; SHAP explains positive-class probability,legacy exploratory label; not the formal five-level fusion warning,legacy same-day V0 monthly-rate level >= 1,legacy same-day V0 label >= 1
classification,ATU1,DP_lag5,raw_environment,5,0.030758107123750277,6.0,6.0,61.0,55.0,3.0,68.5,10,3,4,4,0,0,positive,1.0,0.6220167980181599,NGBoost,independent_exploratory_explainer,"exploratory independent NGBoost model-dependence analysis; not ConvLSTM explanation, causal inference, or formal five-level warning output","lagged point velocity (mm/day) and delta_v=velocity_t-velocity_t-1 (mm/day); delta_v is a velocity increment, not acceleration",legacy_same_day_station_v0_level_ge_1_classification,legacy same-day station-specific V0 monthly-rate label: warning_thresholds.warning_level >= 1,binary label; SHAP explains positive-class probability,legacy exploratory label; not the formal five-level fusion warning,legacy same-day V0 monthly-rate level >= 1,legacy same-day V0 label >= 1
classification,ATU1,station_MJ9,station_identity,5,0.019398277560745504,7.0,7.0,15.0,8.0,6.0,79.0,10,3,0,0,0,0,not_applicable,,,NGBoost,independent_exploratory_explainer,"exploratory independent NGBoost model-dependence analysis; not ConvLSTM explanation, causal inference, or formal five-level warning output","lagged point velocity (mm/day) and delta_v=velocity_t-velocity_t-1 (mm/day); delta_v is a velocity increment, not acceleration",legacy_same_day_station_v0_level_ge_1_classification,legacy same-day station-specific V0 monthly-rate label: warning_thresholds.warning_level >= 1,binary label; SHAP explains positive-class probability,legacy exploratory label; not the formal five-level fusion warning,legacy same-day V0 monthly-rate level >= 1,legacy same-day V0 label >= 1
classification,ATU1,Rain_cum30_lag1,cumulative_rainfall,5,0.014458328164735667,9.0,7.0,28.0,21.0,5.0,67.5,10,3,4,4,0,0,positive,1.0,0.6831195976747474,NGBoost,independent_exploratory_explainer,"exploratory independent NGBoost model-dependence analysis; not ConvLSTM explanation, causal inference, or formal five-level warning output","lagged point velocity (mm/day) and delta_v=velocity_t-velocity_t-1 (mm/day); delta_v is a velocity increment, not acceleration",legacy_same_day_station_v0_level_ge_1_classification,legacy same-day station-specific V0 monthly-rate label: warning_thresholds.warning_level >= 1,binary label; SHAP explains positive-class probability,legacy exploratory label; not the formal five-level fusion warning,legacy same-day V0 monthly-rate level >= 1,legacy same-day V0 label >= 1
classification,ATU1,GWT_lag4,raw_environment,5,0.03505225426648083,10.0,3.0,21.0,18.0,3.0,24.0,10,3,5,4,1,0,positive,0.8,0.04869565217391304,NGBoost,independent_exploratory_explainer,"exploratory independent NGBoost model-dependence analysis; not ConvLSTM explanation, causal inference, or formal five-level warning output","lagged point velocity (mm/day) and delta_v=velocity_t-velocity_t-1 (mm/day); delta_v is a velocity increment, not acceleration",legacy_same_day_station_v0_level_ge_1_classification,legacy same-day station-specific V0 monthly-rate label: warning_thresholds.warning_level >= 1,binary label; SHAP explains positive-class probability,legacy exploratory label; not the formal five-level fusion warning,legacy same-day V0 monthly-rate level >= 1,legacy same-day V0 label >= 1
classification,ATU1,disp_delta_v_lag5,displacement_kinematics,5,0.0282362682815969,10.0,6.0,10.0,4.0,4.0,14.0,10,4,5,0,5,0,negative,1.0,-0.6426086956521738,NGBoost,independent_exploratory_explainer,"exploratory independent NGBoost model-dependence analysis; not ConvLSTM explanation, causal inference, or formal five-level warning output","lagged point velocity (mm/day) and delta_v=velocity_t-velocity_t-1 (mm/day); delta_v is a velocity increment, not acceleration",legacy_same_day_station_v0_level_ge_1_classification,legacy same-day station-specific V0 monthly-rate label: warning_thresholds.warning_level >= 1,binary label; SHAP explains positive-class probability,legacy exploratory label; not the formal five-level fusion warning,legacy same-day V0 monthly-rate level >= 1,legacy same-day V0 label >= 1
classification,ATU1,GWT_lag1,raw_environment,5,0.018053500254575305,10.0,8.0,19.0,11.0,5.0,27.0,10,3,5,3,2,0,positive,0.6,0.34347826086956523,NGBoost,independent_exploratory_explainer,"exploratory independent NGBoost model-dependence analysis; not ConvLSTM explanation, causal inference, or formal five-level warning output","lagged point velocity (mm/day) and delta_v=velocity_t-velocity_t-1 (mm/day); delta_v is a velocity increment, not acceleration",legacy_same_day_station_v0_level_ge_1_classification,legacy same-day station-specific V0 monthly-rate label: warning_thresholds.warning_level >= 1,binary label; SHAP explains positive-class probability,legacy exploratory label; not the formal five-level fusion warning,legacy same-day V0 monthly-rate level >= 1,legacy same-day V0 label >= 1
classification,ATU1,GWT_lag5,raw_environment,5,0.04609370502047251,12.0,2.0,18.0,16.0,2.0,26.0,10,2,5,3,2,0,positive,0.6,0.4913043478260869,NGBoost,independent_exploratory_explainer,"exploratory independent NGBoost model-dependence analysis; not ConvLSTM explanation, causal inference, or formal five-level warning output","lagged point velocity (mm/day) and delta_v=velocity_t-velocity_t-1 (mm/day); delta_v is a velocity increment, not acceleration",legacy_same_day_station_v0_level_ge_1_classification,legacy same-day station-specific V0 monthly-rate label: warning_thresholds.warning_level >= 1,binary label; SHAP explains positive-class probability,legacy exploratory label; not the formal five-level fusion warning,legacy same-day V0 monthly-rate level >= 1,legacy same-day V0 label >= 1
classification,ATU1,disp_rate_lag3,displacement_kinematics,5,0.013362597257125578,12.0,11.0,23.0,12.0,6.0,27.0,10,1,5,5,0,0,positive,1.0,0.6182608695652172,NGBoost,independent_exploratory_explainer,"exploratory independent NGBoost model-dependence analysis; not ConvLSTM explanation, causal inference, or formal five-level warning output","lagged point velocity (mm/day) and delta_v=velocity_t-velocity_t-1 (mm/day); delta_v is a velocity increment, not acceleration",legacy_same_day_station_v0_level_ge_1_classification,legacy same-day station-specific V0 monthly-rate label: warning_thresholds.warning_level >= 1,binary label; SHAP explains positive-class probability,legacy exploratory label; not the formal five-level fusion warning,legacy same-day V0 monthly-rate level >= 1,legacy same-day V0 label >= 1
classification,ATU1,disp_rate_lag1,displacement_kinematics,5,0.013331527640463076,13.0,11.0,31.0,20.0,4.0,32.0,10,1,5,4,1,0,positive,0.8,0.5234782608695652,NGBoost,independent_exploratory_explainer,"exploratory independent NGBoost model-dependence analysis; not ConvLSTM explanation, causal inference, or formal five-level warning output","lagged point velocity (mm/day) and delta_v=velocity_t-velocity_t-1 (mm/day); delta_v is a velocity increment, not acceleration",legacy_same_day_station_v0_level_ge_1_classification,legacy same-day station-specific V0 monthly-rate label: warning_thresholds.warning_level >= 1,binary label; SHAP explains positive-class probability,legacy exploratory label; not the formal five-level fusion warning,legacy same-day V0 monthly-rate level >= 1,legacy same-day V0 label >= 1
classification,ATU1,GWT_lag3,raw_environment,5,0.02026874843609603,14.0,9.0,17.0,8.0,5.0,17.0,10,2,5,5,0,0,positive,1.0,0.2417391304347826,NGBoost,independent_exploratory_explainer,"exploratory independent NGBoost model-dependence analysis; not ConvLSTM explanation, causal inference, or formal five-level warning output","lagged point velocity (mm/day) and delta_v=velocity_t-velocity_t-1 (mm/day); delta_v is a velocity increment, not acceleration",legacy_same_day_station_v0_level_ge_1_classification,legacy same-day station-specific V0 monthly-rate label: warning_thresholds.warning_level >= 1,binary label; SHAP explains positive-class probability,legacy exploratory label; not the formal five-level fusion warning,legacy same-day V0 monthly-rate level >= 1,legacy same-day V0 label >= 1
classification,ATU1,GWT_lag2,raw_environment,5,0.012398777466304597,16.0,15.0,16.0,1.0,8.0,28.0,10,1,5,5,0,0,positive,1.0,0.1417391304347826,NGBoost,independent_exploratory_explainer,"exploratory independent NGBoost model-dependence analysis; not ConvLSTM explanation, causal inference, or formal five-level warning output","lagged point velocity (mm/day) and delta_v=velocity_t-velocity_t-1 (mm/day); delta_v is a velocity increment, not acceleration",legacy_same_day_station_v0_level_ge_1_classification,legacy same-day station-specific V0 monthly-rate label: warning_thresholds.warning_level >= 1,binary label; SHAP explains positive-class probability,legacy exploratory label; not the formal five-level fusion warning,legacy same-day V0 monthly-rate level >= 1,legacy same-day V0 label >= 1
classification,ATU1,disp_lag1,displacement_kinematics,5,0.008175650123842495,17.0,13.0,26.0,13.0,12.0,27.0,10,0,5,4,1,0,positive,0.8,0.06434782608695652,NGBoost,independent_exploratory_explainer,"exploratory independent NGBoost model-dependence analysis; not ConvLSTM explanation, causal inference, or formal five-level warning output","lagged point velocity (mm/day) and delta_v=velocity_t-velocity_t-1 (mm/day); delta_v is a velocity increment, not acceleration",legacy_same_day_station_v0_level_ge_1_classification,legacy same-day station-specific V0 monthly-rate label: warning_thresholds.warning_level >= 1,binary label; SHAP explains positive-class probability,legacy exploratory label; not the formal five-level fusion warning,legacy same-day V0 monthly-rate level >= 1,legacy same-day V0 label >= 1
