task,fold,station,feature,feature_group,mean_abs_shap,normalized_share,explained_model,model_role,analysis_scope,feature_kinematics_definition,task_id,target_definition,target_unit,target_status,plot_target,plot_title_target,explanation_start,explanation_end,explanation_rows_per_station,explanation_sample_role,rank,direction_spearman,legacy_label_scheme,legacy_label_status,v0_estimation_method,v0_train_fraction,v0_fit_observation_start,v0_fit_observation_end,v0_monthly_rate_start,v0_monthly_rate_end,v0_month_window_days,v0_accel_percentile,v0_threshold_artifact
regression,1,ATU1,disp_rate_lag1,displacement_kinematics,0.38008768381411734,0.6338557846555727,NGBoost,independent_exploratory_explainer,"exploratory independent NGBoost model-dependence analysis; not ConvLSTM explanation, causal inference, or formal five-level warning output","lagged point velocity (mm/day) and delta_v=velocity_t-velocity_t-1 (mm/day); delta_v is a velocity increment, not acceleration",target_date_displacement_increment_regression,target-observation displacement increment U_t - U_(t-1),mm per observation interval,exploratory prediction target; not a warning level,target-date displacement increment,target-date displacement increment,2017-04-03,2017-11-25,24,deterministic_evenly_spaced_holdout_dates_per_station,1.0,0.9565217391304346,,,,,,,,,,,
regression,1,ATU1,disp_rate_lag2,displacement_kinematics,0.11755149296500673,0.19603553859747788,NGBoost,independent_exploratory_explainer,"exploratory independent NGBoost model-dependence analysis; not ConvLSTM explanation, causal inference, or formal five-level warning output","lagged point velocity (mm/day) and delta_v=velocity_t-velocity_t-1 (mm/day); delta_v is a velocity increment, not acceleration",target_date_displacement_increment_regression,target-observation displacement increment U_t - U_(t-1),mm per observation interval,exploratory prediction target; not a warning level,target-date displacement increment,target-date displacement increment,2017-04-03,2017-11-25,24,deterministic_evenly_spaced_holdout_dates_per_station,2.0,0.9208695652173912,,,,,,,,,,,
regression,1,ATU1,disp_rate_lag3,displacement_kinematics,0.041305787491577386,0.0688838745800941,NGBoost,independent_exploratory_explainer,"exploratory independent NGBoost model-dependence analysis; not ConvLSTM explanation, causal inference, or formal five-level warning output","lagged point velocity (mm/day) and delta_v=velocity_t-velocity_t-1 (mm/day); delta_v is a velocity increment, not acceleration",target_date_displacement_increment_regression,target-observation displacement increment U_t - U_(t-1),mm per observation interval,exploratory prediction target; not a warning level,target-date displacement increment,target-date displacement increment,2017-04-03,2017-11-25,24,deterministic_evenly_spaced_holdout_dates_per_station,3.0,0.9269565217391305,,,,,,,,,,,
regression,1,ATU1,disp_rate_lag4,displacement_kinematics,0.020844974870569095,0.03476226267087352,NGBoost,independent_exploratory_explainer,"exploratory independent NGBoost model-dependence analysis; not ConvLSTM explanation, causal inference, or formal five-level warning output","lagged point velocity (mm/day) and delta_v=velocity_t-velocity_t-1 (mm/day); delta_v is a velocity increment, not acceleration",target_date_displacement_increment_regression,target-observation displacement increment U_t - U_(t-1),mm per observation interval,exploratory prediction target; not a warning level,target-date displacement increment,target-date displacement increment,2017-04-03,2017-11-25,24,deterministic_evenly_spaced_holdout_dates_per_station,4.0,0.954782608695652,,,,,,,,,,,
regression,1,ATU1,disp_rate_lag5,displacement_kinematics,0.014832174996975386,0.024734976483622138,NGBoost,independent_exploratory_explainer,"exploratory independent NGBoost model-dependence analysis; not ConvLSTM explanation, causal inference, or formal five-level warning output","lagged point velocity (mm/day) and delta_v=velocity_t-velocity_t-1 (mm/day); delta_v is a velocity increment, not acceleration",target_date_displacement_increment_regression,target-observation displacement increment U_t - U_(t-1),mm per observation interval,exploratory prediction target; not a warning level,target-date displacement increment,target-date displacement increment,2017-04-03,2017-11-25,24,deterministic_evenly_spaced_holdout_dates_per_station,5.0,0.8104347826086956,,,,,,,,,,,
regression,1,ATU1,disp_delta_v_lag1,displacement_kinematics,0.013794593460234752,0.023004646648897717,NGBoost,independent_exploratory_explainer,"exploratory independent NGBoost model-dependence analysis; not ConvLSTM explanation, causal inference, or formal five-level warning output","lagged point velocity (mm/day) and delta_v=velocity_t-velocity_t-1 (mm/day); delta_v is a velocity increment, not acceleration",target_date_displacement_increment_regression,target-observation displacement increment U_t - U_(t-1),mm per observation interval,exploratory prediction target; not a warning level,target-date displacement increment,target-date displacement increment,2017-04-03,2017-11-25,24,deterministic_evenly_spaced_holdout_dates_per_station,6.0,0.9365217391304346,,,,,,,,,,,
regression,1,ATU1,disp_delta_v_lag2,displacement_kinematics,0.002300962621297914,0.0038372158054434734,NGBoost,independent_exploratory_explainer,"exploratory independent NGBoost model-dependence analysis; not ConvLSTM explanation, causal inference, or formal five-level warning output","lagged point velocity (mm/day) and delta_v=velocity_t-velocity_t-1 (mm/day); delta_v is a velocity increment, not acceleration",target_date_displacement_increment_regression,target-observation displacement increment U_t - U_(t-1),mm per observation interval,exploratory prediction target; not a warning level,target-date displacement increment,target-date displacement increment,2017-04-03,2017-11-25,24,deterministic_evenly_spaced_holdout_dates_per_station,7.0,0.8139130434782607,,,,,,,,,,,
regression,1,ATU1,disp_delta_v_lag5,displacement_kinematics,0.0012625549123657755,0.0021055081991021153,NGBoost,independent_exploratory_explainer,"exploratory independent NGBoost model-dependence analysis; not ConvLSTM explanation, causal inference, or formal five-level warning output","lagged point velocity (mm/day) and delta_v=velocity_t-velocity_t-1 (mm/day); delta_v is a velocity increment, not acceleration",target_date_displacement_increment_regression,target-observation displacement increment U_t - U_(t-1),mm per observation interval,exploratory prediction target; not a warning level,target-date displacement increment,target-date displacement increment,2017-04-03,2017-11-25,24,deterministic_evenly_spaced_holdout_dates_per_station,8.0,0.17652173913043476,,,,,,,,,,,
regression,1,ATU1,disp_delta_v_lag3,displacement_kinematics,0.0012179971958336214,0.0020312012231655796,NGBoost,independent_exploratory_explainer,"exploratory independent NGBoost model-dependence analysis; not ConvLSTM explanation, causal inference, or formal five-level warning output","lagged point velocity (mm/day) and delta_v=velocity_t-velocity_t-1 (mm/day); delta_v is a velocity increment, not acceleration",target_date_displacement_increment_regression,target-observation displacement increment U_t - U_(t-1),mm per observation interval,exploratory prediction target; not a warning level,target-date displacement increment,target-date displacement increment,2017-04-03,2017-11-25,24,deterministic_evenly_spaced_holdout_dates_per_station,9.0,0.54,,,,,,,,,,,
regression,1,ATU1,disp_lag4,displacement_kinematics,0.0005516606246388768,0.0009199805544477127,NGBoost,independent_exploratory_explainer,"exploratory independent NGBoost model-dependence analysis; not ConvLSTM explanation, causal inference, or formal five-level warning output","lagged point velocity (mm/day) and delta_v=velocity_t-velocity_t-1 (mm/day); delta_v is a velocity increment, not acceleration",target_date_displacement_increment_regression,target-observation displacement increment U_t - U_(t-1),mm per observation interval,exploratory prediction target; not a warning level,target-date displacement increment,target-date displacement increment,2017-04-03,2017-11-25,24,deterministic_evenly_spaced_holdout_dates_per_station,10.0,-0.34347826086956523,,,,,,,,,,,
