task,fold,model_variant,dropped_group,feature_count,status,rmse,mae,baseline_rmse,baseline_mae,auc,pr_auc,brier,recall,precision,f1,rows,positive_rows,predicted_positive_rows
regression,1,full,none,88,evaluated,1.3893504773155407,0.480746972332874,1.813453416285912,1.0592160865610198,,,,,,,,,
regression,1,drop_group,displacement_kinematics,73,evaluated,1.6310740954931442,0.8254201283606788,1.813453416285912,1.0592160865610198,,,,,,,,,
regression,1,drop_group,raw_environment,48,evaluated,1.3852296262626294,0.476636236822038,1.813453416285912,1.0592160865610198,,,,,,,,,
regression,1,drop_group,environmental_rates,78,evaluated,1.3836013639012925,0.4757836371156575,1.813453416285912,1.0592160865610198,,,,,,,,,
regression,1,drop_group,cumulative_rainfall,73,evaluated,1.387471239148789,0.47868492272273183,1.813453416285912,1.0592160865610198,,,,,,,,,
regression,1,drop_group,station_identity,80,evaluated,1.3884035754543493,0.4803851982760158,1.813453416285912,1.0592160865610198,,,,,,,,,
classification,1,full,none,88,evaluated,,,,,0.9165841420246581,0.9697798112268836,0.36761457110967743,0.44972067039106145,0.9922958397534669,0.6189332051898125,1896.0,1432.0,649.0
classification,1,drop_group,displacement_kinematics,73,evaluated,,,,,0.6651694338759391,0.8066524807719683,0.4641513518599962,0.3414804469273743,0.8670212765957447,0.48997995991983967,1896.0,1432.0,564.0
classification,1,drop_group,raw_environment,48,evaluated,,,,,0.9377979917164323,0.9772947761160963,0.21888299304469117,0.715782122905028,0.9808612440191388,0.8276140492531288,1896.0,1432.0,1045.0
classification,1,drop_group,environmental_rates,78,evaluated,,,,,0.9143085689173569,0.9692930399949444,0.3283241873692182,0.46089385474860334,0.9924812030075187,0.6294706723891274,1896.0,1432.0,665.0
classification,1,drop_group,cumulative_rainfall,73,evaluated,,,,,0.9119231301772299,0.9680755562443981,0.35382777079716815,0.4092178770949721,0.9915397631133672,0.5793376173999011,1896.0,1432.0,591.0
classification,1,drop_group,station_identity,80,evaluated,,,,,0.9135861647563088,0.9691822108866872,0.3231823529534272,0.45879888268156427,0.9924471299093656,0.6275071633237822,1896.0,1432.0,662.0
regression,2,full,none,88,evaluated,0.007958505023823411,0.005384859127233632,0.2902274207541568,0.2036082141841562,,,,,,,,,
regression,2,drop_group,displacement_kinematics,73,evaluated,0.35320108808954914,0.20575923091902262,0.2902274207541568,0.2036082141841562,,,,,,,,,
regression,2,drop_group,raw_environment,48,evaluated,0.007115154772291671,0.004883288160935918,0.2902274207541568,0.2036082141841562,,,,,,,,,
regression,2,drop_group,environmental_rates,78,evaluated,0.009370754371199915,0.006363840190614494,0.2902274207541568,0.2036082141841562,,,,,,,,,
regression,2,drop_group,cumulative_rainfall,73,evaluated,0.008348240814015659,0.005512095867865591,0.2902274207541568,0.2036082141841562,,,,,,,,,
regression,2,drop_group,station_identity,80,evaluated,0.009297599092829543,0.00611130196528837,0.2902274207541568,0.2036082141841562,,,,,,,,,
classification,2,full,none,88,single_class_test,,,,,,,0.006598446292697926,0.0,0.0,0.0,1896.0,0.0,21.0
classification,2,drop_group,displacement_kinematics,73,single_class_test,,,,,,,0.04488629059054039,0.0,0.0,0.0,1896.0,0.0,140.0
classification,2,drop_group,raw_environment,48,single_class_test,,,,,,,0.00697879330822483,0.0,0.0,0.0,1896.0,0.0,21.0
classification,2,drop_group,environmental_rates,78,single_class_test,,,,,,,0.0018531212100384702,0.0,0.0,0.0,1896.0,0.0,0.0
classification,2,drop_group,cumulative_rainfall,73,single_class_test,,,,,,,2.0419182993236224e-06,0.0,0.0,0.0,1896.0,0.0,0.0
classification,2,drop_group,station_identity,80,single_class_test,,,,,,,0.00034867734135904773,0.0,0.0,0.0,1896.0,0.0,0.0
regression,3,full,none,88,evaluated,0.003919883500124986,0.002650321798961519,0.09628508763950133,0.07680682537029011,,,,,,,,,
regression,3,drop_group,displacement_kinematics,73,evaluated,0.20617343749347344,0.1362623615417321,0.09628508763950133,0.07680682537029011,,,,,,,,,
regression,3,drop_group,raw_environment,48,evaluated,0.003487361022512406,0.0024539115429220134,0.09628508763950133,0.07680682537029011,,,,,,,,,
regression,3,drop_group,environmental_rates,78,evaluated,0.0033668670279491607,0.002318908362895841,0.09628508763950133,0.07680682537029011,,,,,,,,,
regression,3,drop_group,cumulative_rainfall,73,evaluated,0.003798333304703989,0.002537358680446619,0.09628508763950133,0.07680682537029011,,,,,,,,,
regression,3,drop_group,station_identity,80,evaluated,0.003428534708590687,0.0024072344326028865,0.09628508763950133,0.07680682537029011,,,,,,,,,
classification,3,full,none,88,single_class_test,,,,,,,3.308322730880599e-05,0.0,0.0,0.0,1896.0,0.0,0.0
classification,3,drop_group,displacement_kinematics,73,single_class_test,,,,,,,0.0021764284018482793,0.0,0.0,0.0,1896.0,0.0,0.0
classification,3,drop_group,raw_environment,48,single_class_test,,,,,,,6.025545932532316e-05,0.0,0.0,0.0,1896.0,0.0,0.0
classification,3,drop_group,environmental_rates,78,single_class_test,,,,,,,3.717376157504091e-05,0.0,0.0,0.0,1896.0,0.0,0.0
classification,3,drop_group,cumulative_rainfall,73,single_class_test,,,,,,,3.3532460913058774e-05,0.0,0.0,0.0,1896.0,0.0,0.0
classification,3,drop_group,station_identity,80,single_class_test,,,,,,,7.032987321626325e-08,0.0,0.0,0.0,1896.0,0.0,0.0
regression,4,full,none,88,evaluated,0.005960731460421058,0.003184951849331195,0.1288597322845977,0.10219066533436949,,,,,,,,,
regression,4,drop_group,displacement_kinematics,73,evaluated,0.12145174193813363,0.09023767721561707,0.1288597322845977,0.10219066533436949,,,,,,,,,
regression,4,drop_group,raw_environment,48,evaluated,0.004882116048829925,0.002899920017276437,0.1288597322845977,0.10219066533436949,,,,,,,,,
regression,4,drop_group,environmental_rates,78,evaluated,0.004970278353087911,0.0030142382041637075,0.1288597322845977,0.10219066533436949,,,,,,,,,
regression,4,drop_group,cumulative_rainfall,73,evaluated,0.005695783794316349,0.002938687528105898,0.1288597322845977,0.10219066533436949,,,,,,,,,
regression,4,drop_group,station_identity,80,evaluated,0.005003593968461029,0.0028531985133158663,0.1288597322845977,0.10219066533436949,,,,,,,,,
classification,4,full,none,88,single_class_test,,,,,,,7.926133163588729e-05,0.0,0.0,0.0,1896.0,0.0,0.0
classification,4,drop_group,displacement_kinematics,73,single_class_test,,,,,,,0.002110568524913679,0.0,0.0,0.0,1896.0,0.0,0.0
classification,4,drop_group,raw_environment,48,single_class_test,,,,,,,0.0006970583847170694,0.0,0.0,0.0,1896.0,0.0,3.0
classification,4,drop_group,environmental_rates,78,single_class_test,,,,,,,9.773703582569682e-06,0.0,0.0,0.0,1896.0,0.0,0.0
classification,4,drop_group,cumulative_rainfall,73,single_class_test,,,,,,,3.846758897417377e-05,0.0,0.0,0.0,1896.0,0.0,0.0
classification,4,drop_group,station_identity,80,single_class_test,,,,,,,0.00010024519386062201,0.0,0.0,0.0,1896.0,0.0,0.0
regression,5,full,none,88,evaluated,0.009941027252854916,0.004948866429857609,0.37170636661077106,0.2010785529053691,,,,,,,,,
regression,5,drop_group,displacement_kinematics,73,evaluated,0.8493915565153949,0.33617108152303055,0.37170636661077106,0.2010785529053691,,,,,,,,,
regression,5,drop_group,raw_environment,48,evaluated,0.010363067120518902,0.00525784190226305,0.37170636661077106,0.2010785529053691,,,,,,,,,
regression,5,drop_group,environmental_rates,78,evaluated,0.009083218468997211,0.0047845545468450925,0.37170636661077106,0.2010785529053691,,,,,,,,,
regression,5,drop_group,cumulative_rainfall,73,evaluated,0.00898675108264034,0.004390602952996295,0.37170636661077106,0.2010785529053691,,,,,,,,,
regression,5,drop_group,station_identity,80,evaluated,0.008541077975770474,0.004284483257726242,0.37170636661077106,0.2010785529053691,,,,,,,,,
classification,5,full,none,88,evaluated,,,,,0.9925987900630713,0.7711544434950361,0.013701719370071612,0.7058823529411765,0.7058823529411765,0.7058823529411765,1896.0,68.0,68.0
classification,5,drop_group,displacement_kinematics,73,evaluated,,,,,0.2835387437250611,0.026614753588313965,0.03627684824610705,0.0,0.0,0.0,1896.0,68.0,0.0
classification,5,drop_group,raw_environment,48,evaluated,,,,,0.996697612305316,0.910825517744563,0.010440262651674264,0.9411764705882353,0.7272727272727273,0.8205128205128205,1896.0,68.0,88.0
classification,5,drop_group,environmental_rates,78,evaluated,,,,,0.9937693075041832,0.8217953033100274,0.013281350675320193,0.7647058823529411,0.7323943661971831,0.7482014388489209,1896.0,68.0,71.0
classification,5,drop_group,cumulative_rainfall,73,evaluated,,,,,0.9937089715536105,0.8073704141553113,0.013701886077920148,0.5441176470588235,0.7551020408163265,0.6324786324786325,1896.0,68.0,49.0
classification,5,drop_group,station_identity,80,evaluated,,,,,0.9938376882481659,0.8143144494555297,0.014487951945694546,0.5294117647058824,0.8,0.6371681415929203,1896.0,68.0,45.0
