candidate,window,station,days,start,end,observed_mm_day,predicted_mm_day,background_mm_day,other_state_mm_day
A_baseline,train_last30,ATU1,30,2017-08-06,2017-09-05,1.3496308508502968,1.3822707739440432,0.260413817588344,1.1218569563556993
A_baseline,train_last30,ATU5,30,2017-08-06,2017-09-05,1.6358779095725093,1.595496563875911,0.2919346095163585,1.303561954359553
A_baseline,train_last30,MJ3,30,2017-08-06,2017-09-05,1.0769814698892028,0.7878722412928634,0.33868252045725883,0.449189720835606
A_baseline,train_last30,MJ1,30,2017-08-06,2017-09-05,0.5728518285375533,0.609185006209115,0.3543248708188263,0.2548601353902882
A_baseline,train_last90,ATU1,90,2017-06-07,2017-09-05,1.1849162154353152,1.3527604330750354,0.24531671038574482,1.1074437226892906
A_baseline,train_last90,ATU5,90,2017-06-07,2017-09-05,1.492247577995163,1.6976091460574088,0.2743051291036012,1.4233040169538078
A_baseline,train_last90,MJ3,90,2017-06-07,2017-09-05,1.0700756138620338,1.149260929369133,0.3295180360099653,0.8197428933591658
A_baseline,train_last90,MJ1,90,2017-06-07,2017-09-05,0.6327634129178124,0.7521799603694451,0.3446830829103056,0.4074968774591399
A_baseline,prediction_first30,ATU1,30,2017-09-05,2017-10-05,6.166904699768236,5.291208532489716,0.3402665459878847,4.950941986501831
A_baseline,prediction_first30,ATU5,30,2017-09-05,2017-10-05,5.398533944035078,7.636495537488673,0.38718668344082424,7.249308854047848
A_baseline,prediction_first30,MJ3,30,2017-09-05,2017-10-05,0.9915604849144302,0.6612961338957121,0.35781122360551904,0.30348491029019253
A_baseline,prediction_first30,MJ1,30,2017-09-05,2017-10-05,0.5238427348921353,0.5606752630213047,0.3743568935779251,0.18631836944337862
A_baseline,prediction_first90,ATU1,90,2017-09-05,2017-12-04,2.165997685684675,1.8368803635637645,0.2143914447426506,1.6224889188211136
A_baseline,prediction_first90,ATU5,90,2017-09-05,2017-12-04,2.4595780218060246,2.8045112142225284,0.23980239540796205,2.5647088188145664
A_baseline,prediction_first90,MJ3,90,2017-09-05,2017-12-04,0.4315855703304881,0.4734146360393298,0.330324597026924,0.14309003901240658
A_baseline,prediction_first90,MJ1,90,2017-09-05,2017-12-04,0.24435843134172047,0.39601894685211947,0.3456106930995489,0.0504082537525709
A_baseline,prediction_all,ATU1,180,2017-09-05,2018-03-04,1.1439147187543448,0.9862277733116476,0.17413376478790552,0.812094008523742
A_baseline,prediction_all,ATU5,180,2017-09-05,2018-03-04,1.320457305277271,1.4771307865931476,0.19349128199936338,1.2836395045937843
A_baseline,prediction_all,MJ3,180,2017-09-05,2018-03-04,0.29217712047914374,0.39967093290848776,0.3192328912823259,0.08043804162616179
A_baseline,prediction_all,MJ1,180,2017-09-05,2018-03-04,0.18518592387882918,0.36389007431769316,0.33399561079918394,0.02989446351850944
B_baseline,train_last30,ATU1,30,2017-08-06,2017-09-05,1.3496308508502968,1.446995877737144,0.26478646241425563,1.1822094153228884
B_baseline,train_last30,ATU5,30,2017-08-06,2017-09-05,1.6358779095725093,1.5625507908841305,0.09892499302425459,1.4636257978598768
B_baseline,train_last30,MJ3,30,2017-08-06,2017-09-05,1.0769814698892028,0.8277808461671309,0.3441901375648944,0.48359070860224024
B_baseline,train_last30,MJ1,30,2017-08-06,2017-09-05,0.5728518285375533,0.6030878331829134,0.3703647740392081,0.23272305914370364
B_baseline,train_last90,ATU1,90,2017-06-07,2017-09-05,1.1849162154353152,1.34979734807475,0.24855808819651753,1.1012392598782326
B_baseline,train_last90,ATU5,90,2017-06-07,2017-09-05,1.492247577995163,1.5526330389186793,0.09312330569111144,1.4595097332275682
B_baseline,train_last90,MJ3,90,2017-06-07,2017-09-05,1.0700756138620338,1.1409849847290185,0.33249176681490333,0.8084932179141162
B_baseline,train_last90,MJ1,90,2017-06-07,2017-09-05,0.6327634129178124,0.7540108362105975,0.3583207568743573,0.39569007933624045
B_baseline,prediction_first30,ATU1,30,2017-09-05,2017-10-05,6.166904699768236,4.374833820021778,0.35684911776922895,4.01798470225255
B_baseline,prediction_first30,ATU5,30,2017-09-05,2017-10-05,5.398533944035078,2.0793416739781927,0.1342647329311589,1.9450769410470334
B_baseline,prediction_first30,MJ3,30,2017-09-05,2017-10-05,0.9915604849144302,0.6868286682077875,0.3761129077313157,0.31071576047646515
B_baseline,prediction_first30,MJ1,30,2017-09-05,2017-10-05,0.5238427348921353,0.552917660084961,0.4036561179766674,0.14926154210829523
B_baseline,prediction_first90,ATU1,90,2017-09-05,2017-12-04,2.165997685684675,1.5569016613074722,0.22003839368241246,1.3368632676250596
B_baseline,prediction_first90,ATU5,90,2017-09-05,2017-12-04,2.4595780218060246,0.7244602161706969,0.0844823742405492,0.6399778419301476
B_baseline,prediction_first90,MJ3,90,2017-09-05,2017-12-04,0.4315855703304881,0.535318126486138,0.3243006157647369,0.21101751072140174
B_baseline,prediction_first90,MJ1,90,2017-09-05,2017-12-04,0.24435843134172047,0.4489147732662028,0.3488364657092387,0.10007830755696384
B_baseline,prediction_all,ATU1,180,2017-09-05,2018-03-04,1.1439147187543448,0.8479924054564593,0.17852619481296295,0.6694662106434964
B_baseline,prediction_all,ATU5,180,2017-09-05,2018-03-04,1.320457305277271,0.4250408164742958,0.0699621146359027,0.355078701838393
B_baseline,prediction_all,MJ3,180,2017-09-05,2018-03-04,0.29217712047914374,0.4370446828154235,0.3040168178846284,0.13302786493079433
B_baseline,prediction_all,MJ1,180,2017-09-05,2018-03-04,0.18518592387882918,0.3902802579596577,0.32707717341671594,0.06320308454294181
A_continued,train_last30,ATU1,30,2017-08-06,2017-09-05,1.3496308508502968,1.3859762442308854,0.2604232776061399,1.1255529666247455
A_continued,train_last30,ATU5,30,2017-08-06,2017-09-05,1.6358779095725093,1.5992464283562355,0.2919347184431994,1.3073117099130367
A_continued,train_last30,MJ3,30,2017-08-06,2017-09-05,1.0769814698892028,0.7900918708390766,0.33899211487565567,0.4510997559634196
A_continued,train_last30,MJ1,30,2017-08-06,2017-09-05,0.5728518285375533,0.6088903401597388,0.35409654226414156,0.2547937978955964
A_continued,train_last90,ATU1,90,2017-06-07,2017-09-05,1.1849162154353152,1.3527691073190835,0.24530635355128727,1.1074627537677961
A_continued,train_last90,ATU5,90,2017-06-07,2017-09-05,1.492247577995163,1.697588027838153,0.27430165978350357,1.4232863680546495
A_continued,train_last90,MJ3,90,2017-06-07,2017-09-05,1.0700756138620338,1.1490111222036425,0.3297934149971839,0.8192177072064573
A_continued,train_last90,MJ1,90,2017-06-07,2017-09-05,0.6327634129178124,0.75137342187143,0.3444251689712028,0.4069482529002272
A_continued,prediction_first30,ATU1,30,2017-09-05,2017-10-05,6.166904699768236,5.3088363687516456,0.34042222434665537,4.96841414440499
A_continued,prediction_first30,ATU5,30,2017-09-05,2017-10-05,5.398533944035078,7.622459731110558,0.3872130500472641,7.235246681063293
