candidate,phase,station,days,rmse_mm,mae_mm,bias_mm
A_baseline,train,ATU1,402,9.698920006583538,7.4216968345620895,0.3096291100823259
A_baseline,train,ATU5,402,12.201648963181707,9.280978781177122,0.02696611294679994
A_baseline,train,MJ3,402,7.042383144041601,6.082271341717482,0.585126875030157
A_baseline,train,MJ1,402,8.299895414494445,6.862524928802291,-1.6036361861335238
A_baseline,train,four_point_mean,402,9.310711882075323,7.411867971564746,-0.17047852201856023
A_baseline,prediction,ATU1,180,32.64060266721754,30.48556492373395,-30.48556492373395
A_baseline,prediction,ATU5,180,42.533575018792504,38.956414954875406,31.643058085776648
A_baseline,prediction,MJ3,180,9.584767365836921,8.137203810386612,3.931239790513904
A_baseline,prediction,MJ1,180,17.845961500147144,14.458632271895143,14.279813897514552
A_baseline,prediction,four_point_mean,180,25.651226637998526,23.009453990222777,4.842136712517789
B_baseline,train,ATU1,402,9.669748245135322,7.431089024570527,0.03287506141899918
B_baseline,train,ATU5,402,4.184018567078279,3.0003185037602322,0.3058701799793234
B_baseline,train,MJ3,402,6.5983267316743675,5.675345982538317,0.28731778114551765
B_baseline,train,MJ1,402,8.300623549019042,6.948486318050229,-1.476910293834947
B_baseline,train,four_point_mean,402,7.188179273226753,5.763809957229826,-0.21271181782277668
B_baseline,prediction,ATU1,180,54.16078478473947,53.27694875753784,-53.27694875753784
B_baseline,prediction,ATU5,180,139.8509051570976,134.37337844657608,-134.37337844657608
B_baseline,prediction,MJ3,180,13.831499067374304,11.832890556134497,8.47328769734689
B_baseline,prediction,MJ1,180,21.67774817960986,17.96085113764143,17.793163005187925
B_baseline,prediction,four_point_mean,180,57.380234297205305,54.36101722447246,-40.345969125394774
A_continued,train,ATU1,402,9.695007569910576,7.418216714017685,0.3018022997985782
A_continued,train,ATU5,402,12.199440504581291,9.275025933986708,0.021479969370436485
A_continued,train,MJ3,402,7.027264679667978,6.070756035663442,0.5769553734784995
A_continued,train,MJ1,402,8.298742988369813,6.86083847466137,-1.6090792294231233
A_continued,train,four_point_mean,402,9.305113935632416,7.406209289582302,-0.1772103966939023
A_continued,prediction,ATU1,180,32.24916617743078,30.036039166704107,-30.036039166704107
A_continued,prediction,ATU5,180,41.92488797849843,38.28745603372779,30.966172725263217
A_continued,prediction,MJ3,180,9.755932127576576,8.284583044686128,4.136412259083191
A_continued,prediction,MJ1,180,17.93523281468258,14.543174903401733,14.366793629725034
A_continued,prediction,four_point_mean,180,25.46630477454709,22.78781328712994,4.858334861841834
B_continued,train,ATU1,402,9.663759325541795,7.424712228000846,0.028416898084577414
B_continued,train,ATU5,402,4.005363489196313,2.8934151418710097,0.2736030300361978
B_continued,train,MJ3,402,6.545388968296212,5.642903753780939,0.2836226039307987
B_continued,train,MJ1,402,8.277645765670895,6.927245936145315,-1.4748320227623013
B_continued,train,four_point_mean,402,7.123039387176304,5.7220692649495275,-0.22229737267768185
B_continued,prediction,ATU1,180,55.38600041877093,54.51397089697244,-54.51397089697244
B_continued,prediction,ATU5,180,140.06419011407704,134.60639192010478,-134.60639192010478
B_continued,prediction,MJ3,180,14.720515018928182,12.545990697413945,9.369023589531562
B_continued,prediction,MJ1,180,21.877992443612726,18.14408769179218,17.989047984031647
B_continued,prediction,four_point_mean,180,58.012174498847216,54.952610301570836,-40.4405728108785
