name,fit_days,strategy,origin,teacher,horizon,lead,station,history_gradient_norm,gate_gradient_norm
h432_IN_o342,432,IN,342,432,90,0,ATU1,0.050312852270600436,4.148299751116542
h432_IN_o342,432,IN,342,432,90,0,ATU5,0.05296212906423825,5.465076092892577
h432_IN_o342,432,IN,342,432,90,0,MJ3,0.05037863237129583,5.984005730678307
h432_IN_o342,432,IN,342,432,90,0,MJ1,0.02566860650564548,4.6830864226515825
h432_IN_o342,432,IN,342,432,90,29,ATU1,4.110796374324675e-08,12.153151389104139
h432_IN_o342,432,IN,342,432,90,29,ATU5,5.942224987530961e-08,9.356022284738033
h432_IN_o342,432,IN,342,432,90,29,MJ3,3.5420038059132245e-08,14.636229982195697
h432_IN_o342,432,IN,342,432,90,29,MJ1,1.386046077161201e-07,17.045070857080503
h432_IN_o342,432,IN,342,432,90,89,ATU1,1.5582688380779192e-18,9.131962848263365
h432_IN_o342,432,IN,342,432,90,89,ATU5,2.6600706454480397e-18,15.433010491621628
h432_IN_o342,432,IN,342,432,90,89,MJ3,2.1119406296765284e-18,15.23068100853281
h432_IN_o342,432,IN,342,432,90,89,MJ1,4.3067017967055205e-18,13.881130494280638
