fit_days,start,objective_before,objective_after,objective_reduction_percent,before_optimality,after_optimality,success,gtol_met,termination,nfev,parameter_change_bound_fraction
432,A,14.691817664596579,14.677207577730137,0.09944369852648488,1.4401627752702801,1.2632659210054789,False,False,The maximum number of function evaluations is exceeded.,800,0.008577562633392452
432,B,9.121829611638292,9.0119462109413,1.2046201844945095,1.3571069003529672,2.7816143729080345,False,False,The maximum number of function evaluations is exceeded.,800,0.04326765895975111
612,A,23.751132590215345,23.640274518641853,0.46674856936785447,90.4139737163629,3.9938164209726303,False,False,The maximum number of function evaluations is exceeded.,800,0.017943944632404545
612,B,13.24748939280969,13.111521786505298,1.0263650890574878,1.014336166519205,47.06535161656189,False,False,The maximum number of function evaluations is exceeded.,800,0.1443523325279299
792,A,141.89183835227433,141.7449476991843,0.10352297552544264,4.186640216831795,50.01222680299841,True,False,`xtol` termination condition is satisfied.,457,0.015673694053330568
792,B,53.4709416133027,53.35931766611379,0.20875627737428884,359.7967684736734,49.902512609672485,False,False,The maximum number of function evaluations is exceeded.,800,0.0019972519938819076
