candidate,phase,station,days,rmse_mm,mae_mm,bias_mm,fit_days
A_baseline,train,ATU1,402,9.698920006583538,7.4216968345620895,0.3096291100823259,432
A_baseline,train,ATU5,402,12.201648963181707,9.280978781177122,0.0269661129467999,432
A_baseline,train,MJ3,402,7.042383144041601,6.082271341717482,0.585126875030157,432
A_baseline,train,MJ1,402,8.299895414494445,6.862524928802291,-1.6036361861335238,432
A_baseline,train,four_point_mean,402,9.310711882075324,7.411867971564746,-0.1704785220185602,432
A_baseline,prediction,ATU1,180,32.64060266721754,30.48556492373395,-30.48556492373395,432
A_baseline,prediction,ATU5,180,42.533575018792504,38.956414954875406,31.643058085776648,432
A_baseline,prediction,MJ3,180,9.58476736583692,8.137203810386612,3.931239790513904,432
A_baseline,prediction,MJ1,180,17.845961500147144,14.458632271895144,14.279813897514552,432
A_baseline,prediction,four_point_mean,180,25.651226637998526,23.009453990222777,4.842136712517789,432
B_baseline,train,ATU1,402,9.669748245135322,7.431089024570527,0.0328750614189991,432
B_baseline,train,ATU5,402,4.184018567078279,3.000318503760232,0.3058701799793234,432
B_baseline,train,MJ3,402,6.5983267316743675,5.675345982538317,0.2873177811455176,432
B_baseline,train,MJ1,402,8.300623549019042,6.948486318050229,-1.476910293834947,432
B_baseline,train,four_point_mean,402,7.188179273226753,5.763809957229826,-0.2127118178227766,432
B_baseline,prediction,ATU1,180,54.16078478473947,53.27694875753784,-53.27694875753784,432
B_baseline,prediction,ATU5,180,139.8509051570976,134.37337844657608,-134.37337844657608,432
B_baseline,prediction,MJ3,180,13.831499067374304,11.832890556134496,8.47328769734689,432
B_baseline,prediction,MJ1,180,21.67774817960986,17.96085113764143,17.793163005187925,432
B_baseline,prediction,four_point_mean,180,57.380234297205305,54.36101722447246,-40.345969125394774,432
A_continued,train,ATU1,402,9.695007569910576,7.418216714017685,0.3018022997985782,432
A_continued,train,ATU5,402,12.199440504581291,9.275025933986708,0.0214799693704364,432
A_continued,train,MJ3,402,7.027264679667978,6.070756035663442,0.5769553734784995,432
A_continued,train,MJ1,402,8.298742988369813,6.86083847466137,-1.609079229423123,432
