candidate,phase,station,days,rmse_mm,mae_mm,bias_mm,fit_days
A_continued,train,four_point_mean,402,9.305113935632416,7.406209289582302,-0.1772103966939023,432
A_continued,prediction,ATU1,180,32.24916617743078,30.036039166704107,-30.036039166704107,432
A_continued,prediction,ATU5,180,41.92488797849843,38.28745603372779,30.966172725263217,432
A_continued,prediction,MJ3,180,9.755932127576576,8.284583044686128,4.136412259083191,432
A_continued,prediction,MJ1,180,17.93523281468258,14.543174903401733,14.366793629725034,432
A_continued,prediction,four_point_mean,180,25.46630477454709,22.78781328712994,4.858334861841834,432
B_continued,train,ATU1,402,9.663759325541797,7.424712228000846,0.0284168980845774,432
B_continued,train,ATU5,402,4.005363489196313,2.8934151418710097,0.2736030300361978,432
B_continued,train,MJ3,402,6.545388968296212,5.642903753780939,0.2836226039307987,432
B_continued,train,MJ1,402,8.277645765670895,6.927245936145315,-1.4748320227623013,432
B_continued,train,four_point_mean,402,7.123039387176304,5.7220692649495275,-0.2222973726776818,432
B_continued,prediction,ATU1,180,55.38600041877093,54.51397089697244,-54.51397089697244,432
B_continued,prediction,ATU5,180,140.06419011407704,134.60639192010478,-134.60639192010478,432
B_continued,prediction,MJ3,180,14.720515018928182,12.545990697413943,9.369023589531562,432
B_continued,prediction,MJ1,180,21.87799244361273,18.14408769179218,17.989047984031647,432
B_continued,prediction,four_point_mean,180,58.012174498847216,54.95261030157083,-40.4405728108785,432
A_baseline,train,ATU1,582,11.121637726038347,7.591552574533757,0.2178200673619036,612
A_baseline,train,ATU5,582,11.615124187164696,9.000009395243984,0.1256658272963626,612
A_baseline,train,MJ3,582,8.607104269059658,7.569684361704698,-2.156386955331872,612
A_baseline,train,MJ1,582,8.560781505949107,5.675973415680712,-0.7321345310723264,612
A_baseline,train,four_point_mean,582,9.976161922052952,7.4593049367907875,-0.636258897936483,612
A_baseline,prediction,ATU1,180,9.88403981640247,7.51609950537076,7.484150448479837,612
A_baseline,prediction,ATU5,180,53.34832304431081,37.455506087283176,34.3642197266777,612
A_baseline,prediction,MJ3,180,124.82274038912898,96.50432928453576,96.50432928453576,612
A_baseline,prediction,MJ1,180,70.794688417655,55.15092463857055,43.28954827594081,612
A_baseline,prediction,four_point_mean,180,64.71244791687431,49.156714878940065,45.410561933908525,612
B_baseline,train,ATU1,582,8.186609206816456,6.16557587457324,2.538382660100172,612
B_baseline,train,ATU5,582,9.516861268751365,7.974854492070634,-1.9628250412595043,612
B_baseline,train,MJ3,582,5.619867735636943,4.87066820978771,-1.0107052040864832,612
B_baseline,train,MJ1,582,5.576147008698025,3.961796211311217,-0.2553387367080875,612
B_baseline,train,four_point_mean,582,7.224871304975697,5.7432236969357,-0.1726215804884757,612
B_baseline,prediction,ATU1,180,9.181325749528094,7.836216868153627,5.7409950883093765,612
B_baseline,prediction,ATU5,180,4.231490183851566,3.542669125660696,2.8924823516933884,612
B_baseline,prediction,MJ3,180,60.71584117413553,50.36708145182787,50.36708145182787,612
B_baseline,prediction,MJ1,180,18.394620685891528,15.143004569574687,10.15176051939194,612
B_baseline,prediction,four_point_mean,180,23.130819448351676,19.22224300380422,17.288079852805645,612
A_continued,train,ATU1,582,11.055528081824074,7.552866398190489,0.2051448118087088,612
A_continued,train,ATU5,582,11.609881775411226,9.00146663248772,0.1097538439517923,612
A_continued,train,MJ3,582,8.592797344703712,7.552567196962683,-2.125276089959982,612
A_continued,train,MJ1,582,8.557094835423914,5.675464493677506,-0.72749197152263,612
A_continued,train,four_point_mean,582,9.953825509340732,7.4455911803296,-0.6344673514305277,612
A_continued,prediction,ATU1,180,9.647104317382386,7.330830285657119,7.297960758353375,612
A_continued,prediction,ATU5,180,52.22671131076432,36.67154935658959,33.57744755342511,612
A_continued,prediction,MJ3,180,124.33704152965942,96.1531755902714,96.1531755902714,612
A_continued,prediction,MJ1,180,67.38395355036126,52.68310356770512,40.843125060015545,612
A_continued,prediction,four_point_mean,180,63.39870267704184,48.20966470005581,44.46792724051636,612
B_continued,train,ATU1,582,8.205017090481677,6.205121246043948,2.669170126734383,612
B_continued,train,ATU5,582,9.456274591068324,7.9087461825111935,-1.9849726051088803,612
B_continued,train,MJ3,582,5.607264439348575,4.851707010023787,-0.9885795183177032,612
B_continued,train,MJ1,582,5.503248859314612,3.9236001083898864,-0.2816614689197368,612
B_continued,train,four_point_mean,582,7.1929512450532975,5.722293636742204,-0.1465108664029843,612
B_continued,prediction,ATU1,180,4.264416212270162,2.95704554757896,0.3749605518646828,612
B_continued,prediction,ATU5,180,5.021708368573075,4.3470540930039006,-1.5134557591683089,612
B_continued,prediction,MJ3,180,61.04552849517042,50.59326022797688,50.59326022797688,612
B_continued,prediction,MJ1,180,18.647526258184858,15.311142958359277,10.441309361315612,612
B_continued,prediction,four_point_mean,180,22.244794833549623,18.30212570672975,14.974018595497215,612
A_baseline,train,ATU1,762,10.73586709259416,6.906358278357894,-1.5163447233673295,792
A_baseline,train,ATU5,762,13.045818533748102,9.774916569522077,-0.5282461095427914,792
A_baseline,train,MJ3,762,37.24299734372784,30.898413947772667,-15.696244172017574,792
A_baseline,train,MJ1,762,13.66376386933342,11.34657968127413,5.4354685056979735,792
A_baseline,train,four_point_mean,762,18.67211170985088,14.731567119231691,-3.076341624807431,792
B_baseline,train,ATU1,762,12.12061220337945,7.991466305348948,-2.4053371759625586,792
B_baseline,train,ATU5,762,16.622195814887352,12.371456182607602,-1.0021733437623677,792
B_baseline,train,MJ3,762,14.546922536462928,11.41887299723195,-9.752492829467116,792
B_baseline,train,MJ1,762,8.039703889952271,6.543584625410901,0.205748762181785,792
B_baseline,train,four_point_mean,762,12.8323586111705,9.58134502764985,-3.238563646752565,792
A_continued,train,ATU1,762,10.731999065672692,6.893802723345393,-1.489262128673108,792
A_continued,train,ATU5,762,13.042557493831772,9.771864931127707,-0.5222878073107363,792
A_continued,train,MJ3,762,37.21115962529779,30.9188889752559,-15.550456836111326,792
A_continued,train,MJ1,762,13.68616603271834,11.351593696927974,5.411397770557498,792
A_continued,train,four_point_mean,762,18.667970554380148,14.734037581664246,-3.037652250384418,792
B_continued,train,ATU1,762,12.117561599619536,7.987673748093109,-2.3960167827363197,792
B_continued,train,ATU5,762,16.618472910630352,12.360582667233077,-0.9852912676060466,792
B_continued,train,MJ3,762,14.506758382338266,11.39725987742934,-9.697907521519314,792
B_continued,train,MJ1,762,8.035814423772575,6.5304414088884215,0.2500453075523284,792
B_continued,train,four_point_mean,762,12.819651829090184,9.568989425410988,-3.207292566077338,792
