candidate,window,station,days,start,end,observed_mm_day,predicted_mm_day,background_mm_day,other_state_mm_day,fit_days
A_baseline,train_last30,ATU1,30,2017-08-06,2017-09-05,1.3496308508502968,1.3822707739440432,0.260413817588344,1.1218569563556993,432
A_baseline,train_last30,ATU5,30,2017-08-06,2017-09-05,1.6358779095725091,1.595496563875911,0.2919346095163585,1.303561954359553,432
A_baseline,train_last30,MJ3,30,2017-08-06,2017-09-05,1.0769814698892028,0.7878722412928634,0.3386825204572588,0.449189720835606,432
A_baseline,train_last30,MJ1,30,2017-08-06,2017-09-05,0.5728518285375533,0.609185006209115,0.3543248708188263,0.2548601353902882,432
A_baseline,train_last90,ATU1,90,2017-06-07,2017-09-05,1.1849162154353152,1.3527604330750354,0.2453167103857448,1.1074437226892906,432
A_baseline,train_last90,ATU5,90,2017-06-07,2017-09-05,1.492247577995163,1.6976091460574088,0.2743051291036012,1.4233040169538078,432
A_baseline,train_last90,MJ3,90,2017-06-07,2017-09-05,1.0700756138620338,1.149260929369133,0.3295180360099653,0.8197428933591658,432
A_baseline,train_last90,MJ1,90,2017-06-07,2017-09-05,0.6327634129178124,0.7521799603694451,0.3446830829103056,0.4074968774591399,432
A_baseline,prediction_first30,ATU1,30,2017-09-05,2017-10-05,6.166904699768236,5.291208532489716,0.3402665459878847,4.950941986501831,432
A_baseline,prediction_first30,ATU5,30,2017-09-05,2017-10-05,5.398533944035078,7.636495537488673,0.3871866834408242,7.249308854047848,432
A_baseline,prediction_first30,MJ3,30,2017-09-05,2017-10-05,0.9915604849144302,0.6612961338957121,0.357811223605519,0.3034849102901925,432
A_baseline,prediction_first30,MJ1,30,2017-09-05,2017-10-05,0.5238427348921353,0.5606752630213047,0.3743568935779251,0.1863183694433786,432
A_baseline,prediction_first90,ATU1,90,2017-09-05,2017-12-04,2.165997685684675,1.8368803635637645,0.2143914447426506,1.6224889188211136,432
A_baseline,prediction_first90,ATU5,90,2017-09-05,2017-12-04,2.4595780218060246,2.8045112142225284,0.239802395407962,2.5647088188145664,432
A_baseline,prediction_first90,MJ3,90,2017-09-05,2017-12-04,0.4315855703304881,0.4734146360393298,0.330324597026924,0.1430900390124065,432
A_baseline,prediction_first90,MJ1,90,2017-09-05,2017-12-04,0.2443584313417204,0.3960189468521194,0.3456106930995489,0.0504082537525709,432
A_baseline,prediction_all,ATU1,180,2017-09-05,2018-03-04,1.1439147187543448,0.9862277733116476,0.1741337647879055,0.812094008523742,432
A_baseline,prediction_all,ATU5,180,2017-09-05,2018-03-04,1.320457305277271,1.4771307865931476,0.1934912819993633,1.2836395045937845,432
A_baseline,prediction_all,MJ3,180,2017-09-05,2018-03-04,0.2921771204791437,0.3996709329084877,0.3192328912823259,0.0804380416261617,432
A_baseline,prediction_all,MJ1,180,2017-09-05,2018-03-04,0.1851859238788291,0.3638900743176931,0.3339956107991839,0.0298944635185094,432
B_baseline,train_last30,ATU1,30,2017-08-06,2017-09-05,1.3496308508502968,1.446995877737144,0.2647864624142556,1.1822094153228884,432
B_baseline,train_last30,ATU5,30,2017-08-06,2017-09-05,1.6358779095725091,1.5625507908841303,0.0989249930242545,1.4636257978598768,432
B_baseline,train_last30,MJ3,30,2017-08-06,2017-09-05,1.0769814698892028,0.8277808461671309,0.3441901375648944,0.4835907086022402,432
B_baseline,train_last30,MJ1,30,2017-08-06,2017-09-05,0.5728518285375533,0.6030878331829134,0.3703647740392081,0.2327230591437036,432
B_baseline,train_last90,ATU1,90,2017-06-07,2017-09-05,1.1849162154353152,1.34979734807475,0.2485580881965175,1.1012392598782326,432
B_baseline,train_last90,ATU5,90,2017-06-07,2017-09-05,1.492247577995163,1.552633038918679,0.0931233056911114,1.4595097332275682,432
B_baseline,train_last90,MJ3,90,2017-06-07,2017-09-05,1.0700756138620338,1.1409849847290183,0.3324917668149033,0.8084932179141162,432
B_baseline,train_last90,MJ1,90,2017-06-07,2017-09-05,0.6327634129178124,0.7540108362105975,0.3583207568743573,0.3956900793362404,432
B_baseline,prediction_first30,ATU1,30,2017-09-05,2017-10-05,6.166904699768236,4.374833820021778,0.3568491177692289,4.01798470225255,432
B_baseline,prediction_first30,ATU5,30,2017-09-05,2017-10-05,5.398533944035078,2.0793416739781927,0.1342647329311589,1.9450769410470337,432
B_baseline,prediction_first30,MJ3,30,2017-09-05,2017-10-05,0.9915604849144302,0.6868286682077875,0.3761129077313157,0.3107157604764651,432
B_baseline,prediction_first30,MJ1,30,2017-09-05,2017-10-05,0.5238427348921353,0.552917660084961,0.4036561179766674,0.1492615421082952,432
B_baseline,prediction_first90,ATU1,90,2017-09-05,2017-12-04,2.165997685684675,1.5569016613074722,0.2200383936824124,1.3368632676250596,432
B_baseline,prediction_first90,ATU5,90,2017-09-05,2017-12-04,2.4595780218060246,0.7244602161706969,0.0844823742405492,0.6399778419301476,432
B_baseline,prediction_first90,MJ3,90,2017-09-05,2017-12-04,0.4315855703304881,0.535318126486138,0.3243006157647369,0.2110175107214017,432
B_baseline,prediction_first90,MJ1,90,2017-09-05,2017-12-04,0.2443584313417204,0.4489147732662028,0.3488364657092387,0.1000783075569638,432
B_baseline,prediction_all,ATU1,180,2017-09-05,2018-03-04,1.1439147187543448,0.8479924054564593,0.1785261948129629,0.6694662106434964,432
B_baseline,prediction_all,ATU5,180,2017-09-05,2018-03-04,1.320457305277271,0.4250408164742958,0.0699621146359027,0.355078701838393,432
B_baseline,prediction_all,MJ3,180,2017-09-05,2018-03-04,0.2921771204791437,0.4370446828154235,0.3040168178846284,0.1330278649307943,432
B_baseline,prediction_all,MJ1,180,2017-09-05,2018-03-04,0.1851859238788291,0.3902802579596577,0.3270771734167159,0.0632030845429418,432
A_continued,train_last30,ATU1,30,2017-08-06,2017-09-05,1.3496308508502968,1.3859762442308854,0.2604232776061399,1.1255529666247457,432
A_continued,train_last30,ATU5,30,2017-08-06,2017-09-05,1.6358779095725091,1.5992464283562355,0.2919347184431994,1.3073117099130367,432
A_continued,train_last30,MJ3,30,2017-08-06,2017-09-05,1.0769814698892028,0.7900918708390766,0.3389921148756556,0.4510997559634196,432
A_continued,train_last30,MJ1,30,2017-08-06,2017-09-05,0.5728518285375533,0.6088903401597388,0.3540965422641415,0.2547937978955964,432
A_continued,train_last90,ATU1,90,2017-06-07,2017-09-05,1.1849162154353152,1.3527691073190835,0.2453063535512872,1.107462753767796,432
A_continued,train_last90,ATU5,90,2017-06-07,2017-09-05,1.492247577995163,1.697588027838153,0.2743016597835035,1.4232863680546497,432
