fit_days,variant,selected_start,phase,days,rmse_mm,mae_mm,bias_mm
432,baseline,B,train,402,7.188179273226753,5.763809957229826,-0.2127118178227766
432,baseline,B,prediction,180,57.380234297205305,54.36101722447246,-40.345969125394774
432,continued,B,train,402,7.123039387176304,5.7220692649495275,-0.2222973726776818
432,continued,B,prediction,180,58.012174498847216,54.95261030157083,-40.4405728108785
612,baseline,B,train,582,7.224871304975697,5.7432236969357,-0.1726215804884757
612,baseline,B,prediction,180,23.130819448351676,19.22224300380422,17.288079852805645
612,continued,B,train,582,7.1929512450532975,5.722293636742204,-0.1465108664029843
612,continued,B,prediction,180,22.244794833549623,18.30212570672975,14.974018595497215
792,baseline,B,train,762,12.8323586111705,9.58134502764985,-3.238563646752565
792,continued,B,train,762,12.819651829090184,9.568989425410988,-3.207292566077338
