horizon,substep,coordinate,mask,beta,x,gap,delta_plastic_mm,original_x_tolerance_allows,frozen_plastic_gate_pass
1,1,0,15,0.0012848438919450848,0,1296.1788957827275,0,True,True
1,1,1,15,0.0020616428621014738,0,6.3219650979702289,0,True,True
1,1,2,15,0.00028605975644925379,0,671.16270344840655,0,True,True
1,1,3,15,0.030303030303030297,0,129.63135839770015,0,True,True
1,2,0,15,0.0012848438919450848,0,1296.2795756712321,0,True,True
1,2,1,15,0.0020616428621014738,0,6.1982728438414503,0,True,True
1,2,2,15,0.00028605975644925379,0,671.15177463605835,0,True,True
1,2,3,15,0.030303030303030297,0,128.95848738341854,0,True,True
1,3,0,15,0.0012848438919450848,0,1296.3798716478739,0,True,True
1,3,1,15,0.0020616428621014738,0,6.0749284052622166,0,True,True
1,3,2,15,0.00028605975644925379,0,671.1408755629775,0,True,True
1,3,3,15,0.030303030303030297,0,128.2856265968573,0,True,True
1,4,0,15,0.0012848438919450848,0,1296.4797839761345,0,True,True
1,4,1,15,0.0020616428621014738,0,5.9519315625763207,0,True,True
1,4,2,15,0.00028605975644925379,0,671.13000531917544,0,True,True
1,4,3,15,0.030303030303030297,0,127.61277694585581,0,True,True
1,5,0,15,0.0012848438919450848,0,1296.5793129197225,0,True,True
1,5,1,15,0.0020616428621014738,0,5.8292820958666818,0,True,True
1,5,2,15,0.00028605975644925379,0,671.11916302224313,0,True,True
1,5,3,15,0.030303030303030297,0,126.93993931066545,0,True,True
1,6,0,15,0.0012848438919450848,0,1296.6784587425689,0,True,True
1,6,1,15,0.0020616428621014738,0,5.7069797849607653,0,True,True
1,6,2,15,0.00028605975644925379,0,671.10834781651511,0,True,True
1,6,3,15,0.030303030303030297,0,126.26711454478935,0,True,True
1,7,0,15,0.0012848438919450848,0,1296.7772217088332,0,True,True
1,7,1,15,0.0020616428621014738,0,5.5850244094248414,0,True,True
1,7,2,15,0.00028605975644925379,0,671.09755887225913,0,True,True
1,7,3,15,0.030303030303030297,0,125.59430347579116,0,True,True
1,8,0,15,0.0012848438919450848,0,1296.8756020828966,0,True,True
1,8,1,15,0.0020616428621014738,0,5.4634157485674821,0,True,True
1,8,2,15,0.00028605975644925379,0,671.08679538488991,0,True,True
1,8,3,15,0.030303030303030297,0,124.9215069060793,0,True,True
1,9,0,15,0.0012848438919450848,0,1296.9736001293597,0,True,True
1,9,1,15,0.0020616428621014738,0,5.3421535814459729,0,True,True
1,9,2,15,0.00028605975644925379,0,671.07605657420868,0,True,True
1,9,3,15,0.030303030303030297,0,124.24872561367457,0,True,True
1,10,0,15,0.0012848438919450848,0,1297.0712161130421,0,True,True
1,10,1,15,0.0020616428621014738,0,5.2212376868627777,0,True,True
1,10,2,15,0.00028605975644925379,0,671.06534168366181,0,True,True
1,10,3,15,0.030303030303030297,0,123.57596035294205,0,True,True
