step,seed,origin,min_x,min_gap,max_complementarity,min_substep_plastic_mm,min_daily_plastic_mm,original_solver_gate,frozen_substep_gate,frozen_daily_gate,forward_ok,independent_state_difference,independent_mean_difference_mm
0,0,612,0,50.447024237236235,0,0,0,True,True,True,True,5.6843418860808015e-14,1.1368683772161603e-13
0,0,613,0,51.824535504148606,0,0,0,True,True,True,True,5.6843418860808015e-14,0
0,0,614,0,54.602574076344553,0,0,0,True,True,True,True,5.6843418860808015e-14,5.6843418860808015e-14
0,0,615,0,56.425921342384733,0,0,0,True,True,True,True,5.6843418860808015e-14,0
0,0,616,0,58.192975699440396,0,0,0,True,True,True,True,2.8421709430404007e-14,1.1368683772161603e-13
0,0,617,0,59.244878601354735,0,0,0,True,True,True,True,2.8421709430404007e-14,5.6843418860808015e-14
0,0,618,0,59.956553012950323,0,0,0,True,True,True,True,2.8421709430404007e-14,1.1368683772161603e-13
0,0,619,0,61.06401897032093,0,0,0,True,True,True,True,5.6843418860808015e-14,2.2737367544323206e-13
0,0,620,0,61.383453779371024,0,0,0,True,True,True,True,5.6843418860808015e-14,0
0,0,621,0,61.286302087634596,0,0,0,True,True,True,True,5.6843418860808015e-14,0
0,0,622,0,61.468969585057224,0,0,0,True,True,True,True,5.6843418860808015e-14,5.6843418860808015e-14
0,0,623,0,63.987281775231018,0,0,0,True,True,True,True,5.6843418860808015e-14,0
0,0,624,0,65.264670226165293,0,0,0,True,True,True,True,5.6843418860808015e-14,5.6843418860808015e-14
0,0,625,0,65.994920767279424,0,0,0,True,True,True,True,5.6843418860808015e-14,0
0,0,626,0,135.36597419671554,0,0,0,True,True,True,True,5.6843418860808015e-14,0
0,0,627,0,69.331751701401885,0,0,0,True,True,True,True,5.6843418860808015e-14,5.6843418860808015e-14
0,0,628,0,71.757303416980562,0,0,0,True,True,True,True,5.6843418860808015e-14,5.6843418860808015e-14
0,0,629,0,72.727539004374464,0,0,0,True,True,True,True,5.6843418860808015e-14,1.1368683772161603e-13
