case,station,fit_start_date,fit_end_date,segment_index,segment_start_date,segment_end_date,segment_n,intercept,slope_mm_per_day,sse,selected_segment,following_segment,formal_warning_output,candidate_v0_only,vajont_used
ootang,ATU1,2016-07-01,2019-02-02,0,2016-07-01,2016-08-27,58,4.2804548688334645,0.5569997285555803,293.22116073323195,True,False,False,True,False
ootang,ATU1,2016-07-01,2019-02-02,1,2016-08-28,2017-04-16,232,32.083456204466685,0.07338143363540281,629.122627260338,False,True,False,True,False
ootang,ATU1,2016-07-01,2019-02-02,2,2017-04-17,2017-09-01,138,-218.65170688707786,0.9386770710538126,8628.150527352467,False,False,False,True,False
ootang,ATU1,2016-07-01,2019-02-02,3,2017-09-02,2017-10-01,30,-2735.0086321992553,6.816440583782635,185.23619571328163,False,False,False,True,False
ootang,ATU1,2016-07-01,2019-02-02,4,2017-10-02,2018-05-17,228,313.8647048285566,0.1570442835137424,3658.6691421279684,False,False,False,True,False
ootang,ATU1,2016-07-01,2019-02-02,5,2018-05-18,2019-02-02,261,374.94752967675413,0.0887888947006024,758.2650683987886,False,False,False,True,False
ootang,ATU2,2016-07-01,2019-02-02,0,2016-07-01,2016-07-30,30,0.9601771182795801,0.5273865205784198,6.757865372859214,True,False,False,True,False
ootang,ATU2,2016-07-01,2019-02-02,1,2016-07-31,2017-04-28,272,14.432371773781954,0.04784217606031875,274.6201203540695,False,True,False,True,False
ootang,ATU2,2016-07-01,2019-02-02,2,2017-04-29,2017-08-31,125,-249.12728815053063,0.9213318340399196,1881.3251437642612,False,False,False,True,False
ootang,ATU2,2016-07-01,2019-02-02,3,2017-09-01,2017-09-30,30,-2181.591753919397,5.402254093437668,604.856546908617,False,False,False,True,False
ootang,ATU2,2016-07-01,2019-02-02,4,2017-10-01,2018-05-20,232,222.20883874663673,0.1221349061194127,1274.8144954470918,False,False,False,True,False
ootang,ATU2,2016-07-01,2019-02-02,5,2018-05-21,2019-02-02,258,280.0525170950779,0.05120071161117016,238.53105334704742,False,False,False,True,False
ootang,ATU4,2016-07-01,2019-02-02,0,2016-07-01,2016-08-09,40,1.3744217439024353,0.3931348208255161,18.33946284970625,True,False,False,True,False
ootang,ATU4,2016-07-01,2019-02-02,1,2016-08-10,2017-04-29,263,15.106711810919055,0.04351432979183718,253.1746792182239,False,True,False,True,False
ootang,ATU4,2016-07-01,2019-02-02,2,2017-04-30,2017-08-31,124,-221.22150867109048,0.8241213442014076,1609.5655386694707,False,False,False,True,False
ootang,ATU4,2016-07-01,2019-02-02,3,2017-09-01,2017-09-30,30,-1756.4520772114142,4.378042765295766,384.9621181432158,False,False,False,True,False
ootang,ATU4,2016-07-01,2019-02-02,4,2017-10-01,2018-05-25,237,193.13222538087612,0.10022043687200452,1298.392655141186,False,False,False,True,False
ootang,ATU4,2016-07-01,2019-02-02,5,2018-05-26,2019-02-02,253,236.83875806301168,0.04924705008222254,200.4693341879174,False,False,False,True,False
ootang,ATU5,2016-07-01,2019-02-02,0,2016-07-01,2016-08-22,53,4.769139282182726,1.2029547308200452,377.59333704656456,True,False,False,True,False
ootang,ATU5,2016-07-01,2019-02-02,1,2016-08-23,2017-04-29,250,63.87574960148561,0.07894712525419986,591.3558348327642,False,True,False,True,False
ootang,ATU5,2016-07-01,2019-02-02,2,2017-04-30,2017-08-25,118,-312.409620683216,1.323158695869404,4620.034522971138,False,False,False,True,False
ootang,ATU5,2016-07-01,2019-02-02,3,2017-08-26,2017-10-09,45,-2002.6108838069845,5.285553517878588,1608.456515595317,False,False,False,True,False
ootang,ATU5,2016-07-01,2019-02-02,4,2017-10-10,2018-06-04,238,297.17111902556655,0.34645467902999993,18211.63238851726,False,False,False,True,False
ootang,ATU5,2016-07-01,2019-02-02,5,2018-06-05,2019-02-02,243,467.3851381870938,0.13562566403453155,1273.3813932575285,False,False,False,True,False
ootang,MJ1,2016-07-01,2019-02-02,0,2016-07-01,2017-01-26,210,679.3475972623319,0.0676879309412572,1031.6490429204641,True,False,False,True,False
