case,station,fit_start_date,fit_end_date,segment_index,segment_start_date,segment_end_date,segment_n,intercept,slope_mm_per_day,sse,selected_segment,following_segment,formal_warning_output,candidate_v0_only,vajont_used
ootang,MJ1,2016-07-01,2019-02-02,1,2017-01-27,2017-06-01,126,564.1613080161795,0.5905632040428471,359.3910221399274,False,True,False,True,False
ootang,MJ1,2016-07-01,2019-02-02,2,2017-06-02,2017-09-28,119,571.716549269142,0.6001707007256104,333.7100063082762,False,False,False,True,False
ootang,MJ1,2016-07-01,2019-02-02,3,2017-09-29,2018-02-28,153,794.9244981052263,0.10906113819900952,20.29996034083888,False,False,False,True,False
ootang,MJ1,2016-07-01,2019-02-02,4,2018-03-01,2018-06-14,106,520.3920069795677,0.561070372480624,92.01528906077147,False,False,False,True,False
ootang,MJ1,2016-07-01,2019-02-02,5,2018-06-15,2019-02-02,233,855.490978988501,0.0915394902415671,874.0378003809601,False,False,False,True,False
ootang,MJ3,2016-07-01,2019-02-02,0,2016-07-01,2017-01-16,200,949.1103232216224,0.09200595620820941,698.2682408305263,True,False,False,True,False
ootang,MJ3,2016-07-01,2019-02-02,1,2017-01-17,2017-04-29,103,883.1706276887635,0.39225884132876326,102.33627400634577,False,True,False,True,False
ootang,MJ3,2016-07-01,2019-02-02,2,2017-04-30,2017-10-01,155,673.2231091943097,1.0857999006598147,156.37724176421762,False,False,False,True,False
ootang,MJ3,2016-07-01,2019-02-02,3,2017-10-02,2018-03-15,165,1099.25070391653,0.15377912003910826,65.78391098603606,False,False,False,True,False
ootang,MJ3,2016-07-01,2019-02-02,4,2018-03-16,2018-09-22,191,1174.5406345348958,0.02776610668290122,96.73484667786397,False,False,False,True,False
ootang,MJ3,2016-07-01,2019-02-02,5,2018-09-23,2019-02-02,133,1155.180551096233,0.05773864000982401,98.88631143048406,False,False,False,True,False
