 origin              method       mae      rmse      crps
    792    BPLUS_CONTINUOUS 23.582514 27.313325 24.157337
    792              DRIFT1  4.960013  5.824270  6.274072
    792             RR_COND 27.493401 31.315924 24.693029
    792 BPLUS_ORIGIN_ANCHOR 23.564678 27.297235 24.151262
    792     G00_RAW_UNIFORM 27.557754 30.145471 26.956720
    792  G10_ANCHOR_UNIFORM 24.032295 26.778773 22.837854
    792    G01_RAW_BOUNDARY 23.831386 26.249552 23.529161
    792 G11_ANCHOR_BOUNDARY 17.592085 20.382465 18.569144
    972    BPLUS_CONTINUOUS 61.563106 67.167389 48.091953
    972              DRIFT1  8.637339 10.594506  7.034024
    972             RR_COND 43.445352 48.588248 33.310714
    972 BPLUS_ORIGIN_ANCHOR 32.611769 40.433365 27.838012
    972     G00_RAW_UNIFORM 33.061886 37.481242 25.733631
    972  G10_ANCHOR_UNIFORM 16.627003 20.445223 15.643208
    972    G01_RAW_BOUNDARY 30.862369 35.158832 24.018718
    972 G11_ANCHOR_BOUNDARY 16.661330 20.732781 15.356369
   1168    BPLUS_CONTINUOUS  6.901689  9.124173 14.894908
   1168              DRIFT1  9.109845 12.977735  7.585014
   1168             RR_COND 11.318237 12.338214 13.077240
   1168 BPLUS_ORIGIN_ANCHOR  6.891668  9.116413  8.882457
   1168     G00_RAW_UNIFORM 10.560488 14.257499  9.998669
   1168  G10_ANCHOR_UNIFORM  7.848539 11.141437  6.908215
   1168    G01_RAW_BOUNDARY  8.276272 11.563858  8.702844
   1168 G11_ANCHOR_BOUNDARY  7.227606 10.785141  6.910338
