fit_days,strategy,seed,epoch,block,epsilon,analytic,central_difference,absolute_error,skipped,passed
432,OOF,1,100,anchor,1e-05,-0.003177238920203214,-0.003177238917990467,2.212747346463928e-12,False,True
432,OOF,1,100,paired,1e-05,-0.03132478155784538,-0.031324781366547094,1.9129828277009153e-10,False,True
432,OOF,2,100,anchor,0.0001,-0.0014118901473241438,-0.0014118902169862717,6.966212784571824e-11,False,True
432,OOF,2,100,paired,0.0001,-0.05659537269974209,-0.05659537625956213,3.559820042908779e-09,False,True
432,OOF,2,100,anchor,1e-05,-0.0014118901473241438,-0.001411890147959456,6.35312115415676e-13,False,True
432,OOF,2,100,paired,1e-05,-0.05659537269974209,-0.05659537273537164,3.5629547923132776e-11,False,True
612,IN,0,100,anchor,0.0001,-0.0007144846411426571,-0.0007144846004585232,4.068413390467124e-11,False,True
612,IN,0,100,paired,0.0001,-0.0006521614839959018,-0.0006521614328081136,5.118778816613767e-11,False,True
612,IN,0,100,anchor,1e-05,-0.0007144846411426571,-0.0007144846407249786,4.176784786091847e-13,False,True
612,IN,0,100,paired,1e-05,-0.0006521614839959018,-0.0006521614834617681,5.341337181580252e-13,False,True
612,IN,1,100,anchor,0.0001,-0.0011614236127876515,-0.0011614236257909247,1.3003273154413297e-11,False,True
612,IN,1,100,paired,0.0001,-0.00025663482246443764,-0.00025663500476837803,1.8230394038983022e-10,False,True
612,IN,1,100,anchor,1e-05,-0.0011614236127876515,-0.0011614236129119581,1.2430659800111155e-13,False,True
612,IN,1,100,paired,1e-05,-0.00025663482246443764,-0.0002566348242830042,1.8185665646985871e-12,False,True
612,IN,2,100,anchor,0.0001,-0.0009674677503914795,-0.0009674679812956893,2.3090420981503046e-10,False,True
612,IN,2,100,paired,0.0001,-0.0004096559806674651,-0.0004096560691503029,8.848283781018318e-11,False,True
612,IN,2,100,anchor,1e-05,-0.0009674677503914795,-0.000967467752723103,2.3316235010437114e-12,False,True
612,IN,2,100,paired,1e-05,-0.0004096559806674651,-0.0004096559815355187,8.680536216047752e-13,False,True
612,OOF,0,100,anchor,0.0001,0.0037986971169313402,0.0037986972032484287,8.631708845949215e-11,False,True
612,OOF,0,100,paired,0.0001,-0.38534183398012095,-0.3853418221359123,1.184420866939817e-08,False,True
612,OOF,0,100,anchor,1e-05,0.0037986971169313402,0.0037986971178436547,9.123144947831285e-13,False,True
612,OOF,0,100,paired,1e-05,-0.38534183398012095,-0.38534183386118576,1.1893519502592653e-10,False,True
612,OOF,1,100,anchor,0.0001,0.0031687828957527803,0.003168782795963908,9.978887247769075e-11,False,True
612,OOF,1,100,paired,0.0001,-0.2849079486099259,-0.28490805183752077,1.0322759486092181e-07,False,True
612,OOF,1,100,anchor,1e-05,0.0031687828957527803,0.003168782894760746,9.920341458025117e-13,False,True
612,OOF,1,100,paired,1e-05,-0.2849079486099259,-0.2849079496429485,1.0330226118959729e-09,False,True
612,OOF,2,100,anchor,0.0001,0.008696373555644153,0.00869637378844712,2.328029678755339e-10,False,True
612,OOF,2,100,paired,0.0001,-0.4769589029296837,-0.4769589022417253,6.879583569485703e-10,False,True
612,OOF,2,100,anchor,1e-05,0.008696373555644153,0.00869637355811921,2.475058352713333e-12,False,True
612,OOF,2,100,paired,1e-05,-0.4769589029296837,-0.47695890292367976,6.003919583719153e-12,False,True
