fit_days,strategy,seed,epoch,block,epsilon,analytic,central_difference,absolute_error,skipped,passed
342,IN,0,100,anchor,0.0001,-0.0034292195572175814,-0.00342921953192573,2.5291851512426744e-11,False,True
342,IN,0,100,paired,0.0001,2.7942162541224578e-05,2.7942196717772698e-05,3.417654812040878e-11,False,True
342,IN,0,100,anchor,1e-05,-0.0034292195572175814,-0.0034292195570358518,1.817296313433303e-13,False,True
342,IN,0,100,paired,1e-05,2.7942162541224578e-05,2.794216290367534e-05,3.6245076154273713e-13,False,True
342,IN,1,100,anchor,0.0001,-0.002872695159847358,-0.002872695814657854,6.548104957565526e-10,False,True
342,IN,1,100,paired,0.0001,-0.0005387710222746263,-0.000538774009086764,2.986812137678249e-09,False,True
342,IN,1,100,anchor,1e-05,-0.002872695159847358,-0.0028726951664616216,6.614263390464226e-12,False,True
342,IN,1,100,paired,1e-05,-0.0005387710222746263,-0.0005387710521373001,2.986267374875673e-11,False,True
342,IN,2,100,anchor,0.0001,-0.004518767351130325,-0.0045187675254480504,1.7431772518505806e-10,False,True
342,IN,2,100,paired,0.0001,0.000684074528806115,0.0006840742338023011,2.950038139118427e-10,False,True
342,IN,2,100,anchor,1e-05,-0.004518767351130325,-0.004518767352863122,1.7327970655567349e-12,False,True
342,IN,2,100,paired,1e-05,0.000684074528806115,0.0006840745258066774,2.9994376123457234e-12,False,True
342,OOF,0,100,anchor,0.0001,-0.003949394215475846,-0.003949393995447215,2.2002863073189438e-10,False,True
342,OOF,0,100,paired,0.0001,-0.00152918218995514,-0.0015291721603709796,1.0029584160365854e-08,False,True
342,OOF,0,100,anchor,1e-05,-0.003949394215475846,-0.003949394213260179,2.215666886073997e-12,False,True
342,OOF,0,100,paired,1e-05,-0.00152918218995514,-0.0015291820896351502,1.0031998972856448e-10,False,True
342,OOF,1,100,anchor,0.0001,-0.003026784979544497,-0.0030267844571240906,5.224204064138704e-10,False,True
342,OOF,1,100,paired,0.0001,-0.0005619090631774163,-0.0005619064407230012,2.6224544150826867e-09,False,True
342,OOF,1,100,anchor,1e-05,-0.003026784979544497,-0.003026784974312921,5.231576023084772e-12,False,True
342,OOF,1,100,paired,1e-05,-0.0005619090631774163,-0.0005619090369583346,2.6219081701757407e-11,False,True
342,OOF,2,100,anchor,0.0001,-0.0020655513095177323,-0.0020655509934077885,3.1610994377651025e-10,False,True
342,OOF,2,100,paired,0.0001,-0.003493126902171267,-0.003493091146774036,3.5755397231104075e-08,False,True
342,OOF,2,100,anchor,1e-05,-0.0020655513095177323,-0.0020655513063199196,3.197812674382572e-12,False,True
342,OOF,2,100,paired,1e-05,-0.003493126902171267,-0.003493126544594981,3.5757628585528223e-10,False,True
432,IN,0,100,anchor,0.0001,-0.0007588042571476539,-0.0007588042651556219,8.007967986639608e-12,False,True
432,IN,0,100,paired,0.0001,-0.00032781718285324036,-0.00032781710651290266,7.634033769715609e-11,False,True
432,IN,0,100,anchor,1e-05,-0.0007588042571476539,-0.0007588042572347118,8.70578565834168e-14,False,True
432,IN,0,100,paired,1e-05,-0.00032781718285324036,-0.00032781718210740836,7.458319985914619e-13,False,True
432,IN,1,100,anchor,0.0001,-0.0012316347253776175,-0.0012316331726041664,1.55277345105162e-09,False,True
432,IN,1,100,paired,0.0001,-0.0005322141825800509,-0.0005322139034913561,2.7908869486281684e-10,False,True
432,IN,1,100,anchor,1e-05,-0.0012316347253776175,-0.0012316347098540402,1.552357721534836e-11,False,True
432,IN,1,100,paired,1e-05,-0.0005322141825800509,-0.0005322141797691089,2.8109420173449973e-12,False,True
432,IN,2,100,anchor,0.0001,-0.0012482280903380722,-0.0012482273542757042,7.360623679574657e-10,False,True
432,IN,2,100,paired,0.0001,-0.00031625786513163144,-0.00031625741562955813,4.4950207331263467e-10,False,True
432,IN,2,100,anchor,1e-05,-0.0012482280903380722,-0.0012482280830030854,7.334986784623965e-12,False,True
432,IN,2,100,paired,1e-05,-0.00031625786513163144,-0.00031625786062509324,4.506538209009953e-12,False,True
432,OOF,0,100,anchor,0.0001,-0.0013518516446648628,-0.0013518517267847169,8.211985410254419e-11,False,True
432,OOF,0,100,paired,0.0001,-0.05725070945177868,-0.05725071709798083,7.646202150601855e-09,False,True
432,OOF,0,100,anchor,1e-05,-0.0013518516446648628,-0.0013518516453828176,7.179547754920801e-13,False,True
432,OOF,0,100,paired,1e-05,-0.05725070945177868,-0.057250709528233044,7.645436367331726e-11,False,True
432,OOF,1,100,anchor,0.0001,-0.003177238920203214,-0.0031772386918649254,2.283382888150498e-10,False,True
432,OOF,1,100,paired,0.0001,-0.03132478155784538,-0.031324762434690144,1.9123155232947386e-08,False,True
