前缀,训练e200,训练e400,发报种子均值e200,发报种子均值e400,发报集成e200,发报集成e400
612,4.91895985712906,4.076387652311319,68.87947736494549,64.63790901058863,68.00282138445672,63.59182636503533
792,8.548299591057352,5.522581688593355,32.75868420595597,33.91988257101414,20.82084098641477,22.907124080471455
972,8.992216293773792,5.69920579825823,9.870342762259112,9.302726041894594,6.2674656835631435,5.5340821410410435
1168,9.315806892351482,6.638549520240758,8.817655893565577,7.900303687547591,8.462344849381878,7.540028689640435
