前缀,合法起点数,完整293日起点数,尾段期望权重%,种子0实际%,种子1实际%,种子2实际%
612,180,0,0.0,0.0,0.0,0.0
792,360,68,14.259249585835876,13.760881680590403,14.05430545305042,14.326585765714903
972,540,248,22.36168402423199,21.76589779224708,22.143954190903138,22.38902356488182
1168,736,444,26.67711106207346,26.138012405670853,26.393149433058504,26.67784165324982
