点,KIN全窗RMSE,B+全窗RMSE,KIN尾段偏差,KIN尾段RMSE,KIN全窗90%覆盖%,KIN尾段90%覆盖%,尾段SSE占全窗%
ATU1,6.80814157663481,8.06824598915759,-3.398367343832695,10.092653273878964,70.64846416382252,59.29203539823009,84.75481369385349
ATU5,5.388625119780112,9.115006709976656,3.337145471475632,7.686542049643665,82.5938566552901,57.52212389380531,78.4723927668152
MJ3,13.284550831485642,13.016273948901418,-19.728032122811864,21.17556244997252,67.23549488054607,15.04424778761062,97.99117887494383
MJ1,4.678797230661176,6.297166223062725,-6.115558641952993,7.34424454007473,72.6962457337884,29.20353982300885,95.02472750763238
