方法,792历史窗,972历史窗,1168最终探索
TiDE_KIN,22.907124080471455,5.5340821410410435,7.540028689640435
BPLUS_CONTINUOUS,27.313324693235966,67.16738918938411,9.124173217774597
DRIFT1,5.824269689498328,10.594506460633188,12.9777345313275
RR_COND,31.31592395231011,48.58824759015907,12.338213669009027
TiDE_PHYS,14.859012348808477,12.114521209952596,8.921778809990766
G_CACHED,19.372055889649246,22.660456424900065,10.600133621915322
