phase,model,mae,rmse
development,BPLUS_CONTINUOUS,9.2980723577372046,12.597932603017654
development,RR_COND,5.7136588934368318,8.019724300293932
development,TCN_DIRECT_COND,16.1997221024242,21.378910123504074
development,TCN_BRES_COND,1.4739774784367468,2.0762298905381043
final_exploratory,BPLUS_CONTINUOUS,6.6284769428445811,8.4237165327921772
final_exploratory,RR_COND,4.6238636159271183,6.1306931956640227
final_exploratory,TCN_DIRECT_COND,20.216941179600941,24.917164567378776
final_exploratory,TCN_BRES_COND,1.3472270014568637,1.7889763823855755
