phase,model,n_per_point,mae,rmse,crps,coverage80,width80,interval_score80,coverage90,width90,interval_score90,coverage95,width95,interval_score95
development,BPLUS_CONTINUOUS,376,33.265136851961998,41.36837187193975,31.035123015862421,0.4833776595744681,75.008991503086563,270.07389911418721,0.4980053191489362,96.272998328704503,460.60022671443937,0.50664893617021267,114.71635306398764,801.43493375161052
development,DRIFT1,376,5.4246456008308144,6.5413179707791249,6.4505083991397481,0.9667553191489362,59.109581859581283,59.41751999070663,0.99734042553191482,75.866326976862837,75.879365922073717,1,90.40030436603557,90.40030436603557
development,RR_COND,376,38.181959671411015,45.899829150075504,32.693411126797599,0.4727393617021276,91.560493407760362,274.09852885322312,0.50265957446808496,117.51662103679875,430.65319378206942,0.52792553191489355,140.02969081440517,682.30730786446543
development,TCN_DIRECT_COND,376,78.77258452632428,91.684105926992643,57.035923670007101,0.50598404255319152,162.43911894938566,373.55640182688222,0.67021276595744683,208.48835204626025,445.31465483418123,0.80385638297872342,248.42919425245211,518.32413736806893
development,TCN_BRES_COND,376,43.49166925015102,49.59822889567976,35.845620905970826,0.42553191489361691,83.381978603821509,294.98986774788699,0.48603723404255311,107.01961092810409,474.66326540192722,0.50664893617021267,127.52173179526424,775.62251036638133
final_exploratory,BPLUS_CONTINUOUS,293,6.9016892503619642,9.1241732177745973,16.154436020259663,1,171.46866018184943,171.46866018184943,1,220.07764275077767,220.07764275077767,1,262.23868587835307,262.23868587835307
final_exploratory,DRIFT1,293,9.109845279087784,12.977734531327499,7.2775867206034031,0.55802047781569963,18.47638823828197,54.775680212727842,0.68088737201365168,23.714187570584983,78.313588319779612,0.7960750853242321,28.257197357504115,118.5121179321772
final_exploratory,RR_COND,293,11.318236548369155,12.338213669009026,18.572699509267117,1,194.25307811229553,194.25307811229553,1,249.32112657028864,249.32112657028864,1,297.08444609043329,297.08444609043329
final_exploratory,TCN_DIRECT_COND,293,39.487995835886409,43.25335670757466,37.436021735390682,1,347.80465934349786,347.80465934349786,1,446.40244744944209,446.40244744944209,1,531.92132435091958,531.92132435091958
final_exploratory,TCN_BRES_COND,293,11.495659945329464,12.862059398748798,18.814220063409955,1,196.54374569854511,196.54374569854511,1,252.26116658793839,252.26116658793839,1,300.58771984882827,300.58771984882827
