phase,model,seed,mae,rmse,crps,interval_score90
development,TCN_DIRECT_COND,0,76.051575274312484,88.63380904564778,54.848081516859665,409.93473854597994
development,TCN_DIRECT_COND,1,97.451554637086616,114.05174771842343,73.44814251648539,709.34294541375277
development,TCN_DIRECT_COND,2,64.3129898800468,74.464509625318954,44.727142306332105,299.06900807751038
development,TCN_BRES_COND,0,41.323005480700751,47.238069728023845,34.112578387511228,442.85448339155278
development,TCN_BRES_COND,1,48.987788943899048,56.031917270027257,40.576946022569381,553.12409356798821
development,TCN_BRES_COND,2,40.281688426672844,46.058464910897399,33.07446265228802,431.09736606747458
final_exploratory,TCN_DIRECT_COND,0,39.756605180511436,43.692632958333945,37.523685448239462,446.40244744944204
final_exploratory,TCN_DIRECT_COND,1,43.26637960911161,47.777774845265704,38.63871806872703,446.40244744944198
final_exploratory,TCN_DIRECT_COND,2,36.588542836402823,40.316448365602099,36.682403772903463,446.40244744944204
final_exploratory,TCN_BRES_COND,0,9.7366816580241959,11.389743389793757,18.627934707908977,252.26116658793842
final_exploratory,TCN_BRES_COND,1,11.144917645805727,12.637183602256197,18.797305744181969,252.26116658793842
final_exploratory,TCN_BRES_COND,2,13.650409190299341,14.96056862457773,19.113452272070425,252.26116658793842
